player,nationality,position,squad,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Harvey Barnes,eng ENG,"FW,MF",Leicester City,23-071,1997,20.1,20,12,8,5,7,4,17,23.5,13,213,65,30.5,56,88,69,18,3,0,15,14,34,11,0,Matches
Kyle Bartley,eng ENG,DF,West Brom,29-272,1991,14.8,14,9,9,5,0,6,14,42.9,8,115,35,30.4,65,46,4,42,20,1,22,11,25,111,0,Matches
Chris Basham,eng ENG,"DF,MF",Sheffield Utd,32-213,1988,22.1,62,41,37,20,5,29,50,58.0,21,284,86,30.3,149,98,37,39,10,3,29,32,94,91,1,Matches
Michy Batshuayi,be BEL,FW,Crystal Palace,27-139,1993,7.8,3,3,1,2,0,2,9,22.2,7,100,19,19.0,8,48,44,10,1,0,9,2,5,5,1,Matches
Jan Bednarek,pl POL,DF,Southampton,24-312,1996,21.9,22,11,15,6,1,9,24,37.5,15,156,52,33.3,101,52,3,38,16,1,22,32,54,119,1,Matches
Donny van de Beek,nl NED,"MF,FW",Manchester Utd,23-306,1997,3.6,9,8,3,5,1,2,7,28.6,5,57,17,29.8,7,32,18,9,1,0,8,3,12,3,0,Matches
Héctor Bellerín,es ESP,DF,Arsenal,25-336,1995,20.2,32,16,17,13,2,12,36,33.3,24,194,53,27.3,72,92,30,46,9,0,37,11,43,40,0,Matches
Saïd Benrahma,dz ALG,"MF,FW",West Ham,25-192,1995,9.5,18,13,7,10,1,3,14,21.4,11,183,46,25.1,52,98,33,9,0,0,9,9,27,2,0,Matches
Josh Benson,eng ENG,MF,Burnley,21-075,1999,2.9,8,5,5,1,2,4,8,50.0,4,36,12,33.3,15,17,4,3,1,0,2,1,9,2,0,Matches
Christian Benteke,be BEL,FW,Crystal Palace,30-077,1990,8.9,8,5,0,3,5,0,5,0.0,5,101,32,31.7,10,52,39,9,4,1,5,2,10,17,0,Matches
Jóhann Berg Guðmundsson,is ISL,MF,Burnley,30-114,1990,8.3,10,7,1,7,2,6,14,42.9,8,85,22,25.9,24,41,20,11,0,0,11,7,17,7,0,Matches
Sander Berge,no NOR,MF,Sheffield Utd,23-004,1998,11.3,21,16,9,8,4,5,17,29.4,12,192,56,29.2,67,95,30,20,2,0,18,3,24,17,1,Matches
Steven Bergwijn,nl NED,"FW,MF",Tottenham,23-133,1997,11.3,12,7,6,3,3,5,22,22.7,17,189,45,23.8,50,75,64,9,1,0,8,9,21,4,0,Matches
Bernard,br BRA,"FW,MF",Everton,28-163,1992,3.3,4,3,1,1,2,2,7,28.6,5,48,11,22.9,15,21,12,7,0,0,7,4,8,1,0,Matches
Bernardo,br BRA,"DF,MF",Brighton,25-280,1995,2.3,8,5,6,1,1,4,6,66.7,2,34,13,38.2,15,9,10,6,0,0,6,0,8,3,0,Matches
Ryan Bertrand,eng ENG,DF,Southampton,31-197,1989,20.9,56,34,23,29,4,22,35,62.9,13,212,90,42.5,79,105,28,35,5,0,30,17,73,38,1,Matches
Yves Bissouma,ml MLI,MF,Brighton,24-172,1996,20.6,66,41,35,26,5,17,47,36.2,30,324,115,35.5,146,150,28,35,5,0,30,27,93,33,0,Matches
Jayden Bogle,eng ENG,DF,Sheffield Utd,20-206,2000,7.8,23,9,11,10,2,11,21,52.4,10,146,41,28.1,68,48,30,21,1,0,20,13,36,12,0,Matches
Willy Boly,ci CIV,DF,Wolves,30-015,1991,16.0,33,20,28,5,0,12,24,50.0,12,115,39,33.9,80,32,3,22,10,0,12,13,46,79,0,Matches
Jarrod Bowen,eng ENG,"FW,MF",West Ham,24-060,1996,19.6,12,10,8,4,0,3,18,16.7,15,197,57,28.9,57,79,61,23,1,0,22,15,27,2,0,Matches
Robbie Brady,ie IRL,MF,Burnley,29-035,1992,11.2,19,11,10,3,6,8,28,28.6,20,164,37,22.6,52,73,39,23,1,0,22,9,28,22,1,Matches
Rhian Brewster,eng ENG,FW,Sheffield Utd,20-323,2000,8.2,7,2,1,3,3,0,8,0.0,8,126,35,27.8,6,58,62,10,2,0,8,4,11,2,0,Matches
Josh Brownhill,eng ENG,MF,Burnley,25-061,1995,17.8,34,18,9,19,6,7,29,24.1,22,270,74,27.4,70,153,47,40,10,1,30,31,65,32,0,Matches
Joe Bryan,eng ENG,"DF,FW",Fulham,27-154,1993,5.0,12,7,5,5,2,5,10,50.0,5,60,19,31.7,24,23,13,15,1,0,14,8,20,18,0,Matches
Kean Bryan,eng ENG,DF,Sheffield Utd,24-109,1996,3.3,9,6,7,2,0,3,6,50.0,3,42,13,31.0,24,15,3,8,3,0,5,7,16,16,1,Matches
Oliver Burke,sco SCO,FW,Sheffield Utd,23-317,1997,10.0,12,7,3,6,3,2,16,12.5,14,289,55,19.0,23,131,135,21,0,0,21,2,14,2,0,Matches
Dan Burn,eng ENG,DF,Brighton,28-285,1992,13.4,21,5,14,6,1,5,24,20.8,19,169,53,31.4,83,58,28,22,2,0,20,13,34,46,0,Matches
David Button,eng ENG,GK,West Brom,31-357,1989,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
Oskar Buur,dk DEN,DF,Wolves,22-324,1998,0.2,0,0,0,0,0,0,1,0.0,1,5,0,0.0,3,0,2,0,0,0,0,0,0,0,0,Matches
Willy Caballero,ar ARG,GK,Chelsea,39-143,1981,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
Gary Cahill,eng ENG,DF,Crystal Palace,35-061,1985,9.0,4,3,3,1,0,1,5,20.0,4,45,13,28.9,32,10,3,20,14,0,6,2,6,48,1,Matches
Tom Cairney,sco SCO,MF,Fulham,30-029,1991,8.4,5,4,1,2,2,0,3,0.0,3,65,21,32.3,18,32,15,6,0,0,6,1,6,3,0,Matches
Dominic Calvert-Lewin,eng ENG,FW,Everton,23-339,1997,19.6,10,9,0,4,6,1,6,16.7,5,198,66,33.3,14,81,103,21,7,0,14,4,14,19,0,Matches
João Cancelo,pt POR,DF,Manchester City,26-267,1994,17.9,56,33,28,23,5,26,58,44.8,32,219,75,34.2,89,85,45,25,3,0,22,32,88,21,0,Matches
Ian Carlo Poveda,eng ENG,"MF,DF",Leeds United,21-009,2000,2.8,7,5,6,0,1,5,10,50.0,5,45,12,26.7,16,18,11,3,1,0,2,0,7,0,0,Matches
Andy Carroll,eng ENG,FW,Newcastle Utd,32-043,1989,4.2,1,0,1,0,0,0,6,0.0,6,54,13,24.1,7,27,20,2,0,0,2,1,2,10,0,Matches
Matty Cash,eng ENG,DF,Aston Villa,23-195,1997,20.2,57,30,28,24,5,27,54,50.0,27,304,87,28.6,155,121,28,56,12,0,44,34,91,79,2,Matches
Kiko Casilla,es ESP,GK,Leeds United,34-139,1986,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
Timothy Castagne,be BEL,DF,Leicester City,25-075,1995,12.1,33,22,16,13,4,11,19,57.9,8,169,46,27.2,71,58,40,25,1,0,24,11,44,28,0,Matches
Jonny Castro,es ESP,DF,Wolves,26-352,1994,1.3,2,2,0,1,1,0,3,0.0,3,21,7,33.3,5,13,3,3,2,0,1,0,2,0,0,Matches
Ivan Cavaleiro,pt POR,"FW,MF",Fulham,27-123,1993,16.4,17,14,8,6,3,3,12,25.0,9,249,73,29.3,41,110,98,23,1,0,22,7,24,10,1,Matches
Edinson Cavani,uy URU,FW,Manchester Utd,34-004,1987,9.5,9,5,0,4,5,3,10,30.0,7,133,32,24.1,10,48,75,4,1,0,3,7,16,6,0,Matches
Dani Ceballos,es ESP,MF,Arsenal,24-195,1996,12.3,27,25,12,11,4,8,36,22.2,28,175,51,29.1,83,63,29,18,5,1,13,21,48,16,0,Matches
Ben Chilwell,eng ENG,DF,Chelsea,24-059,1996,16.5,35,24,14,17,4,10,28,35.7,18,187,69,36.9,70,84,33,40,3,0,37,15,50,37,0,Matches
Hamza Choudhury,eng ENG,MF,Leicester City,23-140,1997,2.5,10,6,5,5,0,2,4,50.0,2,36,14,38.9,15,18,3,7,2,0,5,2,12,4,0,Matches
Andreas Christensen,dk DEN,DF,Chelsea,24-314,1996,7.1,10,6,8,2,0,3,5,60.0,2,42,14,33.3,29,11,2,12,7,0,5,8,18,43,0,Matches
Ciaran Clark,ie IRL,DF,Newcastle Utd,31-145,1989,12.4,14,6,8,4,2,0,3,0.0,3,82,24,29.3,51,26,5,26,9,0,17,8,22,65,0,Matches
