,Unnamed: 0,player,nationality,position,squad,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,npxg_xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,matches
51,51,Donny van de Beek,nl NED,"MF,FW",Manchester Utd,23-301,1997,12,2,310,3.4,1,0,1,0,0,1,0,0.29,0.0,0.29,0.29,0.29,0.3,0.3,0.1,0.3,0.08,0.02,0.1,0.08,0.1,Matches
52,52,Héctor Bellerín,es ESP,DF,Arsenal,25-331,1995,20,20,1730,19.2,0,2,0,0,0,7,0,0.0,0.1,0.1,0.0,0.1,0.3,0.3,2.3,2.6,0.02,0.12,0.14,0.02,0.14,Matches
53,53,Saïd Benrahma,dz ALG,"MF,FW",West Ham,25-187,1995,15,9,843,9.4,0,3,0,0,0,0,0,0.0,0.32,0.32,0.0,0.32,1.6,1.6,1.8,3.4,0.17,0.19,0.36,0.17,0.36,Matches
54,54,Josh Benson,eng ENG,MF,Burnley,21-070,1999,6,2,264,2.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.06,0.0,0.06,0.06,0.06,Matches
55,55,Christian Benteke,be BEL,FW,Crystal Palace,30-072,1990,16,8,725,8.1,3,1,3,0,0,2,1,0.37,0.12,0.5,0.37,0.5,3.5,3.5,0.8,4.3,0.43,0.1,0.54,0.43,0.54,Matches
56,56,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,30-109,1990,11,7,641,7.1,1,0,1,0,0,1,0,0.14,0.0,0.14,0.14,0.14,0.9,0.9,0.2,1.1,0.13,0.03,0.16,0.13,0.16,Matches
57,57,Sander Berge,no NOR,MF,Sheffield Utd,22-365,1998,13,12,1016,11.3,1,1,0,1,1,4,0,0.09,0.09,0.18,0.0,0.09,1.2,0.5,1.2,1.7,0.11,0.11,0.22,0.04,0.15,Matches
58,58,Steven Bergwijn,nl NED,"FW,MF",Tottenham,23-128,1997,16,11,1021,11.3,0,2,0,0,0,2,0,0.0,0.18,0.18,0.0,0.18,1.7,1.7,1.0,2.7,0.15,0.09,0.24,0.15,0.24,Matches
59,59,Bernard,br BRA,"FW,MF",Everton,28-158,1992,6,2,274,3.0,1,0,1,0,0,2,0,0.33,0.0,0.33,0.33,0.33,0.2,0.2,0.5,0.6,0.05,0.15,0.2,0.05,0.2,Matches
60,60,Bernardo,br BRA,"DF,MF",Brighton,25-275,1995,3,2,206,2.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.5,0.13,0.09,0.22,0.13,0.22,Matches
61,61,Ryan Bertrand,eng ENG,DF,Southampton,31-192,1989,20,20,1788,19.9,0,1,0,0,0,5,0,0.0,0.05,0.05,0.0,0.05,0.6,0.6,0.6,1.2,0.03,0.03,0.06,0.03,0.06,Matches
62,62,Yves Bissouma,ml MLI,MF,Brighton,24-167,1996,21,20,1763,19.6,1,0,1,0,0,6,1,0.05,0.0,0.05,0.05,0.05,0.6,0.6,0.3,1.0,0.03,0.02,0.05,0.03,0.05,Matches
63,63,Jayden Bogle,eng ENG,DF,Sheffield Utd,20-201,2000,8,6,615,6.8,2,0,2,0,0,1,0,0.29,0.0,0.29,0.29,0.29,0.9,0.9,0.2,1.1,0.14,0.03,0.16,0.14,0.16,Matches
64,64,Willy Boly,ci CIV,DF,Wolves,30-010,1991,16,16,1440,16.0,1,1,1,0,0,1,0,0.06,0.06,0.12,0.06,0.12,1.0,1.0,0.4,1.4,0.06,0.02,0.09,0.06,0.09,Matches
65,65,Jarrod Bowen,eng ENG,"FW,MF",West Ham,24-055,1996,23,21,1676,18.6,5,3,5,0,0,0,0,0.27,0.16,0.43,0.27,0.43,4.4,4.4,1.9,6.3,0.24,0.1,0.34,0.24,0.34,Matches
