player,nationality,position,squad,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,gca_og_for,matches
Oskar Buur,dk DEN,DF,Wolves,22-324,1998,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Willy Caballero,ar ARG,GK,Chelsea,39-143,1981,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Gary Cahill,eng ENG,DF,Crystal Palace,35-061,1985,9.0,6,0.67,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Tom Cairney,sco SCO,MF,Fulham,30-029,1991,8.4,35,4.15,21,8,3,1,2,0,2,0.24,2,0,0,0,0,0,0,Matches
Dominic Calvert-Lewin,eng ENG,FW,Everton,23-339,1997,19.6,31,1.58,20,0,2,4,4,1,7,0.36,2,0,0,4,1,0,0,Matches
João Cancelo,pt POR,DF,Manchester City,26-267,1994,17.9,53,2.96,46,2,5,0,0,0,6,0.33,6,0,0,0,0,0,0,Matches
Ian Carlo Poveda,eng ENG,"MF,DF",Leeds United,21-009,2000,2.8,7,2.49,4,0,3,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Andy Carroll,eng ENG,FW,Newcastle Utd,32-043,1989,4.2,9,2.13,5,0,1,1,1,1,1,0.24,1,0,0,0,0,0,0,Matches
Matty Cash,eng ENG,DF,Aston Villa,23-195,1997,20.2,27,1.33,20,3,2,0,1,1,2,0.10,2,0,0,0,0,0,0,Matches
Kiko Casilla,es ESP,GK,Leeds United,34-139,1986,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Timothy Castagne,be BEL,DF,Leicester City,25-075,1995,12.1,18,1.49,14,2,0,0,0,2,2,0.17,2,0,0,0,0,0,0,Matches
Jonny Castro,es ESP,DF,Wolves,26-352,1994,1.3,2,1.59,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Ivan Cavaleiro,pt POR,"FW,MF",Fulham,27-123,1993,16.4,45,2.74,31,7,1,3,2,1,1,0.06,1,0,0,0,0,0,0,Matches
Edinson Cavani,uy URU,FW,Manchester Utd,34-004,1987,9.5,19,2.01,13,0,2,2,2,0,2,0.21,2,0,0,0,0,0,0,Matches
Dani Ceballos,es ESP,MF,Arsenal,24-195,1996,12.3,35,2.85,30,2,1,0,1,1,2,0.16,2,0,0,0,0,0,0,Matches
Ben Chilwell,eng ENG,DF,Chelsea,24-059,1996,16.5,30,1.82,17,9,0,1,2,1,6,0.36,6,0,0,0,0,0,0,Matches
Hamza Choudhury,eng ENG,MF,Leicester City,23-140,1997,2.5,2,0.80,2,0,0,0,0,0,1,0.40,1,0,0,0,0,0,0,Matches
Andreas Christensen,dk DEN,DF,Chelsea,24-314,1996,7.1,1,0.14,1,0,0,0,0,0,1,0.14,1,0,0,0,0,0,0,Matches
