player,nationality,position,squad,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,matches
Jayden Bogle,eng ENG,DF,Sheffield Utd,20-201,2000,6.8,337,18,80,103,170,24,291,13,25,52.0,16,1,190,669,351,15,3,1,9,15,231,172,74.5,21,Matches
Willy Boly,ci CIV,DF,Wolves,30-010,1991,16.0,911,105,457,461,31,12,894,4,4,100.0,4,0,541,2294,964,30,6,0,2,4,611,590,96.6,2,Matches
Jarrod Bowen,eng ENG,"FW,MF",West Ham,24-055,1996,18.6,723,9,110,296,389,86,667,30,46,65.2,30,1,529,3954,1839,89,20,30,31,44,715,471,65.9,123,Matches
Robbie Brady,ie IRL,MF,Burnley,29-030,1992,10.7,474,38,106,220,180,22,455,14,20,70.0,16,2,281,1728,819,45,10,5,10,10,348,269,77.3,27,Matches
Rhian Brewster,eng ENG,FW,Sheffield Utd,20-318,2000,8.2,230,5,23,91,128,19,224,7,10,70.0,7,0,137,478,226,11,5,1,13,14,310,150,48.4,41,Matches
Josh Brownhill,eng ENG,MF,Burnley,25-056,1995,17.5,876,44,187,516,211,28,860,7,8,87.5,7,0,437,1677,685,28,13,4,11,8,517,457,88.4,27,Matches
Joe Bryan,eng ENG,"DF,FW",Fulham,27-149,1993,5.0,331,18,107,139,103,7,272,8,8,100.0,8,0,164,807,485,23,7,0,4,5,195,174,89.2,6,Matches
Kean Bryan,eng ENG,DF,Sheffield Utd,24-104,1996,3.3,155,15,75,64,26,2,147,1,1,100.0,1,0,73,308,120,3,3,0,1,2,82,72,87.8,4,Matches
Oliver Burke,sco SCO,FW,Sheffield Utd,23-312,1997,10.0,302,2,25,129,167,49,291,9,13,69.2,9,2,173,928,488,30,5,15,33,21,451,202,44.8,82,Matches
Dan Burn,eng ENG,DF,Brighton,28-280,1992,12.4,796,62,242,414,184,29,716,5,8,62.5,5,0,438,2585,1469,54,16,1,11,5,554,495,89.4,23,Matches
David Button,eng ENG,GK,West Brom,31-352,1989,1.0,39,34,38,1,0,0,24,0,0,,0,0,12,75,45,0,0,0,0,0,13,13,100.0,0,Matches
Oskar Buur,dk DEN,DF,Wolves,22-319,1998,0.2,17,0,5,12,0,0,16,0,0,,0,0,11,23,17,1,0,0,0,1,14,13,92.9,0,Matches
Willy Caballero,ar ARG,GK,Chelsea,39-138,1981,1.0,26,21,26,1,0,0,19,0,0,,0,0,12,77,20,0,0,0,0,0,15,15,100.0,0,Matches
Gary Cahill,eng ENG,DF,Crystal Palace,35-056,1985,9.0,428,64,265,173,18,11,417,0,0,,0,0,209,1155,598,16,0,0,1,1,269,260,96.7,0,Matches
Tom Cairney,sco SCO,MF,Fulham,30-024,1991,8.4,689,10,103,383,252,13,658,12,18,66.7,12,0,545,2737,1269,58,23,1,11,7,610,562,92.1,31,Matches
Dominic Calvert-Lewin,eng ENG,FW,Everton,23-334,1997,19.6,668,29,57,286,348,109,653,15,30,50.0,16,3,359,1893,682,40,7,18,66,32,978,518,53.0,134,Matches
João Cancelo,pt POR,DF,Manchester City,26-262,1994,15.9,1495,54,306,774,504,52,1352,30,54,55.6,31,5,1014,4735,2814,149,45,14,13,20,1108,1056,95.3,53,Matches
Ian Carlo Poveda,eng ENG,"MF,DF",Leeds United,21-004,2000,2.8,137,2,27,41,84,17,136,8,12,66.7,8,2,114,788,527,25,4,5,9,14,146,101,69.2,22,Matches
Andy Carroll,eng ENG,FW,Newcastle Utd,32-038,1989,4.1,179,11,15,92,73,24,175,2,4,50.0,2,0,71,270,128,3,1,1,10,5,227,127,55.9,32,Matches
Matty Cash,eng ENG,DF,Aston Villa,23-190,1997,19.6,1197,108,403,574,294,22,1022,5,11,45.5,5,0,615,3714,1767,64,30,6,11,10,650,617,94.9,22,Matches
Kiko Casilla,es ESP,GK,Leeds United,34-134,1986,1.0,34,31,34,0,0,0,24,0,0,,0,0,19,67,28,0,0,0,0,0,13,13,100.0,0,Matches
Timothy Castagne,be BEL,DF,Leicester City,25-070,1995,12.1,777,30,240,347,221,24,671,7,17,41.2,7,0,426,1796,951,51,11,1,9,8,520,459,88.3,30,Matches
Jonny Castro,es ESP,DF,Wolves,26-347,1994,0.5,36,2,13,15,9,0,30,1,1,100.0,1,0,19,76,41,0,0,0,1,1,23,21,91.3,2,Matches
Ivan Cavaleiro,pt POR,"FW,MF",Fulham,27-118,1993,15.9,709,12,79,309,364,61,670,30,55,54.5,32,0,495,2948,1500,75,23,15,53,38,800,502,62.8,132,Matches
Edinson Cavani,uy URU,FW,Manchester Utd,33-365,1987,8.5,283,7,28,117,144,47,277,5,9,55.6,5,0,142,574,169,10,4,2,12,3,363,197,54.3,62,Matches
Dani Ceballos,es ESP,MF,Arsenal,24-190,1996,11.3,927,51,251,572,199,9,898,19,24,79.2,19,3,656,4666,2681,107,30,1,10,14,702,675,96.2,21,Matches
Ben Chilwell,eng ENG,DF,Chelsea,24-054,1996,16.5,1475,36,377,692,513,42,1285,11,19,57.9,11,0,924,5268,3280,136,47,5,20,19,1096,1000,91.2,59,Matches
Hamza Choudhury,eng ENG,MF,Leicester City,23-135,1997,2.5,215,8,51,152,17,0,213,0,1,0.0,0,1,144,619,251,7,0,0,2,2,160,152,95.0,2,Matches
Andreas Christensen,dk DEN,DF,Chelsea,24-309,1996,6.1,514,76,296,235,9,2,510,0,0,,0,0,336,1622,825,17,2,0,1,2,376,374,99.5,1,Matches
Ciaran Clark,ie IRL,DF,Newcastle Utd,31-140,1989,11.4,571,74,319,226,46,13,551,5,7,71.4,5,0,278,1288,721,18,3,0,4,2,346,327,94.5,4,Matches
Nathaniel Clyne,eng ENG,DF,Crystal Palace,29-314,1991,11.7,609,35,221,300,124,6,496,3,5,60.0,3,0,295,1445,725,35,13,0,3,5,333,313,94.0,9,Matches
Conor Coady,eng ENG,DF,Wolves,27-354,1993,21.7,1225,240,790,484,9,7,1192,5,7,71.4,5,1,781,3692,1570,18,1,0,0,3,877,871,99.3,1,Matches
Séamus Coleman,ie IRL,DF,Everton,32-125,1988,7.4,491,36,164,255,109,16,434,8,14,57.1,8,1,316,1764,842,35,10,5,5,14,340,305,89.7,20,Matches
Aaron Connolly,ie IRL,FW,Brighton,21-016,2000,7.4,169,0,10,70,100,32,160,6,8,75.0,6,0,99,554,327,12,6,4,25,13,297,120,40.4,56,Matches
Liam Cooper,sco SCO,DF,Leeds United,29-167,1991,15.8,1276,169,780,547,27,13,1252,2,2,100.0,2,0,782,4562,2431,35,3,0,3,5,847,833,98.3,1,Matches
Jack Cork,eng ENG,MF,Burnley,31-233,1989,3.3,119,7,21,80,24,5,118,0,0,,0,0,71,290,115,6,2,0,3,6,89,77,86.5,8,Matches
Hélder Costa,pt POR,MF,Leeds United,27-032,1994,7.7,338,8,73,137,159,32,334,10,23,43.5,12,2,239,1373,820,35,9,5,14,26,324,244,75.3,46,Matches
Vladimír Coufal,cz CZE,DF,West Ham,28-175,1992,18.9,1143,89,362,504,324,20,953,12,16,75.0,12,0,544,2802,1383,60,17,2,10,10,631,560,88.7,30,Matches
Aaron Cresswell,eng ENG,DF,West Ham,31-060,1989,23.0,1535,114,509,718,383,11,1252,4,11,36.4,6,2,845,3531,1682,67,30,3,3,8,913,887,97.2,20,Matches
Patrick Cutrone,it ITA,"FW,MF",Wolves,23-041,1998,0.3,7,0,0,3,5,1,6,0,0,,0,0,4,25,7,1,1,0,0,0,13,4,30.8,2,Matches
Stuart Dallas,nir NIR,"DF,MF",Leeds United,29-300,1991,21.9,1656,52,478,846,448,39,1500,11,22,50.0,14,0,1041,6005,3243,121,47,8,20,20,1237,1112,89.9,65,Matches
Scott Dann,eng ENG,DF,Crystal Palace,33-365,1987,11.0,570,71,322,252,16,12,550,5,5,100.0,5,0,297,1256,668,12,0,0,1,0,360,350,97.2,1,Matches
Karl Darlow,eng ENG,GK,Newcastle Utd,30-128,1990,23.0,749,672,741,7,1,1,453,0,0,,0,0,226,1336,793,0,0,0,1,0,210,207,98.6,0,Matches
Ben Davies,wal WAL,DF,Tottenham,27-295,1993,12.6,820,67,268,416,185,13,696,5,7,71.4,6,0,449,2056,1216,47,15,3,1,4,517,479,92.6,24,Matches
Tom Davies,eng ENG,"MF,DF",Everton,22-228,1998,7.3,421,31,158,238,51,0,413,11,15,73.3,13,0,269,1393,727,27,8,0,3,5,306,280,91.5,9,Matches
Keinan Davis,eng ENG,FW,Aston Villa,23-000,1998,0.6,34,1,4,8,23,11,34,1,1,100.0,1,0,22,68,33,2,1,0,3,3,44,29,65.9,13,Matches
Leif Davis,eng ENG,DF,Leeds United,21-032,2000,0.4,24,5,15,8,3,0,24,1,1,100.0,1,0,16,139,62,1,2,0,0,0,19,16,84.2,0,Matches
Craig Dawson,eng ENG,DF,West Ham,30-283,1990,8.0,344,60,206,145,15,8,333,0,0,,0,0,188,1015,477,10,4,0,2,0,199,194,97.5,0,Matches
Kevin De Bruyne,be BEL,MF,Manchester City,29-230,1991,15.6,1142,12,97,491,648,81,1032,24,46,52.2,27,1,774,4590,3005,139,52,23,24,20,985,849,86.2,144,Matches
Liam Delap,eng ENG,FW,Manchester City,18-005,2003,0.4,11,0,1,7,3,1,7,0,0,,0,0,6,3,0,0,0,0,2,1,16,7,43.8,4,Matches
Fabian Delph,eng ENG,"MF,DF",Everton,31-084,1989,2.4,221,7,68,131,41,0,212,5,8,62.5,5,0,163,756,388,15,5,0,1,2,178,174,97.8,2,Matches
Leander Dendoncker,be BEL,MF,Wolves,25-304,1995,15.7,768,36,195,425,183,47,760,7,10,70.0,7,1,400,1951,996,39,7,2,16,6,627,522,83.3,49,Matches
Mbaye Diagne,sn SEN,FW,West Brom,29-108,1991,2.2,53,3,8,31,16,5,51,1,2,50.0,1,0,30,65,11,0,0,0,2,6,101,35,34.7,7,Matches
Ibrahima Diallo,fr FRA,MF,Southampton,21-342,1999,4.9,305,14,82,197,49,7,300,6,8,75.0,6,0,192,926,484,24,11,0,2,9,224,204,91.1,6,Matches
Grady Diangana,eng ENG,"MF,FW",West Brom,22-300,1998,11.9,500,15,103,208,220,26,493,24,48,50.0,25,2,338,1694,1090,58,15,7,28,36,496,335,67.5,71,Matches
Raphael Dias Belloli,br BRA,MF,Leeds United,24-061,1996,14.0,776,14,101,344,376,77,717,24,54,44.4,27,2,528,2837,1847,99,24,19,30,16,742,548,73.9,97,Matches
Rúben Dias,pt POR,DF,Manchester City,23-275,1997,19.8,1833,180,744,1189,41,19,1809,2,5,40.0,2,0,1335,7773,4540,120,6,0,5,2,1480,1461,98.7,7,Matches
Eric Dier,eng ENG,DF,Tottenham,27-029,1994,19.0,1273,244,779,538,33,11,1235,2,2,100.0,2,0,768,4237,2498,45,8,2,2,2,871,859,98.6,3,Matches
Lucas Digne,fr FRA,"DF,MF",Everton,27-208,1993,12.8,938,47,253,408,321,23,791,2,7,28.6,2,0,473,2171,1244,45,17,3,8,17,625,543,86.9,60,Matches
Virgil van Dijk,nl NED,DF,Liverpool,29-220,1991,4.1,353,26,146,213,9,5,350,0,0,,0,0,245,894,416,13,0,0,1,0,287,281,97.9,4,Matches
Issa Diop,fr FRA,DF,West Ham,24-035,1997,3.3,190,21,82,114,0,0,182,1,1,100.0,1,0,120,640,373,13,0,0,0,2,137,133,97.1,0,Matches
Moussa Djenepo,ml MLI,MF,Southampton,22-243,1998,8.9,424,12,87,199,167,32,419,24,46,52.2,28,2,297,1237,651,46,11,9,31,14,365,270,74.0,49,Matches
Matt Doherty,ie IRL,DF,Tottenham,29-028,1992,9.1,621,31,182,290,183,13,521,4,9,44.4,5,0,313,1304,714,43,16,0,10,7,417,372,89.2,33,Matches
Gabriel Dos Santos,br BRA,DF,Arsenal,23-056,1997,13.2,1111,157,595,555,33,19,1095,1,4,25.0,2,0,793,4743,2721,62,2,2,2,2,870,851,97.8,7,Matches
Abdoulaye Doucouré,fr FRA,MF,Everton,28-043,1993,19.0,1160,44,337,640,258,28,1151,10,16,62.5,11,1,720,3573,1788,58,22,1,17,19,893,798,89.4,59,Matches
Paul Dummett,wal WAL,DF,Newcastle Utd,29-140,1991,1.9,69,10,31,30,9,0,66,1,2,50.0,1,0,35,96,35,1,0,0,1,0,40,34,85.0,1,Matches
Lewis Dunk,eng ENG,DF,Brighton,29-084,1991,20.0,1362,234,814,553,68,27,1320,4,4,100.0,4,0,843,4805,2275,53,13,0,3,1,922,907,98.4,9,Matches
Jimmy Dunne,ie IRL,DF,Burnley,23-117,1997,2.0,106,19,63,35,10,8,105,0,0,,0,0,43,232,22,0,0,0,0,0,56,52,92.9,8,Matches
Ederson,br BRA,GK,Manchester City,27-180,1993,21.0,647,565,645,2,0,0,519,0,0,,0,0,387,1907,1186,0,0,0,0,0,377,374,99.2,0,Matches
Kyle Edwards,eng ENG,"MF,FW",West Brom,22-362,1998,1.3,50,0,11,23,20,6,50,1,4,25.0,1,0,38,240,175,10,1,2,2,2,49,36,73.5,5,Matches
John Egan,ie IRL,DF,Sheffield Utd,28-116,1992,20.1,980,160,529,477,37,16,966,2,2,100.0,2,0,479,3416,2123,56,5,0,3,0,562,540,96.1,4,Matches
Ahmed Elmohamady,eg EGY,DF,Aston Villa,33-157,1987,1.5,126,4,29,57,45,4,101,2,2,100.0,2,0,57,195,83,5,2,0,1,2,72,65,90.3,3,Matches
Mohamed Elneny,eg EGY,MF,Arsenal,28-217,1992,10.1,640,44,207,403,66,3,628,5,7,71.4,5,1,478,2336,1204,43,7,0,2,5,503,478,95.0,3,Matches
Jonny Evans,nir NIR,DF,Leicester City,33-041,1988,18.7,1331,190,750,607,32,11,1300,6,6,100.0,6,0,824,3916,1874,32,3,0,3,3,884,865,97.9,3,Matches
