player,nationality,position,squad,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
Gareth Bale,wal WAL,FW,Tottenham,31-217,1989,2.8,55,97,56.7,1081,365,28,38,73.7,12,21,57.1,12,28,42.9,0,0.3,-0.3,4,5,1,0,5,Matches
Patrick Bamford,eng ENG,FW,Leeds United,27-166,1993,21.8,249,321,77.6,3427,478,141,183,77.0,71,85,83.5,16,16,100.0,5,2.6,+2.4,16,12,8,2,14,Matches
Phil Bardsley,sco SCO,DF,Burnley,35-235,1985,3.0,116,165,70.3,2256,949,47,49,95.9,51,67,76.1,16,40,40.0,0,0.0,0.0,0,9,6,1,11,Matches
Ross Barkley,eng ENG,MF,Aston Villa,27-075,1993,11.0,351,435,80.7,6416,1576,174,203,85.7,119,139,85.6,53,76,69.7,1,2.7,-1.7,27,31,15,0,44,Matches
Ross Barkley,eng ENG,MF,Chelsea,27-075,1993,0.5,22,26,84.6,441,72,10,13,76.9,8,9,88.9,4,4,100.0,0,0.1,-0.1,1,2,1,0,2,Matches
Ashley Barnes,eng ENG,FW,Burnley,31-111,1989,14.4,186,290,64.1,2432,542,123,162,75.9,43,70,61.4,7,28,25.0,0,0.7,-0.7,13,13,7,1,19,Matches
Harvey Barnes,eng ENG,"FW,MF",Leicester City,23-071,1997,20.1,433,584,74.1,6642,1668,250,315,79.4,144,184,78.3,29,45,64.4,3,1.3,+1.7,21,34,18,2,58,Matches
Kyle Bartley,eng ENG,DF,West Brom,29-272,1991,14.8,351,448,78.3,7293,2245,107,119,89.9,184,221,83.3,57,101,56.4,1,0.0,+1.0,1,25,2,1,14,Matches
Chris Basham,eng ENG,"DF,MF",Sheffield Utd,32-213,1988,22.1,707,880,80.3,12491,3671,325,364,89.3,298,357,83.5,74,126,58.7,1,0.7,+0.3,8,44,12,5,54,Matches
Michy Batshuayi,be BEL,FW,Crystal Palace,27-139,1993,7.8,111,154,72.1,1566,319,61,77,79.2,37,50,74.0,6,8,75.0,1,1.4,-0.4,7,6,3,1,9,Matches
Jan Bednarek,pl POL,DF,Southampton,24-312,1996,21.9,1195,1404,85.1,23115,7687,428,460,93.0,627,687,91.3,129,236,54.7,1,0.2,+0.8,3,63,4,0,64,Matches
Donny van de Beek,nl NED,"MF,FW",Manchester Utd,23-306,1997,3.6,144,171,84.2,2074,393,85,97,87.6,53,57,93.0,3,5,60.0,0,0.1,-0.1,2,7,1,1,5,Matches
Héctor Bellerín,es ESP,DF,Arsenal,25-336,1995,20.2,946,1141,82.9,15839,4551,442,506,87.4,431,503,85.7,55,86,64.0,2,2.3,-0.3,21,49,26,8,74,Matches
Saïd Benrahma,dz ALG,"MF,FW",West Ham,25-192,1995,9.5,240,306,78.4,3832,1025,134,147,91.2,81,99,81.8,17,41,41.5,4,1.8,+2.2,15,25,10,3,29,Matches
Josh Benson,eng ENG,MF,Burnley,21-075,1999,2.9,62,85,72.9,865,322,38,42,90.5,17,24,70.8,4,12,33.3,0,0.0,0.0,0,4,0,0,7,Matches
Christian Benteke,be BEL,FW,Crystal Palace,30-077,1990,8.9,160,244,65.6,2141,518,95,141,67.4,43,69,62.3,8,13,61.5,1,0.8,+0.2,9,11,9,1,18,Matches
Jóhann Berg Guðmundsson,is ISL,MF,Burnley,30-114,1990,8.3,190,251,75.7,3080,774,107,123,87.0,55,73,75.3,21,43,48.8,0,0.2,-0.2,4,12,4,2,21,Matches
Sander Berge,no NOR,MF,Sheffield Utd,23-004,1998,11.3,349,426,81.9,6398,1336,149,179,83.2,151,171,88.3,43,60,71.7,1,1.2,-0.2,12,32,4,2,29,Matches
Steven Bergwijn,nl NED,"FW,MF",Tottenham,23-133,1997,11.3,281,345,81.4,3855,730,172,190,90.5,85,105,81.0,7,25,28.0,2,1.0,+1.0,10,18,6,0,14,Matches
Bernard,br BRA,"FW,MF",Everton,28-163,1992,3.3,139,175,79.4,2238,552,68,78,87.2,59,73,80.8,8,13,61.5,0,0.6,-0.6,7,12,8,2,14,Matches
Bernardo,br BRA,"DF,MF",Brighton,25-280,1995,2.3,62,87,71.3,1042,288,32,38,84.2,24,34,70.6,5,6,83.3,0,0.2,-0.2,2,3,2,1,6,Matches
Ryan Bertrand,eng ENG,DF,Southampton,31-197,1989,20.9,898,1170,76.8,14790,5584,459,519,88.4,355,440,80.7,62,148,41.9,1,0.6,+0.4,8,48,19,4,73,Matches
Yves Bissouma,ml MLI,MF,Brighton,24-172,1996,20.6,864,998,86.6,17764,3314,298,340,87.6,399,437,91.3,152,195,77.9,0,0.3,-0.3,7,81,15,2,77,Matches
Jayden Bogle,eng ENG,DF,Sheffield Utd,20-206,2000,7.8,210,268,78.4,3348,1310,121,138,87.7,64,80,80.0,18,33,54.5,0,0.2,-0.2,4,13,7,1,19,Matches
