player,nationality,position,squad,age,birth_year,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_match,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,matches
Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,31-240,1989,19,"1,576",83,76.1,17.5,17,89,15,2,31,1,1.26,19,16,+3,+0.17,-0.01,22.2,19.4,+2.8,+0.16,+0.09,Matches
Serge Aurier,ci CIV,DF,Tottenham,28-051,1992,13,"1,075",83,54.3,11.9,13,83,10,0,,4,1.46,21,13,+8,+0.67,+0.07,14.6,15.6,-1.0,-0.08,-0.46,Matches
Charlie Austin,eng ENG,FW,West Brom,31-223,1989,5,138,28,6.7,1.5,0,,0,5,28,3,0.40,2,5,-3,-1.96,-0.42,0.6,4.9,-4.3,-2.79,-1.75,Matches
Jordan Ayew,gh GHA,FW,Crystal Palace,29-155,1991,19,"1,130",59,54.6,12.6,12,83,6,7,18,2,1.26,13,23,-10,-0.80,-0.60,8.0,18.2,-10.2,-0.82,-0.51,Matches
Luke Ayling,eng ENG,DF,Leeds United,29-172,1991,22,"1,959",89,98.9,21.8,22,89,21,0,,0,1.45,38,38,0,0.00,0.00,35.0,37.9,-2.9,-0.13,-3.01,Matches
César Azpilicueta,es ESP,DF,Chelsea,31-169,1989,13,"1,041",80,50.3,11.6,11,90,11,2,26,10,2.00,21,8,+13,+1.12,+1.04,17.5,8.9,+8.6,+0.74,+0.24,Matches
Eric Bailly,ci CIV,DF,Manchester Utd,26-307,1994,7,548,78,26.5,6.1,6,90,6,1,8,7,2.29,10,11,-1,-0.16,-1.35,9.5,9.6,-0.1,-0.02,-0.63,Matches
Fabián Balbuena,py PAR,DF,West Ham,29-174,1991,12,"1,080",90,52.2,12.0,12,90,12,0,,8,1.75,21,16,+5,+0.42,+0.33,16.1,17.0,-0.9,-0.08,-0.52,Matches
George Baldock,eng ENG,DF,Sheffield Utd,27-341,1993,19,"1,663",88,80.3,18.5,19,88,18,0,,2,0.42,10,30,-20,-1.08,-0.64,16.9,28.8,-11.9,-0.64,-0.58,Matches
Gareth Bale,wal WAL,FW,Tottenham,31-212,1989,6,232,39,11.7,2.6,2,69,0,4,24,8,1.17,1,5,-4,-1.55,-2.48,3.3,2.3,+0.9,+0.37,+0.27,Matches
