player,nationality,position,squad,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,matches
Joe Bryan,eng ENG,"DF,FW",Fulham,27-149,1993,5.0,2,0,0,6,5,0,15,8,7,1,1,0,45,5,3,62.5,Matches
Kean Bryan,eng ENG,DF,Sheffield Utd,24-104,1996,3.3,0,0,0,3,0,0,6,7,6,0,0,0,32,7,4,63.6,Matches
Oliver Burke,sco SCO,FW,Sheffield Utd,23-312,1997,10.0,2,0,0,21,6,3,14,2,7,0,0,0,36,20,40,33.3,Matches
Dan Burn,eng ENG,DF,Brighton,28-280,1992,12.4,4,0,0,17,4,4,18,12,5,0,1,1,114,50,26,65.8,Matches
David Button,eng ENG,GK,West Brom,31-352,1989,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
Oskar Buur,dk DEN,DF,Wolves,22-319,1998,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
Willy Caballero,ar ARG,GK,Chelsea,39-138,1981,1.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,Matches
Gary Cahill,eng ENG,DF,Crystal Palace,35-056,1985,9.0,1,0,0,5,1,2,0,2,3,0,0,0,72,42,21,66.7,Matches
Tom Cairney,sco SCO,MF,Fulham,30-024,1991,8.4,2,0,0,4,18,1,18,1,4,1,0,0,71,2,5,28.6,Matches
Dominic Calvert-Lewin,eng ENG,FW,Everton,23-334,1997,19.6,3,0,0,24,24,13,12,4,9,1,0,0,66,83,95,46.6,Matches
João Cancelo,pt POR,DF,Manchester City,26-262,1994,15.9,3,0,0,22,9,0,39,25,27,0,0,0,166,21,15,58.3,Matches
Ian Carlo Poveda,eng ENG,"MF,DF",Leeds United,21-004,2000,2.8,0,0,0,3,5,2,8,0,5,0,0,0,19,0,3,0.0,Matches
Andy Carroll,eng ENG,FW,Newcastle Utd,32-038,1989,4.1,1,0,0,8,9,3,2,1,0,0,0,0,32,45,30,60.0,Matches
Matty Cash,eng ENG,DF,Aston Villa,23-190,1997,19.6,5,0,0,24,16,1,49,32,29,0,1,0,178,30,25,54.5,Matches
Kiko Casilla,es ESP,GK,Leeds United,34-134,1986,1.0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,,Matches
Timothy Castagne,be BEL,DF,Leicester City,25-070,1995,12.1,1,0,0,10,7,0,21,11,22,0,0,0,113,25,30,45.5,Matches
Jonny Castro,es ESP,DF,Wolves,26-347,1994,0.5,0,0,0,1,2,0,0,0,1,0,0,0,4,0,0,,Matches
Ivan Cavaleiro,pt POR,"FW,MF",Fulham,27-118,1993,15.9,2,0,0,23,18,8,30,7,12,0,0,0,103,24,43,35.8,Matches
Edinson Cavani,uy URU,FW,Manchester Utd,33-365,1987,8.5,1,0,0,13,12,4,5,7,5,0,0,0,46,4,14,22.2,Matches
Dani Ceballos,es ESP,MF,Arsenal,24-190,1996,11.3,3,0,0,15,15,0,7,19,23,0,0,0,131,6,8,42.9,Matches
Ben Chilwell,eng ENG,DF,Chelsea,24-054,1996,16.5,2,0,0,15,27,3,68,15,24,0,0,0,142,34,19,64.2,Matches
Hamza Choudhury,eng ENG,MF,Leicester City,23-135,1997,2.5,1,0,0,5,1,0,0,2,6,0,0,0,37,1,2,33.3,Matches
Andreas Christensen,dk DEN,DF,Chelsea,24-309,1996,6.1,1,1,0,3,0,0,0,8,6,0,0,0,62,21,7,75.0,Matches
Ciaran Clark,ie IRL,DF,Newcastle Utd,31-140,1989,11.4,2,0,0,7,7,1,0,8,6,0,0,0,104,47,16,74.6,Matches
Nathaniel Clyne,eng ENG,DF,Crystal Palace,29-314,1991,11.7,2,0,0,4,2,0,7,13,8,0,0,0,91,5,14,26.3,Matches
Conor Coady,eng ENG,DF,Wolves,27-354,1993,21.7,4,0,0,14,6,0,1,16,10,0,1,0,158,25,17,59.5,Matches
Séamus Coleman,ie IRL,DF,Everton,32-125,1988,7.4,0,0,0,3,5,0,12,3,11,0,0,0,68,8,6,57.1,Matches
Aaron Connolly,ie IRL,FW,Brighton,21-016,2000,7.4,0,0,0,5,13,8,2,0,4,1,0,0,25,10,28,26.3,Matches
Liam Cooper,sco SCO,DF,Leeds United,29-167,1991,15.8,3,0,0,13,20,1,0,29,32,0,0,0,209,74,36,67.3,Matches
Jack Cork,eng ENG,MF,Burnley,31-233,1989,3.3,0,0,0,3,0,0,1,3,2,0,0,0,23,6,0,100.0,Matches
Hélder Costa,pt POR,MF,Leeds United,27-032,1994,7.7,0,0,0,12,10,2,11,3,8,0,0,1,48,1,16,5.9,Matches
Vladimír Coufal,cz CZE,DF,West Ham,28-175,1992,18.9,2,0,0,20,18,0,60,13,27,0,0,0,188,25,19,56.8,Matches
Aaron Cresswell,eng ENG,DF,West Ham,31-060,1989,23.0,1,0,0,6,13,0,64,22,10,0,0,0,218,24,20,54.5,Matches
Patrick Cutrone,it ITA,"FW,MF",Wolves,23-041,1998,0.3,0,0,0,0,1,0,0,0,0,0,0,0,2,1,2,33.3,Matches
Stuart Dallas,nir NIR,"DF,MF",Leeds United,29-300,1991,21.9,4,0,0,26,23,0,39,30,38,0,0,0,219,22,27,44.9,Matches
Scott Dann,eng ENG,DF,Crystal Palace,33-365,1987,11.0,1,0,0,3,4,0,0,4,7,0,0,0,114,38,27,58.5,Matches
Karl Darlow,eng ENG,GK,Newcastle Utd,30-128,1990,23.0,3,0,0,0,3,0,0,1,0,0,0,0,92,0,0,,Matches
Ben Davies,wal WAL,DF,Tottenham,27-295,1993,12.6,0,0,0,18,12,1,21,9,10,1,0,0,88,28,20,58.3,Matches
Tom Davies,eng ENG,"MF,DF",Everton,22-228,1998,7.3,1,0,0,13,10,0,3,14,15,0,1,0,70,4,9,30.8,Matches
Keinan Davis,eng ENG,FW,Aston Villa,23-000,1998,0.6,0,0,0,0,0,0,2,0,0,0,0,0,4,4,4,50.0,Matches
Leif Davis,eng ENG,DF,Leeds United,21-032,2000,0.4,0,0,0,1,0,0,0,2,0,0,0,0,3,0,1,0.0,Matches
Craig Dawson,eng ENG,DF,West Ham,30-283,1990,8.0,0,0,0,5,7,0,0,11,7,0,0,0,56,18,8,69.2,Matches
Kevin De Bruyne,be BEL,MF,Manchester City,29-230,1991,15.6,1,0,0,19,24,1,43,8,22,2,0,0,110,6,10,37.5,Matches
Liam Delap,eng ENG,FW,Manchester City,18-005,2003,0.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,50.0,Matches
Fabian Delph,eng ENG,"MF,DF",Everton,31-084,1989,2.4,0,0,0,2,5,0,3,4,1,0,0,0,23,0,0,,Matches
Leander Dendoncker,be BEL,MF,Wolves,25-304,1995,15.7,3,0,0,24,7,2,7,9,15,0,0,0,134,48,32,60.0,Matches
Mbaye Diagne,sn SEN,FW,West Brom,29-108,1991,2.2,0,0,0,1,2,7,1,0,0,0,0,0,11,9,22,29.0,Matches
Ibrahima Diallo,fr FRA,MF,Southampton,21-342,1999,4.9,2,0,0,10,5,0,5,5,12,0,1,0,62,3,7,30.0,Matches
Grady Diangana,eng ENG,"MF,FW",West Brom,22-300,1998,11.9,0,0,0,10,29,4,14,13,16,0,0,0,68,15,33,31.3,Matches
Raphael Dias Belloli,br BRA,MF,Leeds United,24-061,1996,14.0,2,0,0,8,14,9,42,12,11,0,0,0,92,5,18,21.7,Matches
Rúben Dias,pt POR,DF,Manchester City,23-275,1997,19.8,3,0,0,12,12,1,2,14,15,0,1,1,204,36,16,69.2,Matches
Eric Dier,eng ENG,DF,Tottenham,27-029,1994,19.0,1,0,0,11,9,0,1,12,8,0,2,0,173,63,31,67.0,Matches
Lucas Digne,fr FRA,"DF,MF",Everton,27-208,1993,12.8,0,1,0,19,9,1,69,6,19,0,0,0,123,36,14,72.0,Matches
Virgil van Dijk,nl NED,DF,Liverpool,29-220,1991,4.1,1,0,0,4,2,1,0,0,1,0,0,0,47,16,7,69.6,Matches
Issa Diop,fr FRA,DF,West Ham,24-035,1997,3.3,1,0,0,2,2,0,0,2,2,0,0,0,27,4,2,66.7,Matches
Moussa Djenepo,ml MLI,MF,Southampton,22-243,1998,8.9,3,0,0,24,22,2,7,5,15,0,0,0,75,6,18,25.0,Matches
Matt Doherty,ie IRL,DF,Tottenham,29-028,1992,9.1,3,1,1,16,9,0,13,6,5,0,1,0,69,36,16,69.2,Matches
Gabriel Dos Santos,br BRA,DF,Arsenal,23-056,1997,13.2,3,1,1,14,18,0,1,11,12,0,0,0,116,40,27,59.7,Matches
Abdoulaye Doucouré,fr FRA,MF,Everton,28-043,1993,19.0,5,0,0,17,9,0,8,22,27,0,0,0,224,27,17,61.4,Matches
Paul Dummett,wal WAL,DF,Newcastle Utd,29-140,1991,1.9,0,0,0,3,1,0,0,2,1,0,0,0,14,5,6,45.5,Matches
Lewis Dunk,eng ENG,DF,Brighton,29-084,1991,20.0,4,1,0,14,15,1,1,16,14,0,0,1,255,43,25,63.2,Matches
Jimmy Dunne,ie IRL,DF,Burnley,23-117,1997,2.0,0,0,0,1,2,0,0,0,1,0,0,0,40,7,0,100.0,Matches
Ederson,br BRA,GK,Manchester City,27-180,1993,21.0,2,0,0,1,3,0,0,0,0,0,0,0,74,0,0,,Matches
Kyle Edwards,eng ENG,"MF,FW",West Brom,22-362,1998,1.3,0,0,0,1,1,0,1,1,0,0,0,0,9,0,0,,Matches
John Egan,ie IRL,DF,Sheffield Utd,28-116,1992,20.1,6,1,0,26,9,0,1,24,21,0,0,0,202,60,40,60.0,Matches
Ahmed Elmohamady,eg EGY,DF,Aston Villa,33-157,1987,1.5,0,0,0,2,0,0,9,4,1,0,0,0,25,4,1,80.0,Matches
Mohamed Elneny,eg EGY,MF,Arsenal,28-217,1992,10.1,2,0,0,4,7,0,2,12,5,0,0,0,97,3,9,25.0,Matches
Jonny Evans,nir NIR,DF,Leicester City,33-041,1988,18.7,6,0,0,12,10,0,1,23,9,0,0,1,263,64,23,73.6,Matches
Eberechi Eze,eng ENG,MF,Crystal Palace,22-229,1998,16.7,2,0,0,11,43,0,19,11,10,0,0,0,139,8,18,30.8,Matches
Łukasz Fabiański,pl POL,GK,West Ham,35-301,1985,22.0,2,0,0,1,2,0,0,0,0,0,1,0,104,0,0,,Matches
Fabinho,br BRA,"DF,MF",Liverpool,27-113,1993,17.4,5,0,0,14,15,0,1,24,29,1,2,0,206,41,31,56.9,Matches
Bruno Fernandes,pt POR,MF,Manchester Utd,26-158,1994,21.4,4,0,0,26,36,3,54,9,29,0,1,0,149,8,31,20.5,Matches
Federico Fernández,ar ARG,DF,Newcastle Utd,31-358,1989,15.3,2,0,0,11,11,0,9,6,14,0,1,1,124,26,20,56.5,Matches
Fernandinho,br BRA,MF,Manchester City,35-285,1985,5.8,1,0,0,7,4,0,4,8,9,0,0,0,60,10,8,55.6,Matches
Sam Field,eng ENG,MF,West Brom,22-281,1998,0.7,0,0,0,2,1,0,0,0,7,0,0,0,12,1,2,33.3,Matches
Roberto Firmino,br BRA,FW,Liverpool,29-134,1991,19.8,1,0,0,16,11,2,19,8,13,0,0,0,118,19,57,25.0,Matches
John Fleck,sco SCO,MF,Sheffield Utd,29-173,1991,14.7,2,0,0,18,16,1,16,19,13,0,0,0,128,8,14,36.4,Matches
Phil Foden,eng ENG,FW,Manchester City,20-261,2000,11.4,0,0,0,5,19,2,27,10,6,0,0,0,56,12,21,36.4,Matches
Wesley Fofana,fr FRA,DF,Leicester City,20-058,2000,15.5,4,0,0,19,15,1,0,28,23,1,0,0,177,51,35,59.3,Matches
Pablo Fornals,es ESP,"FW,MF",West Ham,24-357,1996,17.1,2,0,0,13,13,2,18,12,10,0,0,0,129,9,15,37.5,Matches
Fraser Forster,eng ENG,GK,Southampton,32-333,1988,1.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,Matches
Timothy Fosu-Mensah,nl NED,DF,Manchester Utd,23-042,1998,0.9,1,0,0,1,0,1,5,1,1,0,0,0,11,1,0,100.0,Matches
Ryan Fraser,sco SCO,"MF,FW",Newcastle Utd,26-355,1994,6.3,2,1,1,5,13,0,34,1,1,1,0,0,33,4,12,25.0,Matches
Fred,br BRA,MF,Manchester Utd,27-345,1993,14.7,3,0,0,28,18,0,7,27,29,0,0,0,180,3,10,23.1,Matches
Ryan Fredericks,eng ENG,"DF,FW",West Ham,28-126,1992,4.9,2,0,0,9,6,1,17,4,5,0,0,0,50,7,9,43.8,Matches
Christian Fuchs,at AUT,DF,Leicester City,34-312,1986,7.8,4,0,0,14,5,0,8,12,9,0,1,0,80,24,14,63.2,Matches
Darnell Furlong,eng ENG,DF,West Brom,25-105,1995,18.1,2,0,0,14,21,2,40,14,7,0,1,1,119,72,51,58.5,Matches
Conor Gallagher,eng ENG,MF,West Brom,21-007,2000,16.1,7,0,0,24,36,0,12,21,35,0,0,0,159,16,20,44.4,Matches
Eric García,es ESP,DF,Manchester City,20-035,2001,2.2,0,0,0,3,2,0,0,3,2,0,1,0,24,2,6,25.0,Matches
Dwight Gayle,eng ENG,"FW,MF",Newcastle Utd,30-119,1990,1.1,0,0,0,0,2,2,0,1,0,0,0,0,9,1,1,50.0,Matches
David de Gea,es ESP,GK,Manchester Utd,30-098,1990,20.5,0,0,0,0,3,0,0,0,0,0,0,0,65,0,0,,Matches
Anwar El Ghazi,nl NED,FW,Aston Villa,25-286,1995,6.3,1,0,0,7,10,2,31,1,5,0,0,0,24,14,15,48.3,Matches
Kieran Gibbs,eng ENG,DF,West Brom,31-140,1989,9.0,1,1,0,7,2,0,13,13,6,0,0,0,84,10,12,45.5,Matches
Morgan Gibbs-White,eng ENG,"FW,MF",Wolves,21-017,2000,1.1,0,0,0,1,2,0,1,2,1,0,0,0,7,0,0,,Matches
Billy Gilmour,sco SCO,MF,Chelsea,19-247,2001,0.4,0,0,0,0,2,0,1,1,1,0,0,0,5,1,0,100.0,Matches
Olivier Giroud,fr FRA,FW,Chelsea,34-136,1986,6.4,1,0,0,12,2,4,3,3,3,0,0,0,23,14,27,34.1,Matches
Ben Godfrey,eng ENG,DF,Everton,23-029,1998,13.7,4,0,0,8,10,3,5,24,12,0,1,0,112,31,18,63.3,Matches
André Gomes,pt POR,MF,Everton,27-198,1993,9.7,2,0,0,21,6,2,11,8,20,0,1,0,100,12,7,63.2,Matches
Joe Gomez,eng ENG,DF,Liverpool,23-266,1997,6.6,0,0,0,6,6,0,0,5,2,0,1,0,107,26,23,53.1,Matches
