player,nationality,position,squad,age,birth_year,minutes_90s,goals,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches
Dan Burn,eng ENG,DF,Brighton,28-285,1992,13.4,0,12,3,25.0,0.90,0.22,0.00,0.00,14.3,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Matches
David Button,eng ENG,GK,West Brom,31-357,1989,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Oskar Buur,dk DEN,DF,Wolves,22-324,1998,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Willy Caballero,ar ARG,GK,Chelsea,39-143,1981,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Gary Cahill,eng ENG,DF,Crystal Palace,35-061,1985,9.0,1,3,1,33.3,0.33,0.11,0.33,1.00,10.7,0,0,0,0.3,0.3,0.09,+0.7,+0.7,Matches
Tom Cairney,sco SCO,MF,Fulham,30-029,1991,8.4,1,12,4,33.3,1.42,0.47,0.08,0.25,20.0,0,0,0,0.7,0.7,0.06,+0.3,+0.3,Matches
Dominic Calvert-Lewin,eng ENG,FW,Everton,23-339,1997,19.6,13,53,31,58.5,2.71,1.58,0.25,0.42,11.8,0,0,0,10.2,10.2,0.19,+2.8,+2.8,Matches
João Cancelo,pt POR,DF,Manchester City,26-267,1994,17.9,1,23,8,34.8,1.28,0.45,0.04,0.13,22.0,0,0,0,1.2,1.2,0.05,-0.2,-0.2,Matches
Ian Carlo Poveda,eng ENG,"MF,DF",Leeds United,21-009,2000,2.8,0,5,3,60.0,1.78,1.07,0.00,0.00,17.6,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
Andy Carroll,eng ENG,FW,Newcastle Utd,32-043,1989,4.2,1,14,2,14.3,3.31,0.47,0.07,0.50,13.4,0,0,0,1.1,1.1,0.08,-0.1,-0.1,Matches
Matty Cash,eng ENG,DF,Aston Villa,23-195,1997,20.2,0,7,1,14.3,0.35,0.05,0.00,0.00,21.5,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Kiko Casilla,es ESP,GK,Leeds United,34-139,1986,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Timothy Castagne,be BEL,DF,Leicester City,25-075,1995,12.1,1,3,2,66.7,0.25,0.17,0.33,0.50,6.5,0,0,0,0.4,0.4,0.14,+0.6,+0.6,Matches
Jonny Castro,es ESP,DF,Wolves,26-352,1994,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ivan Cavaleiro,pt POR,"FW,MF",Fulham,27-123,1993,16.4,3,32,12,37.5,1.95,0.73,0.06,0.17,17.3,1,1,2,4.3,3.5,0.11,-1.3,-1.5,Matches
Edinson Cavani,uy URU,FW,Manchester Utd,34-004,1987,9.5,6,25,10,40.0,2.64,1.06,0.24,0.60,10.1,0,0,0,4.8,4.8,0.19,+1.2,+1.2,Matches
Dani Ceballos,es ESP,MF,Arsenal,24-195,1996,12.3,0,6,0,0.0,0.49,0.00,0.00,,29.0,1,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Ben Chilwell,eng ENG,DF,Chelsea,24-059,1996,16.5,2,15,6,40.0,0.91,0.36,0.13,0.33,13.4,0,0,0,1.3,1.3,0.09,+0.7,+0.7,Matches
Hamza Choudhury,eng ENG,MF,Leicester City,23-140,1997,2.5,0,1,0,0.0,0.40,0.00,0.00,,19.0,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
Andreas Christensen,dk DEN,DF,Chelsea,24-314,1996,7.1,0,1,0,0.0,0.14,0.00,0.00,,8.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Ciaran Clark,ie IRL,DF,Newcastle Utd,31-145,1989,12.4,1,6,2,33.3,0.48,0.16,0.17,0.50,10.6,0,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches
Nathaniel Clyne,eng ENG,DF,Crystal Palace,29-319,1991,12.7,0,4,1,25.0,0.31,0.08,0.00,0.00,22.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Conor Coady,eng ENG,DF,Wolves,27-359,1993,22.7,0,3,0,0.0,0.13,0.00,0.00,,16.0,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
Séamus Coleman,ie IRL,DF,Everton,32-130,1988,8.8,0,4,3,75.0,0.45,0.34,0.00,0.00,21.8,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
Aaron Connolly,ie IRL,FW,Brighton,21-021,2000,7.4,2,18,7,38.9,2.45,0.95,0.11,0.29,13.6,0,0,0,3.0,3.0,0.17,-1.0,-1.0,Matches
Liam Cooper,sco SCO,DF,Leeds United,29-172,1991,16.8,1,9,3,33.3,0.54,0.18,0.11,0.33,7.9,0,0,0,0.7,0.7,0.08,+0.3,+0.3,Matches
Jack Cork,eng ENG,MF,Burnley,31-238,1989,5.3,0,4,0,0.0,0.76,0.00,0.00,,18.3,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Hélder Costa,pt POR,MF,Leeds United,27-037,1994,8.2,3,10,5,50.0,1.22,0.61,0.30,0.60,14.2,0,0,0,1.2,1.2,0.12,+1.8,+1.8,Matches
Vladimír Coufal,cz CZE,DF,West Ham,28-180,1992,19.9,0,9,3,33.3,0.45,0.15,0.00,0.00,15.7,0,0,0,1.0,1.0,0.11,-1.0,-1.0,Matches
Aaron Cresswell,eng ENG,DF,West Ham,31-065,1989,24.0,0,15,4,26.7,0.62,0.17,0.00,0.00,23.5,8,0,0,0.8,0.8,0.05,-0.8,-0.8,Matches
Patrick Cutrone,it ITA,"FW,MF",Wolves,23-046,1998,0.3,0,1,0,0.0,3.60,0.00,0.00,,10.4,0,0,0,0.2,0.2,0.17,-0.2,-0.2,Matches
Stuart Dallas,nir NIR,"DF,MF",Leeds United,29-305,1991,22.9,4,26,10,38.5,1.14,0.44,0.15,0.40,20.9,0,0,0,2.4,2.4,0.09,+1.6,+1.6,Matches
Scott Dann,eng ENG,DF,Crystal Palace,34-004,1987,12.0,1,5,2,40.0,0.42,0.17,0.20,0.50,9.2,0,0,0,0.3,0.3,0.07,+0.7,+0.7,Matches
Karl Darlow,eng ENG,GK,Newcastle Utd,30-133,1990,24.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ben Davies,wal WAL,DF,Tottenham,27-300,1993,13.6,0,3,0,0.0,0.22,0.00,0.00,,13.0,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
Tom Davies,eng ENG,"MF,DF",Everton,22-233,1998,8.7,0,2,0,0.0,0.23,0.00,0.00,,29.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Keinan Davis,eng ENG,FW,Aston Villa,23-005,1998,0.6,0,3,0,0.0,5.09,0.00,0.00,,10.0,0,0,0,0.3,0.3,0.10,-0.3,-0.3,Matches
Leif Davis,eng ENG,DF,Leeds United,21-037,2000,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Craig Dawson,eng ENG,DF,West Ham,30-288,1990,9.0,2,7,2,28.6,0.78,0.22,0.29,1.00,6.6,0,0,0,1.1,1.1,0.15,+0.9,+0.9,Matches
Kevin De Bruyne,be BEL,MF,Manchester City,29-235,1991,15.7,3,59,17,28.8,3.75,1.08,0.02,0.06,20.4,8,2,3,8.1,5.8,0.10,-5.1,-4.8,Matches
Liam Delap,eng ENG,FW,Manchester City,18-010,2003,0.4,0,1,0,0.0,2.25,0.00,0.00,,12.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Fabian Delph,eng ENG,"MF,DF",Everton,31-089,1989,2.4,0,1,0,0.0,0.42,0.00,0.00,,30.4,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Leander Dendoncker,be BEL,"MF,DF",Wolves,25-309,1995,16.7,0,25,7,28.0,1.50,0.42,0.00,0.00,13.8,0,0,0,2.7,2.7,0.11,-2.7,-2.7,Matches
Mbaye Diagne,sn SEN,FW,West Brom,29-113,1991,3.2,1,7,4,57.1,2.16,1.23,0.14,0.25,8.1,0,0,0,1.8,1.8,0.25,-0.8,-0.8,Matches
Ibrahima Diallo,fr FRA,MF,Southampton,21-347,1999,4.9,0,2,0,0.0,0.41,0.00,0.00,,16.9,0,0,0,0.3,0.3,0.14,-0.3,-0.3,Matches
Grady Diangana,eng ENG,"MF,FW",West Brom,22-305,1998,11.9,1,12,5,41.7,1.01,0.42,0.08,0.20,16.1,0,0,0,1.0,1.0,0.08,0.0,0.0,Matches
Raphael Dias Belloli,br BRA,MF,Leeds United,24-066,1996,15.0,4,43,18,41.9,2.87,1.20,0.09,0.22,17.0,2,0,0,3.8,3.8,0.09,+0.2,+0.2,Matches
Rúben Dias,pt POR,DF,Manchester City,23-280,1997,20.8,0,10,5,50.0,0.48,0.24,0.00,0.00,6.9,0,0,0,1.8,1.8,0.18,-1.8,-1.8,Matches
Eric Dier,eng ENG,DF,Tottenham,27-034,1994,20.0,0,10,2,20.0,0.50,0.10,0.00,0.00,24.2,7,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
Lucas Digne,fr FRA,"DF,MF",Everton,27-213,1993,14.8,0,7,0,0.0,0.47,0.00,0.00,,20.7,1,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
Virgil van Dijk,nl NED,DF,Liverpool,29-225,1991,4.1,1,4,2,50.0,0.97,0.49,0.25,0.50,13.5,0,0,0,0.3,0.3,0.08,+0.7,+0.7,Matches
Issa Diop,fr FRA,DF,West Ham,24-040,1997,4.3,1,1,1,100.0,0.23,0.23,1.00,1.00,6.0,0,0,0,0.1,0.1,0.13,+0.9,+0.9,Matches
Moussa Djenepo,ml MLI,MF,Southampton,22-248,1998,9.3,1,10,2,20.0,1.08,0.22,0.10,0.50,19.1,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Matches
Matt Doherty,ie IRL,DF,Tottenham,29-033,1992,9.1,0,1,1,100.0,0.11,0.11,0.00,0.00,5.8,0,0,0,0.3,0.3,0.34,-0.3,-0.3,Matches
Gabriel Dos Santos,br BRA,DF,Arsenal,23-061,1997,14.2,2,11,4,36.4,0.78,0.28,0.18,0.50,11.1,0,0,0,0.8,0.8,0.07,+1.2,+1.2,Matches
Abdoulaye Doucouré,fr FRA,MF,Everton,28-048,1993,21.0,2,14,5,35.7,0.67,0.24,0.14,0.40,17.0,0,0,0,1.9,1.9,0.14,+0.1,+0.1,Matches
Paul Dummett,wal WAL,DF,Newcastle Utd,29-145,1991,1.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Lewis Dunk,eng ENG,DF,Brighton,29-089,1991,21.0,3,20,7,35.0,0.95,0.33,0.15,0.43,11.7,1,0,0,2.0,2.0,0.10,+1.0,+1.0,Matches
Jimmy Dunne,ie IRL,DF,Burnley,23-122,1997,2.0,1,3,1,33.3,1.50,0.50,0.33,1.00,8.4,0,0,0,0.3,0.3,0.09,+0.7,+0.7,Matches
Ederson,br BRA,GK,Manchester City,27-185,1993,23.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Kyle Edwards,eng ENG,"MF,FW",West Brom,23-001,1998,1.3,0,2,1,50.0,1.53,0.76,0.00,0.00,15.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
John Egan,ie IRL,DF,Sheffield Utd,28-121,1992,21.1,0,7,0,0.0,0.33,0.00,0.00,,10.3,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
Ahmed Elmohamady,eg EGY,DF,Aston Villa,33-162,1987,1.8,0,2,0,0.0,1.10,0.00,0.00,,13.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Mohamed Elneny,eg EGY,MF,Arsenal,28-222,1992,10.3,0,4,0,0.0,0.39,0.00,0.00,,17.5,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
Jonny Evans,nir NIR,DF,Leicester City,33-046,1988,19.7,0,4,1,25.0,0.20,0.05,0.00,0.00,8.3,0,0,0,0.6,0.6,0.15,-0.6,-0.6,Matches
Eberechi Eze,eng ENG,MF,Crystal Palace,22-234,1998,17.7,3,23,8,34.8,1.30,0.45,0.13,0.38,21.3,3,0,0,1.5,1.5,0.07,+1.5,+1.5,Matches
Łukasz Fabiański,pl POL,GK,West Ham,35-306,1985,23.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Fabinho,br BRA,"DF,MF",Liverpool,27-118,1993,17.4,0,4,0,0.0,0.23,0.00,0.00,,21.7,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Bruno Fernandes,pt POR,MF,Manchester Utd,26-163,1994,22.4,14,74,28,37.8,3.31,1.25,0.11,0.29,22.6,11,6,7,10.8,5.5,0.07,+3.2,+2.5,Matches
Federico Fernández,ar ARG,DF,Newcastle Utd,31-363,1989,15.3,0,1,1,100.0,0.07,0.07,0.00,0.00,5.8,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
Fernandinho,br BRA,MF,Manchester City,35-290,1985,5.8,0,8,1,12.5,1.38,0.17,0.00,0.00,19.5,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
