player,nationality,position,squad,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
Jhon Córdoba,co COL,FW,Hertha BSC,27-278,1993,10.0,145,190,76.3,2649,369,68,83,81.9,49,62,79.0,23,26,88.5,0,1.3,-1.3,14,8,4,3,11,Matches
Sergio Córdova,ve VEN,"FW,MF",Arminia,23-188,1997,9.9,150,212,70.8,2190,576,85,101,84.2,44,64,68.8,11,21,52.4,1,1.1,-0.1,13,18,1,0,16,Matches
Danny da Costa,de GER,DF,Eint Frankfurt,27-215,1993,1.2,34,49,69.4,554,294,16,19,84.2,15,21,71.4,3,6,50.0,0,0.0,0.0,0,2,3,1,6,Matches
Danny da Costa,de GER,DF,Mainz 05,27-215,1993,3.0,60,103,58.3,1300,814,21,27,77.8,26,48,54.2,12,26,46.2,1,0.4,+0.6,5,7,8,2,12,Matches
Douglas Costa,br BRA,"FW,MF",Bayern Munich,30-152,1990,3.6,129,187,69.0,2505,808,55,69,79.7,44,57,77.2,26,42,61.9,1,0.7,+0.3,6,14,7,1,20,Matches
Tanguy Coulibaly,fr FRA,"DF,FW",Stuttgart,19-361,2001,9.4,186,260,71.5,2953,796,98,129,76.0,71,86,82.6,10,25,40.0,0,1.5,-1.5,11,9,6,3,19,Matches
Mickaël Cuisance,fr FRA,FW,Bayern Munich,21-181,1999,0.2,9,10,90.0,172,3,3,3,100.0,5,5,100.0,1,2,50.0,0,0.0,0.0,0,1,0,0,0,Matches
Matheus Cunha,br BRA,"FW,MF",Hertha BSC,21-262,1999,16.7,371,551,67.3,7726,2416,156,200,78.0,126,167,75.4,77,147,52.4,3,3.3,-0.3,34,46,18,1,56,Matches
Rafael Czichos,de GER,DF,Köln,30-275,1990,12.7,501,597,83.9,12043,5153,102,123,82.9,269,290,92.8,124,172,72.1,0,0.0,0.0,1,38,0,0,45,Matches
Moanes Dabour,il ISR,FW,Hoffenheim,28-275,1992,8.5,187,250,74.8,2913,947,109,136,80.1,56,66,84.8,14,27,51.9,0,0.7,-0.7,9,19,9,2,28,Matches
Finn Dahmen,de GER,GK,Mainz 05,22-323,1998,1.0,17,23,73.9,295,118,7,7,100.0,9,10,90.0,1,6,16.7,0,0.0,0.0,0,0,0,0,0,Matches
Mahmoud Dahoud,de GER,MF,Dortmund,25-043,1996,3.3,207,241,85.9,3964,911,74,85,87.1,99,107,92.5,27,35,77.1,0,0.2,-0.2,2,15,4,1,18,Matches
Leon Dajaku,de GER,FW,Union Berlin,19-307,2001,0.4,11,13,84.6,147,42,7,7,100.0,4,4,100.0,0,1,0.0,0,0.0,0.0,0,1,0,0,0,Matches
Márton Dárdai,de GER,DF,Hertha BSC,19-001,2002,0.2,8,12,66.7,218,53,1,1,100.0,4,4,100.0,3,6,50.0,0,0.0,0.0,0,0,0,0,0,Matches
Vladimír Darida,cz CZE,MF,Hertha BSC,30-189,1990,15.5,541,749,72.2,12150,3038,175,216,81.0,227,285,79.6,130,205,63.4,5,3.5,+1.5,28,38,20,4,59,Matches
Alphonso Davies,ca CAN,DF,Bayern Munich,20-103,2000,8.8,558,632,88.3,9370,2673,250,273,91.6,271,300,90.3,30,40,75.0,0,0.4,-0.4,6,43,4,2,41,Matches
Thomas Delaney,dk DEN,MF,Dortmund,29-163,1991,8.2,436,523,83.4,8226,1739,190,212,89.6,178,201,88.6,58,91,63.7,0,0.2,-0.2,4,30,3,1,29,Matches
Kerem Demirbay,de GER,MF,Leverkusen,27-225,1993,9.7,457,587,77.9,9284,2807,194,211,91.9,164,203,80.8,91,154,59.1,1,1.5,-0.5,22,46,13,5,52,Matches
Ermedin Demirović,ba BIH,FW,Freiburg,22-325,1998,8.2,90,151,59.6,1382,473,49,65,75.4,33,60,55.0,4,12,33.3,5,2.1,+2.9,9,9,7,0,21,Matches
