player,nationality,position,squad,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,matches
Leonardo Bittencourt,de GER,"FW,MF",Werder Bremen,27-056,1993,11.5,581,7,79,297,246,38,550,14,30,46.7,17,6,387,1998,1072,50,22,4,34,12,528,390,73.9,78,Matches
Jérôme Boateng,de GER,DF,Bayern Munich,32-163,1988,15.7,1272,97,486,821,46,9,1240,2,2,100.0,2,0,917,4702,2351,84,17,0,2,0,987,978,99.1,2,Matches
Jean-Paul Boëtius,nl NED,"MF,FW",Mainz 05,26-328,1994,14.1,685,6,116,377,234,40,674,18,27,66.7,20,1,435,1880,1045,48,11,4,27,27,565,451,79.8,84,Matches
Melayro Bogarde,nl NED,"DF,MF",Hoffenheim,18-261,2002,3.0,206,4,61,113,47,2,191,3,6,50.0,3,0,138,678,403,14,2,0,5,3,134,128,95.5,7,Matches
Dennis Borkowski,de GER,MF,RB Leipzig,19-018,2002,0.1,11,0,1,5,5,1,11,0,1,0.0,0,0,7,32,6,0,0,0,1,0,11,9,81.8,5,Matches
Sebastiaan Bornauw,be BEL,DF,Köln,21-328,1999,17.0,807,162,574,245,19,15,780,2,4,50.0,2,1,401,1878,653,2,0,0,1,1,455,441,96.9,3,Matches
Nassim Boujellab,ma MAR,"MF,FW",Schalke 04,21-238,1999,5.9,258,8,44,133,90,21,253,6,10,60.0,7,0,137,546,325,18,6,2,16,18,261,150,57.5,37,Matches
Dedryck Boyata,be BEL,DF,Hertha BSC,30-077,1990,12.8,911,113,533,412,22,14,896,2,2,100.0,2,1,612,3559,1774,27,2,0,0,1,666,655,98.3,5,Matches
Can Bozdogan,de GER,MF,Schalke 04,19-314,2001,4.5,203,6,46,118,50,11,200,4,15,26.7,4,0,152,704,331,12,4,2,9,12,161,127,78.9,14,Matches
Julian Brandt,de GER,"FW,MF",Dortmund,24-287,1996,10.9,765,11,86,335,388,45,743,24,37,64.9,25,1,549,2967,1037,65,17,7,22,15,718,591,82.3,110,Matches
Josip Brekalo,hr CRO,FW,Wolfsburg,22-235,1998,13.4,699,3,69,332,351,47,650,18,32,56.3,20,0,481,3194,1799,96,33,13,36,23,647,513,79.3,97,Matches
Joshua Brenet,nl NED,DF,Hoffenheim,26-330,1994,0.0,2,1,1,2,0,0,2,1,1,100.0,1,0,2,3,3,0,0,0,0,0,0,0,,0,Matches
John Brooks,us USA,DF,Wolfsburg,28-016,1993,18.2,1305,139,695,693,25,12,1245,3,4,75.0,3,1,791,4825,2530,50,6,1,1,3,835,811,97.1,5,Matches
Daniel Brosinski,de GER,DF,Mainz 05,32-211,1988,11.2,665,42,200,299,194,4,483,6,15,40.0,8,2,296,1310,814,34,10,1,4,4,355,305,85.9,13,Matches
Cédric Brunner,ch SUI,DF,Arminia,26-362,1994,16.1,1017,70,413,500,151,9,869,21,24,87.5,21,2,553,2019,964,38,9,2,8,12,552,528,95.7,8,Matches
Jacob Bruun Larsen,dk DEN,FW,Hoffenheim,22-147,1998,1.0,31,0,3,17,14,3,31,1,3,33.3,1,0,25,113,28,2,0,0,5,4,46,26,56.5,11,Matches
Marius Bülter,de GER,"FW,MF",Union Berlin,27-321,1993,6.7,287,9,50,134,130,12,280,11,19,57.9,13,0,203,1208,629,30,15,5,21,12,258,181,70.2,33,Matches
Jonathan Burkardt,de GER,"FW,DF",Mainz 05,20-217,2000,9.5,409,17,70,195,175,44,373,16,33,48.5,17,0,265,1375,803,36,11,10,24,13,406,246,60.6,52,Matches
Roman Bürki,ch SUI,GK,Dortmund,30-091,1990,16.0,561,489,560,2,0,0,457,0,0,,0,0,316,1252,565,0,0,0,1,0,325,323,99.4,0,Matches
Daniel Caligiuri,it ITA,"MF,DF",Augsburg,33-029,1988,20.3,1189,41,275,591,400,32,1013,42,59,71.2,45,2,745,3930,2217,101,40,7,47,50,839,665,79.3,89,Matches
Emre Can,de GER,"DF,MF",Dortmund,27-032,1994,12.2,1131,76,374,697,151,20,1104,17,21,81.0,17,0,852,4498,2381,77,34,1,9,10,868,830,95.6,21,Matches
Koen Casteels,be BEL,GK,Wolfsburg,28-233,1992,19.0,772,648,768,6,0,0,615,1,1,100.0,1,0,421,2010,978,0,0,0,0,0,410,409,99.8,0,Matches
Gonzalo Castro,de GER,"MF,FW",Stuttgart,33-247,1987,12.8,709,11,93,362,302,33,619,23,31,74.2,24,2,448,2322,1421,74,22,6,20,15,555,457,82.3,70,Matches
Sava Cestic,de GER,DF,Köln,19-360,2001,7.3,357,55,259,116,4,2,345,2,3,66.7,2,0,189,905,435,8,1,0,3,3,202,194,96.0,0,Matches
Timothy Chandler,us USA,DF,Eint Frankfurt,30-321,1990,0.7,44,1,8,21,19,3,36,1,2,50.0,1,0,22,161,82,5,2,0,1,0,32,23,71.9,6,Matches
