player,nationality,position,squad,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Jude Bellingham,eng ENG,MF,Dortmund,17-229,2003,8.9,26,17,4,16,6,9,25,36.0,16,207,58,28.0,41,113,53,14,3,0,11,6,32,9,0,Matches
Lars Bender,de GER,DF,Leverkusen,31-292,1989,10.4,19,13,11,6,2,9,22,40.9,13,132,44,33.3,49,63,20,26,7,0,19,8,27,27,0,Matches
Sven Bender,de GER,DF,Leverkusen,31-292,1989,6.9,11,7,5,4,2,4,6,66.7,2,70,28,40.0,27,38,5,12,3,0,9,5,16,29,0,Matches
László Bénes,sk SVK,MF,M'Gladbach,23-157,1997,1.7,5,2,4,1,0,2,3,66.7,1,20,5,25.0,7,12,1,3,1,0,2,4,9,2,0,Matches
László Bénes,sk SVK,"MF,FW",Augsburg,23-157,1997,1.4,2,2,2,0,0,0,0,,0,17,5,29.4,4,8,5,0,0,0,0,3,5,0,0,Matches
Ramy Bensebaini,dz ALG,DF,M'Gladbach,25-303,1995,9.6,15,8,8,5,2,10,19,52.6,9,104,31,29.8,46,41,17,26,3,0,23,20,35,53,0,Matches
Nabil Bentaleb,dz ALG,MF,Schalke 04,26-081,1994,5.0,12,6,7,5,0,2,14,14.3,12,97,21,21.6,48,39,10,10,2,0,8,3,15,4,0,Matches
Bartosz Bialek,pl POL,"FW,MF",Wolfsburg,19-094,2001,2.0,4,4,1,3,0,2,3,66.7,1,38,14,36.8,4,22,12,3,0,0,3,1,5,1,0,Matches
Ermin Bičakčić,ba BIH,DF,Hoffenheim,31-020,1990,1.4,1,0,0,1,0,1,2,50.0,1,19,5,26.3,12,4,3,3,1,0,2,1,2,9,0,Matches
Leonardo Bittencourt,de GER,"FW,MF",Werder Bremen,27-056,1993,11.5,32,15,10,14,8,5,23,21.7,18,325,75,23.1,79,159,87,24,1,0,23,12,44,6,0,Matches
Jérôme Boateng,de GER,DF,Bayern Munich,32-163,1988,15.7,20,12,12,8,0,8,23,34.8,15,107,41,38.3,53,50,4,22,14,0,8,17,37,43,0,Matches
Jean-Paul Boëtius,nl NED,"MF,FW",Mainz 05,26-328,1994,14.1,29,19,7,14,8,6,32,18.8,26,289,84,29.1,57,148,84,24,2,0,22,16,45,7,1,Matches
Melayro Bogarde,nl NED,"DF,MF",Hoffenheim,18-261,2002,3.0,7,5,2,4,1,4,11,36.4,7,42,16,38.1,21,17,4,2,0,0,2,3,10,6,0,Matches
Dennis Borkowski,de GER,MF,RB Leipzig,19-018,2002,0.1,0,0,0,0,0,0,0,,0,2,1,50.0,0,2,0,0,0,0,0,0,0,0,0,Matches
Sebastiaan Bornauw,be BEL,DF,Köln,21-328,1999,17.0,28,16,23,5,0,11,18,61.1,7,153,60,39.2,106,46,1,39,22,1,17,19,47,100,0,Matches
Nassim Boujellab,ma MAR,"MF,FW",Schalke 04,21-238,1999,5.9,17,13,5,11,1,1,4,25.0,3,145,42,29.0,22,67,56,14,2,0,12,6,23,9,1,Matches
