player,nationality,position,squad,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,matches
Vladimír Darida,cz CZE,MF,Hertha BSC,30-189,1990,15.5,2,0,0,17,17,2,36,17,17,0,0,0,157,11,21,34.4,Matches
Alphonso Davies,ca CAN,DF,Bayern Munich,20-103,2000,8.8,1,0,0,6,19,2,10,15,12,1,0,0,119,12,6,66.7,Matches
Thomas Delaney,dk DEN,MF,Dortmund,29-163,1991,8.2,5,0,0,25,16,0,6,16,20,0,0,0,103,23,7,76.7,Matches
Kerem Demirbay,de GER,MF,Leverkusen,27-225,1993,9.7,2,0,0,22,14,0,13,9,22,0,0,0,104,7,14,33.3,Matches
Ermedin Demirović,ba BIH,FW,Freiburg,22-325,1998,8.2,2,0,0,29,9,7,3,2,9,0,0,0,41,26,66,28.3,Matches
Emmanuel Dennis,ng NGA,FW,Köln,23-090,1997,1.5,0,0,0,6,1,2,2,0,1,0,0,0,8,4,8,33.3,Matches
Mike van der Hoorn,nl NED,DF,Arminia,28-121,1992,13.9,3,0,0,10,7,0,0,6,6,0,1,0,142,46,33,58.2,Matches
Moussa Diaby,fr FRA,"FW,MF",Leverkusen,21-221,1999,18.6,4,0,0,21,12,6,72,12,5,0,0,0,112,2,14,12.5,Matches
Daniel Didavi,de GER,"FW,MF",Stuttgart,30-358,1990,7.7,2,0,0,10,10,2,16,3,3,0,0,0,45,6,9,40.0,Matches
Javairô Dilrosun,nl NED,FW,Hertha BSC,22-236,1998,3.0,0,0,0,5,5,1,5,5,4,0,0,0,17,0,3,0.0,Matches
Eren Dinkçi,de GER,FW,Werder Bremen,19-062,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Ritsu Doan,jp JPN,"MF,FW",Arminia,22-242,1998,17.9,1,0,0,21,47,2,41,15,27,0,0,0,116,16,28,36.4,Matches
Ji Dong-won,kr KOR,FW,Mainz 05,29-261,1991,0.7,1,0,0,3,1,0,0,0,0,0,0,0,10,5,4,55.6,Matches
Bas Dost,nl NED,FW,Eint Frankfurt,31-258,1989,9.1,3,0,0,16,9,3,4,2,4,0,0,0,34,70,32,68.6,Matches
Aleksandar Dragović,at AUT,DF,Leverkusen,29-344,1991,8.1,3,0,0,12,6,0,5,12,5,0,0,0,117,12,8,60.0,Matches
Dominick Drexler,de GER,"MF,FW",Köln,30-263,1990,8.4,0,0,0,13,16,4,12,8,16,0,0,0,61,9,11,45.0,Matches
Ondrej Duda,sk SVK,"FW,MF",Köln,26-070,1994,16.7,6,1,1,34,32,3,29,12,20,0,0,0,117,33,57,36.7,Matches
Erik Durm,de GER,DF,Eint Frankfurt,28-277,1992,10.1,1,0,0,4,12,1,26,14,11,0,0,0,74,18,19,48.6,Matches
Johannes Eggestein,de GER,"FW,MF",Werder Bremen,22-281,1998,0.4,0,0,0,1,0,0,1,0,0,0,0,0,5,1,0,100.0,Matches
Maximilian Eggestein,de GER,MF,Werder Bremen,24-067,1996,19.0,3,0,0,15,22,1,6,25,19,0,0,0,220,26,27,49.1,Matches
Lilian Egloff,de GER,MF,Stuttgart,18-177,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches
Kingsley Ehizibue,nl NED,DF,Köln,25-264,1995,6.8,4,0,0,14,8,2,20,4,11,0,1,0,64,14,7,66.7,Matches
Nico Elvedi,ch SUI,DF,M'Gladbach,24-136,1996,16.5,0,0,0,7,8,1,2,27,20,0,0,0,185,57,38,60.0,Matches
Breel Embolo,ch SUI,"FW,MF",M'Gladbach,23-365,1997,11.4,3,0,0,23,45,10,7,4,10,2,0,0,69,24,33,42.1,Matches
Keita Endo,jp JPN,"MF,FW",Union Berlin,23-083,1997,1.3,0,0,0,2,2,0,1,0,1,0,0,0,14,2,6,25.0,Matches
Wataru Endo,jp JPN,MF,Stuttgart,28-004,1993,20.0,3,0,0,30,41,0,4,26,46,1,0,0,268,51,33,60.7,Matches
Patrick Erras,de GER,"FW,MF",Werder Bremen,26-023,1995,0.2,0,0,0,0,0,0,0,0,0,0,0,0,6,4,1,80.0,Matches
Ralf Fährmann,de GER,GK,Schalke 04,32-139,1988,12.5,2,0,0,0,3,0,0,0,0,0,0,0,58,0,0,,Matches
Ohis Felix Uduokhai,de GER,DF,Augsburg,23-157,1997,20.0,3,0,0,19,19,1,5,25,19,0,1,1,209,73,32,69.5,Matches
Edimilson Fernandes,ch SUI,"MF,DF",Mainz 05,24-304,1996,8.6,1,0,0,6,4,1,11,20,5,0,0,0,81,7,4,63.6,Matches
Alfreð Finnbogason,is ISL,FW,Augsburg,32-012,1989,4.6,0,0,0,6,3,2,8,1,1,0,0,0,30,12,22,35.3,Matches
Emil Forsberg,se SWE,"FW,MF",RB Leipzig,29-113,1991,10.4,0,0,0,7,12,5,6,6,5,1,0,0,38,9,17,34.6,Matches
Philipp Förster,de GER,"MF,FW",Stuttgart,26-009,1995,5.7,1,0,0,8,8,1,6,6,4,0,0,0,41,5,9,35.7,Matches
Timothy Fosu-Mensah,nl NED,DF,Leverkusen,23-042,1998,2.1,0,0,0,1,1,0,1,1,1,0,0,0,21,5,3,62.5,Matches
Raphael Framberger,de GER,DF,Augsburg,25-160,1995,9.1,4,1,1,9,7,0,23,15,9,0,1,1,93,16,18,47.1,Matches
Marco Friedl,at AUT,DF,Werder Bremen,22-334,1998,19.0,2,0,0,17,25,0,5,34,27,0,0,0,163,28,18,60.9,Matches
Marvin Friedrich,de GER,DF,Union Berlin,25-062,1995,20.0,1,0,0,12,14,1,6,22,18,0,0,0,209,57,45,55.9,Matches
Jeremie Frimpong,nl NED,FW,Leverkusen,20-065,2000,0.2,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,,Matches
Niclas Füllkrug,de GER,FW,Werder Bremen,28-004,1993,3.4,0,0,0,3,6,6,1,1,2,1,0,0,14,22,31,41.5,Matches
Mijat Gaćinović,rs SRB,"DF,MF",Hoffenheim,26-005,1995,7.6,3,0,0,12,7,0,15,14,7,0,0,0,86,6,9,40.0,Matches
Christian Gebauer,at AUT,"MF,FW",Arminia,27-055,1993,4.0,0,0,0,3,4,0,6,3,3,0,0,0,34,5,9,35.7,Matches
Theodor Gebre Selassie,cz CZE,DF,Werder Bremen,34-051,1986,19.0,1,0,0,17,29,4,18,31,17,0,0,0,146,33,29,53.2,Matches
Dennis Geiger,de GER,MF,Hoffenheim,22-248,1998,7.3,4,1,0,15,9,0,12,5,11,0,1,0,55,2,7,22.2,Matches
Christian Gentner,de GER,MF,Union Berlin,35-183,1985,4.7,0,0,0,1,7,1,4,2,7,0,0,0,35,0,2,0.0,Matches
Yannick Gerhardt,de GER,MF,Wolfsburg,26-337,1994,10.1,2,0,0,22,14,1,12,7,19,0,0,0,94,13,20,39.4,Matches
Hamadi Al Ghaddioui,ma MAR,"MF,FW",Stuttgart,30-144,1990,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches
Niko Gießelmann,de GER,DF,Union Berlin,29-140,1991,3.4,2,0,0,2,6,1,15,6,9,0,0,0,31,11,6,64.7,Matches
Rafał Gikiewicz,pl POL,GK,Augsburg,33-110,1987,21.0,1,0,0,1,2,0,0,0,0,0,0,0,127,0,0,,Matches
Daniel Ginczek,de GER,"FW,MF",Wolfsburg,29-306,1991,1.6,0,0,0,1,0,0,0,0,0,0,0,0,14,9,6,60.0,Matches
Matthias Ginter,de GER,DF,M'Gladbach,27-025,1994,20.0,2,0,0,9,21,2,10,16,12,0,0,0,219,61,34,64.2,Matches
Robert Glatzel,de GER,FW,Mainz 05,27-036,1994,0.1,0,0,0,1,0,0,1,0,0,0,0,0,2,3,1,75.0,Matches
Serge Gnabry,de GER,"FW,MF",Bayern Munich,25-214,1995,13.7,4,0,0,17,17,3,34,14,19,1,0,0,89,6,17,26.1,Matches
Akaki Gogia,de GER,FW,Union Berlin,29-026,1992,1.6,1,0,0,5,4,0,3,0,1,1,0,0,11,1,2,33.3,Matches
Nicolás González,ar ARG,"FW,DF",Stuttgart,22-313,1998,9.9,5,0,0,13,32,6,9,3,5,1,0,0,53,31,27,53.4,Matches
Leon Goretzka,de GER,MF,Bayern Munich,26-007,1995,12.7,1,0,0,14,12,0,4,22,17,0,0,0,163,35,13,72.9,Matches
Jeffrey Gouweleeuw,nl NED,DF,Augsburg,29-218,1991,20.0,6,0,0,14,4,2,3,26,16,0,0,0,213,33,34,49.3,Matches
Demarai Gray,eng ENG,FW,Leverkusen,24-230,1996,0.2,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,,Matches
Michael Gregoritsch,at AUT,"FW,MF",Augsburg,26-301,1994,8.4,1,0,0,11,13,3,11,0,9,0,0,0,42,15,28,34.9,Matches
Sebastian Griesbeck,de GER,MF,Union Berlin,30-133,1990,8.3,3,0,0,13,6,2,3,5,10,1,0,0,63,11,27,28.9,Matches
Vincenzo Grifo,it ITA,"MF,FW",Freiburg,27-312,1993,16.6,1,0,0,8,12,2,37,13,11,0,0,0,110,7,12,36.8,Matches
Florian Grillitsch,at AUT,MF,Hoffenheim,25-190,1995,7.3,3,1,1,13,16,0,6,5,7,1,0,0,79,14,14,50.0,Matches
Christian Groß,de GER,"MF,DF",Werder Bremen,32-005,1989,9.8,4,0,0,14,13,0,0,20,14,0,0,0,117,12,8,60.0,Matches
Ilia Gruev,bg BUL,FW,Werder Bremen,20-283,2000,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
Carlos Gruezo,ec ECU,MF,Augsburg,25-300,1995,17.1,3,0,0,27,8,0,1,22,33,0,0,0,179,8,11,42.1,Matches
Mattéo Guendouzi,fr FRA,MF,Hertha BSC,21-305,1999,13.7,3,0,0,20,31,0,5,14,15,1,0,0,124,11,17,39.3,Matches
Raphaël Guerreiro,pt POR,DF,Dortmund,27-053,1993,14.7,1,0,0,7,9,2,26,17,10,0,0,0,138,8,10,44.4,Matches
Josuha Guilavogui,fr FRA,"MF,DF",Wolfsburg,30-147,1990,6.4,2,0,0,13,2,0,1,16,10,0,0,0,91,19,7,73.1,Matches
Péter Gulácsi,hu HUN,GK,RB Leipzig,30-283,1990,21.0,0,0,0,0,1,0,0,0,0,0,0,0,135,0,0,,Matches
Manuel Gulde,de GER,DF,Freiburg,30-001,1991,12.5,2,0,0,7,15,2,3,18,7,0,0,0,118,37,23,61.7,Matches
Robert Gumny,pl POL,DF,Augsburg,22-254,1998,6.6,3,0,0,10,12,0,6,10,6,0,0,0,57,11,11,50.0,Matches
Christian Günter,de GER,DF,Freiburg,27-351,1993,20.0,0,0,0,17,11,2,74,13,15,0,0,0,118,14,9,60.9,Matches
Janik Haberer,de GER,"MF,FW",Freiburg,26-317,1994,2.2,0,0,0,7,5,0,1,4,4,0,1,0,37,3,6,33.3,Matches
Alexander Hack,de GER,DF,Mainz 05,27-158,1993,10.9,1,0,0,12,10,0,1,18,16,0,1,0,140,45,18,71.4,Matches
André Hahn,de GER,"FW,MF",Augsburg,30-184,1990,11.7,1,0,0,19,15,8,10,9,13,0,0,0,51,41,36,53.2,Matches
Amadou Haidara,ml MLI,"MF,FW",RB Leipzig,23-013,1998,12.4,2,0,0,17,11,3,16,13,21,0,0,0,128,25,28,47.2,Matches
