player,nationality,position,squad,age,birth_year,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_completed,passes_offsides,passes_oob,passes_intercepted,passes_blocked,matches
Ondrej Duda,sk SVK,"FW,MF",Köln,26-070,1994,16.7,736,640,96,33,0,132,47,29,50,21,20,3,407,127,202,71,597,30,1,9,502,9,14,19,29,Matches
Erik Durm,de GER,DF,Eint Frankfurt,28-277,1992,10.1,448,343,105,3,2,61,14,26,0,0,0,0,208,92,148,77,239,15,102,2,304,1,16,8,16,Matches
Johannes Eggestein,de GER,"FW,MF",Werder Bremen,22-281,1998,0.4,17,17,0,0,0,5,0,1,0,0,0,0,9,3,5,6,9,2,0,0,11,0,2,0,1,Matches
Maximilian Eggestein,de GER,MF,Werder Bremen,24-067,1996,19.0,757,734,23,18,1,116,17,6,2,0,1,0,536,83,138,113,586,36,2,2,585,2,11,24,28,Matches
Lilian Egloff,de GER,MF,Stuttgart,18-177,2002,0.2,4,3,1,0,0,0,0,0,1,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,0,Matches
Kingsley Ehizibue,nl NED,DF,Köln,25-264,1995,6.8,311,235,76,5,0,32,5,20,0,0,0,0,147,87,77,10,201,21,69,1,217,0,7,2,17,Matches
Nico Elvedi,ch SUI,DF,M'Gladbach,24-136,1996,16.5,1088,1061,27,22,1,107,27,2,0,0,0,0,925,75,88,301,706,46,5,0,1005,1,6,6,12,Matches
Breel Embolo,ch SUI,"FW,MF",M'Gladbach,23-365,1997,11.4,306,288,18,3,0,73,4,7,0,0,0,0,225,56,25,32,225,22,0,14,222,3,6,10,19,Matches
Keita Endo,jp JPN,"MF,FW",Union Berlin,23-083,1997,1.3,23,23,0,0,0,4,1,1,0,0,0,0,11,4,8,3,15,3,0,0,14,0,1,1,2,Matches
Wataru Endo,jp JPN,MF,Stuttgart,28-004,1993,20.0,1098,1080,18,16,4,200,24,4,0,0,0,0,826,106,166,199,806,45,2,6,910,5,13,22,23,Matches
Patrick Erras,de GER,"FW,MF",Werder Bremen,26-023,1995,0.2,27,27,0,0,0,5,0,0,0,0,0,0,16,1,10,8,12,3,0,0,18,0,0,0,1,Matches
Ralf Fährmann,de GER,GK,Schalke 04,32-139,1988,12.5,493,336,157,41,0,27,14,0,0,0,0,0,251,20,222,51,360,0,0,60,334,2,6,1,0,Matches
Ohis Felix Uduokhai,de GER,DF,Augsburg,23-157,1997,20.0,1064,1010,54,34,0,127,30,5,0,0,0,0,775,106,183,735,216,57,20,1,898,1,13,13,20,Matches
Edimilson Fernandes,ch SUI,"MF,DF",Mainz 05,24-304,1996,8.6,328,293,35,6,0,37,14,11,10,5,5,0,213,35,80,41,248,16,19,0,238,1,5,12,9,Matches
Alfreð Finnbogason,is ISL,FW,Augsburg,32-012,1989,4.6,140,135,5,0,2,38,3,8,1,0,0,0,77,41,22,31,82,13,1,4,85,1,3,7,7,Matches
Emil Forsberg,se SWE,"FW,MF",RB Leipzig,29-113,1991,10.4,352,314,38,7,2,56,12,6,19,4,12,1,261,40,51,28,298,11,2,8,272,1,10,9,16,Matches
Philipp Förster,de GER,"MF,FW",Stuttgart,26-009,1995,5.7,226,215,11,3,0,48,0,6,3,2,1,0,163,35,28,182,25,8,3,4,168,2,3,8,13,Matches
Timothy Fosu-Mensah,nl NED,DF,Leverkusen,23-042,1998,2.1,140,125,15,1,0,23,3,1,0,0,0,0,96,20,24,15,102,6,14,0,119,0,0,3,2,Matches
Raphael Framberger,de GER,DF,Augsburg,25-160,1995,9.1,405,302,103,6,1,68,7,23,0,0,0,0,156,139,110,12,250,33,97,1,268,2,8,13,27,Matches
Marco Friedl,at AUT,DF,Werder Bremen,22-334,1998,19.0,1067,981,86,53,0,86,78,5,7,1,3,0,710,92,265,746,241,38,26,4,878,1,18,12,18,Matches
Marvin Friedrich,de GER,DF,Union Berlin,25-062,1995,20.0,1070,1036,34,27,1,116,32,6,0,0,0,0,719,88,263,128,855,44,7,4,859,4,17,12,22,Matches
Jeremie Frimpong,nl NED,FW,Leverkusen,20-065,2000,0.2,11,11,0,0,0,0,0,1,0,0,0,0,10,0,1,1,10,0,0,0,8,0,0,1,0,Matches
Niclas Füllkrug,de GER,FW,Werder Bremen,28-004,1993,3.4,79,77,2,0,0,25,0,1,0,0,0,0,30,19,30,9,37,15,0,2,42,0,0,0,7,Matches
Mijat Gaćinović,rs SRB,"DF,MF",Hoffenheim,26-005,1995,7.6,366,300,66,6,0,39,10,15,4,1,2,1,207,96,63,69,217,18,55,2,281,0,5,8,23,Matches
Christian Gebauer,at AUT,"MF,FW",Arminia,27-055,1993,4.0,101,97,4,2,0,26,2,6,1,0,0,0,57,18,26,17,73,7,1,1,68,1,2,3,5,Matches
