,Unnamed: 0,player,nationality,position,squad,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,npxg_xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,matches
129,129,Timothy Fosu-Mensah,nl NED,DF,Leverkusen,23-042,1998,3,2,186,2.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,0.08,0.05,0.14,0.08,0.14,Matches
130,130,Raphael Framberger,de GER,DF,Augsburg,25-160,1995,11,10,820,9.1,0,1,0,0,0,4,1,0.0,0.11,0.11,0.0,0.11,0.0,0.0,1.3,1.3,0.0,0.14,0.15,0.0,0.15,Matches
131,131,Marco Friedl,at AUT,DF,Werder Bremen,22-334,1998,19,19,1710,19.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.4,0.01,0.01,0.02,0.01,0.02,Matches
132,132,Marvin Friedrich,de GER,DF,Union Berlin,25-062,1995,20,20,1800,20.0,4,0,4,0,0,1,0,0.2,0.0,0.2,0.2,0.2,1.0,1.0,0.4,1.3,0.05,0.02,0.07,0.05,0.07,Matches
133,133,Jeremie Frimpong,nl NED,FW,Leverkusen,20-065,2000,1,0,17,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,1.49,1.49,0.0,1.49,Matches
134,134,Niclas Füllkrug,de GER,FW,Werder Bremen,28-004,1993,7,4,306,3.4,4,0,2,2,2,0,0,1.18,0.0,1.18,0.59,0.59,3.0,1.5,0.1,1.6,0.88,0.04,0.92,0.43,0.47,Matches
135,135,Mijat Gaćinović,rs SRB,"DF,MF",Hoffenheim,26-005,1995,18,7,684,7.6,0,2,0,0,0,3,0,0.0,0.26,0.26,0.0,0.26,1.4,1.4,1.5,2.9,0.19,0.19,0.38,0.19,0.38,Matches
136,136,Christian Gebauer,at AUT,"MF,FW",Arminia,27-055,1993,10,3,359,4.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.2,0.8,0.14,0.05,0.19,0.14,0.19,Matches
137,137,Theodor Gebre Selassie,cz CZE,DF,Werder Bremen,34-051,1986,19,19,1710,19.0,1,1,1,0,0,1,0,0.05,0.05,0.11,0.05,0.11,0.6,0.6,0.4,0.9,0.03,0.02,0.05,0.03,0.05,Matches
138,138,Dennis Geiger,de GER,MF,Hoffenheim,22-248,1998,9,9,658,7.3,1,1,1,0,0,4,1,0.14,0.14,0.27,0.14,0.27,0.3,0.3,1.7,1.9,0.04,0.23,0.26,0.04,0.26,Matches
139,139,Christian Gentner,de GER,MF,Union Berlin,35-183,1985,10,6,427,4.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.9,0.9,0.01,0.19,0.2,0.01,0.2,Matches
140,140,Yannick Gerhardt,de GER,MF,Wolfsburg,26-337,1994,15,9,907,10.1,1,3,1,0,0,2,0,0.1,0.3,0.4,0.1,0.4,2.6,2.6,2.5,5.1,0.26,0.25,0.51,0.26,0.51,Matches
141,141,Hamadi Al Ghaddioui,ma MAR,"MF,FW",Stuttgart,30-144,1990,3,0,21,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
142,142,Niko Gießelmann,de GER,DF,Union Berlin,29-140,1991,10,3,302,3.4,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.01,0.04,0.04,0.01,0.04,Matches
