player,nationality,position,squad,age,birth_year,minutes_90s,goals,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches
Moanes Dabour,il ISR,FW,Hoffenheim,28-275,1992,8.5,2,21,8,38.1,2.46,0.94,0.10,0.25,13.5,1,0,1,4.1,3.4,0.17,-2.1,-1.4,Matches
Finn Dahmen,de GER,GK,Mainz 05,22-323,1998,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Mahmoud Dahoud,de GER,MF,Dortmund,25-043,1996,3.3,0,5,0,0.0,1.52,0.00,0.00,,25.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Leon Dajaku,de GER,FW,Union Berlin,19-307,2001,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Márton Dárdai,de GER,DF,Hertha BSC,19-001,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Vladimír Darida,cz CZE,MF,Hertha BSC,30-189,1990,15.5,0,18,4,22.2,1.16,0.26,0.00,0.00,22.9,1,0,0,0.6,0.6,0.03,-0.6,-0.6,Matches
Alphonso Davies,ca CAN,DF,Bayern Munich,20-103,2000,8.8,0,1,1,100.0,0.11,0.11,0.00,0.00,29.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Thomas Delaney,dk DEN,MF,Dortmund,29-163,1991,8.2,1,6,3,50.0,0.73,0.36,0.17,0.33,13.2,0,0,0,0.3,0.3,0.05,+0.7,+0.7,Matches
Kerem Demirbay,de GER,MF,Leverkusen,27-225,1993,9.7,3,23,6,26.1,2.37,0.62,0.13,0.50,23.6,4,0,0,1.6,1.6,0.07,+1.4,+1.4,Matches
Ermedin Demirović,ba BIH,FW,Freiburg,22-325,1998,8.2,3,18,10,55.6,2.18,1.21,0.17,0.30,13.8,0,0,0,1.8,1.8,0.10,+1.2,+1.2,Matches
Emmanuel Dennis,ng NGA,FW,Köln,23-090,1997,1.5,0,1,0,0.0,0.65,0.00,0.00,,8.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Mike van der Hoorn,nl NED,DF,Arminia,28-121,1992,13.9,0,4,2,50.0,0.29,0.14,0.00,0.00,10.0,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
Moussa Diaby,fr FRA,"FW,MF",Leverkusen,21-221,1999,18.6,3,38,18,47.4,2.04,0.97,0.08,0.17,18.8,0,0,0,3.7,3.7,0.10,-0.7,-0.7,Matches
Daniel Didavi,de GER,"FW,MF",Stuttgart,30-358,1990,7.7,2,15,4,26.7,1.95,0.52,0.13,0.50,19.3,5,0,0,2.5,2.5,0.17,-0.5,-0.5,Matches
Javairô Dilrosun,nl NED,FW,Hertha BSC,22-236,1998,3.0,0,2,0,0.0,0.66,0.00,0.00,,17.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Eren Dinkçi,de GER,FW,Werder Bremen,19-062,2001,0.1,1,1,1,100.0,15.00,15.00,1.00,1.00,5.0,0,0,0,0.3,0.3,0.34,+0.7,+0.7,Matches
Ritsu Doan,jp JPN,"MF,FW",Arminia,22-242,1998,17.9,3,38,11,28.9,2.12,0.61,0.08,0.27,20.0,3,0,0,2.6,2.6,0.07,+0.4,+0.4,Matches
Ji Dong-won,kr KOR,FW,Mainz 05,29-261,1991,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Bas Dost,nl NED,FW,Eint Frankfurt,31-258,1989,9.1,4,14,7,50.0,1.54,0.77,0.21,0.43,9.5,0,1,1,4.3,3.5,0.25,-0.3,-0.5,Matches
Aleksandar Dragović,at AUT,DF,Leverkusen,29-344,1991,8.1,1,2,2,100.0,0.25,0.25,0.50,0.50,16.2,0,0,0,0.2,0.2,0.09,+0.8,+0.8,Matches
