player,nationality,position,squad,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,gca_og_for,matches
Matthew Hoppe,us USA,FW,Schalke 04,19-337,2001,7.6,11,1.45,9,1,0,1,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Jannes Horn,de GER,DF,Köln,24-007,1997,12.7,20,1.57,16,2,0,0,2,0,1,0.08,1,0,0,0,0,0,0,Matches
Timo Horn,de GER,GK,Köln,27-277,1993,19.4,3,0.15,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Lukáš Hrádecký,fi FIN,GK,Leverkusen,31-081,1989,20.0,3,0.15,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Ajdin Hrustic,au AUS,"MF,FW",Eint Frankfurt,24-223,1996,0.9,1,1.11,1,0,0,0,0,0,1,1.11,1,0,0,0,0,0,0,Matches
Florian Hübner,de GER,DF,Union Berlin,29-349,1991,4.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Mats Hummels,de GER,DF,Dortmund,32-059,1988,19.9,18,0.91,17,0,0,0,1,0,2,0.10,2,0,0,0,0,0,0,Matches
Klaas-Jan Huntelaar,nl NED,FW,Schalke 04,37-185,1983,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Iago,br BRA,DF,Augsburg,23-327,1997,13.4,23,1.71,19,0,1,1,0,2,3,0.22,2,0,0,1,0,0,0,Matches
Vedad Ibišević,ba BIH,FW,Schalke 04,36-191,1984,1.7,5,2.88,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Stefan Ilsanker,at AUT,MF,Eint Frankfurt,31-271,1989,9.2,8,0.87,7,0,0,0,0,1,1,0.11,0,0,0,0,0,1,0,Matches
Marcus Ingvartsen,dk DEN,"MF,FW",Union Berlin,25-040,1996,12.8,33,2.59,18,5,3,3,3,1,7,0.55,3,2,1,0,0,1,0,Matches
Ismail Jakobs,de GER,"DF,MF",Köln,21-180,1999,12.2,13,1.07,11,1,1,0,0,0,1,0.08,1,0,0,0,0,0,0,Matches
Tony Jantschke,de GER,DF,M'Gladbach,30-312,1990,2.8,3,1.05,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Rune Jarstein,no NOR,GK,Hertha BSC,36-137,1984,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Tin Jedvaj,hr CRO,DF,Leverkusen,25-077,1995,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Fredrik Jensen,fi FIN,"FW,MF",Augsburg,23-157,1997,2.9,3,1.04,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Marco John,de GER,DF,Hoffenheim,18-317,2002,6.0,8,1.33,7,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Luka Jović,rs SRB,"FW,MF",Eint Frankfurt,23-052,1997,1.4,2,1.42,1,0,1,0,0,0,1,0.71,0,0,1,0,0,0,0,Matches
Ozan Kabak,tr TUR,DF,Schalke 04,20-325,2000,13.8,10,0.72,7,0,0,2,0,1,0,0.00,0,0,0,0,0,0,0,Matches
Pavel Kadeřábek,cz CZE,DF,Hoffenheim,28-294,1992,4.0,8,1.98,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
