player,nationality,position,squad,age,birth_year,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_match,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,matches
Edmond Tapsoba,bf BFA,DF,Leverkusen,22-011,1999,18,"1,482",82,82.3,16.5,16,90,16,2,21,0,1.72,29,20,+9,+0.55,-1.43,22.8,19.5,+3.3,+0.20,-0.68,Matches
Niklas Tauer,de GER,"MF,DF",Mainz 05,19-362,2001,5,69,14,3.8,0.8,0,,0,5,14,4,1.40,0,2,-2,-2.61,-1.62,1.1,1.4,-0.3,-0.41,0.00,Matches
Lino Tempelmann,de GER,"MF,DF",Freiburg,22-011,1999,8,231,29,12.8,2.6,2,68,1,6,16,10,1.38,4,7,-3,-1.17,-1.46,4.1,5.1,-1.0,-0.41,-0.33,Matches
Cedric Teuchert,de GER,"FW,MF",Union Berlin,24-030,1997,16,597,37,33.2,6.6,5,73,0,11,21,3,1.44,10,6,+4,+0.60,+0.23,8.2,8.8,-0.6,-0.10,-0.56,Matches
Malick Thiaw,fi FIN,DF,Schalke 04,19-189,2001,9,572,64,31.8,6.4,5,90,5,4,31,9,0.56,2,16,-14,-2.20,-0.52,4.6,13.0,-8.5,-1.34,0.00,Matches
Jan Thielmann,de GER,FW,Köln,18-263,2002,17,790,46,43.9,8.8,8,71,2,9,25,2,1.06,9,12,-3,-0.34,+0.55,8.9,14.2,-5.3,-0.60,+0.10,Matches
Erik Thommy,de GER,DF,Stuttgart,26-177,1994,2,52,26,2.9,0.6,0,,0,2,26,2,0.00,2,3,-1,-1.73,-1.94,1.1,2.2,-1.1,-1.96,-2.38,Matches
Marcus Thuram,fr FRA,"FW,MF",M'Gladbach,23-191,1997,16,841,53,46.7,9.3,8,79,2,8,27,0,1.38,19,12,+7,+0.75,+0.84,17.8,10.9,+7.0,+0.74,+0.65,Matches
Steffen Tigges,de GER,"FW,DF",Dortmund,22-197,1998,4,22,6,1.2,0.2,0,,0,4,6,3,1.50,1,1,0,0.00,-0.51,0.7,0.9,-0.2,-0.74,-1.74,Matches
Guus Til,nl NED,"FW,MF",Freiburg,23-053,1997,3,22,7,1.2,0.2,0,,0,3,7,9,1.33,0,0,0,0.00,-0.10,0.7,1.0,-0.3,-1.06,-0.95,Matches
Corentin Tolisso,fr FRA,MF,Bayern Munich,26-194,1994,13,643,49,35.7,7.1,6,75,0,7,28,1,2.62,24,12,+12,+1.68,+0.12,15.8,11.7,+4.1,+0.57,-0.38,Matches
Ömer Toprak,tr TUR,DF,Werder Bremen,31-207,1989,15,"1,042",69,60.9,11.6,13,77,5,2,18,1,1.00,12,18,-6,-0.52,-0.92,9.5,16.0,-6.5,-0.57,-0.56,Matches
Jordan Torunarigha,de GER,DF,Hertha BSC,23-190,1997,8,675,84,37.5,7.5,8,84,7,0,,5,1.00,11,14,-3,-0.40,+0.24,7.8,12.1,-4.2,-0.56,-0.50,Matches
Almamy Touré,ml MLI,DF,Eint Frankfurt,24-291,1996,13,574,44,31.9,6.4,7,71,2,6,13,4,2.15,12,11,+1,+0.16,-0.65,11.6,8.1,+3.5,+0.55,+0.22,Matches
Lucas Tousart,fr FRA,MF,Hertha BSC,23-290,1997,16,"1,239",77,68.8,13.8,15,82,10,1,16,3,0.81,15,24,-9,-0.65,-0.33,16.7,19.6,-2.9,-0.21,+0.13,Matches
Ibrahima Traoré,gn GUI,FW,M'Gladbach,32-298,1988,5,84,17,4.7,0.9,1,64,0,4,5,11,1.20,2,1,+1,+1.07,+0.81,1.8,0.6,+1.2,+1.32,+0.97,Matches
Kevin Trapp,de GER,GK,Eint Frankfurt,30-220,1990,20,"1,800",90,100.0,20.0,20,90,20,0,,0,1.80,41,29,+12,+0.60,,34.2,26.2,+8.0,+0.40,,Matches
Christopher Trimmel,at AUT,DF,Union Berlin,33-355,1987,17,"1,447",85,80.4,16.1,17,85,12,0,,1,1.47,28,22,+6,+0.37,-0.39,21.5,17.2,+4.2,+0.26,-0.05,Matches
Philipp Tschauner,de GER,GK,RB Leipzig,35-102,1985,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Cem Türkmen,de GER,MF,Leverkusen,18-321,2002,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
Tuta,br BRA,DF,Eint Frankfurt,21-224,1999,7,568,81,31.6,6.3,6,90,6,1,28,11,2.29,16,10,+6,+0.95,+0.51,10.2,8.2,+2.0,+0.32,-0.12,Matches
Sven Ulreich,de GER,GK,Bayern Munich,32-194,1988,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Luca Unbehaun,de GER,GK,Dortmund,20-017,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Dayot Upamecano,fr FRA,DF,RB Leipzig,22-109,1998,19,"1,600",84,84.7,17.8,19,84,16,0,,1,2.00,29,16,+13,+0.73,-1.13,31.7,15.3,+16.4,+0.92,-0.47,Matches
Benjamin Uphoff,de GER,GK,Freiburg,27-189,1993,0,,,,,0,,0,0,,20,,,,,,,,,,,,Matches
Mark Uth,de GER,"FW,MF",Schalke 04,29-173,1991,16,"1,292",81,71.8,14.4,16,81,12,0,,0,0.44,11,40,-29,-2.02,-0.60,12.3,34.6,-22.3,-1.55,-0.76,Matches
