player,nationality,position,squad,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,gca_og_for,matches
Isaac Carcelen,es ESP,DF,Cádiz,27-296,1993,16.0,14,0.87,12,0,0,1,1,0,1,0.06,1,0,0,0,0,0,0,Matches
Dani Cárdenas,es ESP,GK,Levante,23-322,1997,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Marc Cardona,es ESP,"FW,MF",Osasuna,25-220,1995,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Diego Carlos,br BRA,DF,Sevilla,27-335,1993,18.0,10,0.56,8,0,0,2,0,0,1,0.06,0,0,0,1,0,0,0,Matches
Juan Carlos,es ESP,"MF,FW",Huesca,29-335,1991,3.1,9,2.95,8,0,0,0,0,1,1,0.33,1,0,0,0,0,0,0,Matches
Yannick Carrasco,be BEL,"DF,MF",Atlético Madrid,27-162,1993,10.4,37,3.55,23,5,6,1,2,0,7,0.67,4,2,1,0,0,0,0,Matches
Sergio Carreira,es ESP,DF,Celta Vigo,20-123,2000,2.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Guido Carrillo,ar ARG,FW,Elche,29-264,1991,3.4,1,0.41,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Dani Carvajal,es ESP,DF,Real Madrid,29-033,1992,9.2,15,1.63,11,0,1,2,0,1,4,0.44,3,0,0,1,0,0,0,Matches
William Carvalho,pt POR,MF,Betis,28-312,1992,10.8,14,1.29,13,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0,Matches
Casemiro,br BRA,MF,Real Madrid,28-356,1992,17.5,27,1.54,24,1,0,1,0,1,3,0.17,2,0,0,1,0,0,0,Matches
Sofian Chakla,ma MAR,DF,Getafe,27-164,1993,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Sofian Chakla,ma MAR,DF,Villarreal,27-164,1993,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Chema,es ESP,"DF,MF",Getafe,28-347,1992,3.1,1,0.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Denis Cheryshev,ru RUS,MF,Valencia,30-049,1990,9.0,20,2.23,14,0,2,0,2,2,3,0.33,3,0,0,0,0,0,0,Matches
