player,nationality,position,squad,age,birth_year,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_completed,passes_offsides,passes_oob,passes_intercepted,passes_blocked,matches
Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,25-341,1995,12.4,428,410,18,4,2,78,4,16,5,1,3,0,319,50,59,90,317,12,0,4,334,2,5,11,13,Matches
Rober Correa,es ESP,DF,Eibar,28-146,1992,7.5,326,243,83,3,0,50,7,14,0,0,0,0,125,84,117,24,162,40,80,0,209,0,15,4,8,Matches
Thierry Correia,pt POR,DF,Valencia,21-341,1999,11.2,618,504,114,11,0,79,17,25,0,0,0,0,320,146,152,42,438,26,103,3,460,4,8,14,26,Matches
Diego Costa,es ESP,FW,Atlético Madrid,32-129,1988,2.3,73,73,0,0,1,24,2,2,0,0,0,0,42,21,10,5,50,5,0,6,56,0,1,0,5,Matches
Jaume Costa,es ESP,"DF,MF",Villarreal,32-332,1988,2.1,124,112,12,1,1,13,1,4,0,0,0,0,93,14,17,75,33,3,11,0,104,0,1,0,2,Matches
Thibaut Courtois,be BEL,GK,Real Madrid,28-278,1992,22.0,767,593,174,25,0,65,14,0,0,0,0,0,519,42,206,403,227,0,2,129,621,2,10,5,2,Matches
Philippe Coutinho,br BRA,"MF,FW",Barcelona,28-246,1992,7.3,523,494,29,4,4,59,7,10,17,10,1,0,430,47,46,47,457,9,7,0,454,2,8,9,4,Matches
Juan Cruz Armada,es ESP,DF,Osasuna,28-200,1992,14.8,565,420,145,5,0,60,10,25,0,0,0,0,269,103,193,309,50,51,140,4,402,1,6,10,23,Matches
Sergio Cubero Ezcurra,es ESP,MF,Eibar,21-161,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Cucho,co COL,"FW,MF",Getafe,21-299,1999,12.8,403,388,15,1,1,104,15,25,2,0,2,0,223,94,86,59,276,30,7,6,272,2,14,9,16,Matches
