player,nationality,position,squad,age,birth_year,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_match,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,matches
Mikel Balenziaga,es ESP,DF,Athletic Club,32-350,1988,10,591,59,31.3,6.6,5,80,2,5,38,10,1.10,7,11,-4,-0.61,-1.02,6.5,6.2,+0.3,+0.05,-0.13,Matches
Geovanni Barba,es ESP,DF,Betis,19-272,2001,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
Sergio Barcia,es ESP,DF,Granada,20-044,2000,1,90,90,4.5,1.0,1,90,1,0,,0,0.00,0,2,-2,-2.00,-1.62,0.8,2.6,-1.8,-1.77,-1.45,Matches
Enis Bardhi,mk MKD,MF,Levante,25-226,1995,11,632,57,33.4,7.0,7,79,2,4,19,1,1.00,6,11,-5,-0.71,-1.07,9.4,7.4,+2.1,+0.29,+0.50,Matches
Kike Barja,es ESP,"MF,FW",Osasuna,23-318,1997,19,564,30,28.5,6.3,6,67,0,13,13,3,1.11,7,8,-1,-0.16,+0.41,7.7,6.2,+1.4,+0.23,+0.78,Matches
Marc Baró Ortiz,es ESP,DF,Cádiz,21-174,1999,1,90,90,4.5,1.0,1,90,1,0,,11,0.00,0,3,-3,-3.00,-2.43,0.8,2.1,-1.3,-1.33,-0.96,Matches
Antonio Barragán,es ESP,DF,Elche,33-246,1987,16,"1,395",87,73.8,15.5,16,87,15,0,,1,0.81,15,23,-8,-0.52,+0.21,11.0,25.6,-14.6,-0.94,+0.14,Matches
Ander Barrenetxea,es ESP,"FW,MF",Real Sociedad,19-048,2001,18,781,43,39.4,8.7,9,69,0,9,18,3,1.39,12,7,+5,+0.58,-0.25,13.0,7.0,+6.0,+0.69,-0.29,Matches
Gerard Barri,es ESP,DF,Elche,20-042,2001,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
Marc Bartra,es ESP,DF,Betis,30-029,1991,13,"1,154",89,58.3,12.8,13,89,12,0,,1,1.23,15,22,-7,-0.55,-0.44,14.1,19.5,-5.4,-0.42,-0.50,Matches
Rodrigo Battaglia,ar ARG,MF,Alavés,29-216,1991,20,"1,515",76,76.5,16.8,18,83,12,2,11,0,1.05,16,26,-10,-0.59,-0.59,20.1,27.4,-7.2,-0.43,-1.00,Matches
Jon Bautista,es ESP,"FW,MF",Real Sociedad,25-225,1995,11,175,16,8.8,1.9,0,,0,11,16,11,1.36,2,3,-1,-0.51,-1.36,2.2,1.4,+0.8,+0.42,-0.49,Matches
Fran Beltrán,es ESP,"MF,FW",Celta Vigo,22-010,1999,18,749,42,36.2,8.3,8,68,0,10,21,5,1.44,8,14,-6,-0.72,-0.79,10.5,11.1,-0.6,-0.07,-0.50,Matches
Sergio Benito,es ESP,FW,Valladolid,21-327,1999,1,2,2,0.1,0.0,0,,0,1,2,3,1.00,0,0,0,0.00,+0.55,0.1,0.0,+0.1,+5.66,+6.19,Matches
Karim Benzema,fr FRA,FW,Real Madrid,33-056,1987,20,"1,771",89,89.4,19.7,20,89,16,0,,0,2.25,37,16,+21,+1.07,+1.50,32.2,18.5,+13.8,+0.70,+1.06,Matches
Yuri Berchiche,es ESP,DF,Athletic Club,31-003,1990,18,"1,274",71,67.4,14.2,16,78,11,2,13,1,1.06,19,15,+4,+0.28,+0.57,16.2,14.6,+1.6,+0.12,-0.07,Matches
Álex Berenguer,es ESP,"FW,MF",Athletic Club,25-224,1995,18,"1,119",62,59.2,12.4,13,77,4,5,24,0,1.22,19,12,+7,+0.56,+1.15,17.2,11.4,+5.8,+0.47,+0.80,Matches
Pedro Bigas,es ESP,DF,Eibar,30-151,1990,18,"1,408",78,71.1,15.6,17,82,14,1,17,1,0.72,13,20,-7,-0.45,-0.45,17.6,20.6,-3.0,-0.19,+0.18,Matches
Alejandro Blanco,es ESP,MF,Valencia,22-059,1998,7,257,37,13.0,2.9,2,62,0,5,27,14,0.86,3,5,-2,-0.70,-0.70,2.7,6.1,-3.5,-1.21,-1.06,Matches
Antonio Blanco,es ESP,MF,Real Madrid,20-205,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Pepe Blanco,es ESP,MF,Alavés,21-199,1999,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Raúl Blanco,es ESP,MF,Celta Vigo,19-197,2001,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Rubén Blanco,es ESP,GK,Celta Vigo,25-203,1995,16,"1,440",90,69.6,16.0,16,90,16,0,,0,1.44,25,24,+1,+0.06,+0.92,21.3,17.3,+4.0,+0.27,+0.06,Matches
Jérémy Blasco,fr FRA,DF,Real Sociedad,22-001,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Alejandro Blesa,es ESP,MF,Levante,19-029,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Yann Bodiger,fr FRA,MF,Cádiz,26-004,1995,9,251,28,12.7,2.8,2,68,1,7,17,9,1.33,3,4,-1,-0.36,+0.37,3.9,4.1,-0.2,-0.06,+0.40,Matches
Yassine Bounou,ma MAR,GK,Sevilla,29-314,1991,18,"1,620",90,85.7,18.0,18,90,18,0,,1,2.00,26,13,+13,+0.72,+0.06,24.6,17.2,+7.5,+0.42,-0.33,Matches
Lucas Boyé,ar ARG,FW,Elche,24-351,1996,18,"1,328",74,70.3,14.8,16,80,8,2,25,0,0.61,15,22,-7,-0.47,+0.33,10.8,23.7,-13.0,-0.94,+0.11,Matches
Martin Braithwaite,dk DEN,FW,Barcelona,29-253,1991,18,910,51,48.1,10.1,10,82,7,8,12,2,2.00,18,9,+9,+0.89,-0.49,26.1,12.3,+13.9,+1.37,+0.71,Matches
Brandon,es ESP,FW,Osasuna,26-009,1995,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches
Darko Brašanac,rs SRB,"MF,FW",Osasuna,29-001,1992,5,198,40,10.0,2.2,2,59,0,3,27,2,0.20,3,3,0,0.00,+0.51,4.5,3.2,+1.2,+0.55,+0.98,Matches
Alvaro Bravo Jiménez,es ESP,MF,Granada,23-009,1998,1,15,15,0.8,0.2,0,,0,1,15,0,0.00,0,0,0,0.00,+0.46,0.8,0.0,+0.7,+4.42,+4.84,Matches
Claudio Bravo,cl CHI,GK,Betis,37-306,1983,9,810,90,40.9,9.0,9,90,9,0,,0,1.44,11,16,-5,-0.56,-0.32,12.3,13.1,-0.8,-0.09,+0.21,Matches
Diego Bri,es ESP,FW,Elche,18-154,2002,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
Yan Brice Eteki,cm CMR,MF,Granada,23-171,1997,13,568,44,28.7,6.3,6,75,3,7,17,6,1.23,4,14,-10,-1.58,-1.58,5.5,10.1,-4.6,-0.73,-0.49,Matches
Bryan,es ESP,FW,Sevilla,20-002,2001,1,13,13,0.7,0.1,0,,0,1,13,0,3.00,2,0,+2,+13.85,+13.22,1.2,0.1,+1.2,+8.26,+7.85,Matches
Bryan,es ESP,"MF,FW",Eibar,20-002,2001,14,"1,178",84,59.5,13.1,13,89,9,1,21,1,1.07,11,14,-3,-0.23,+0.22,14.3,16.3,-2.0,-0.15,+0.24,Matches
Ante Budimir,hr CRO,FW,Osasuna,29-206,1991,14,737,53,37.2,8.2,9,73,4,5,16,1,0.79,9,17,-8,-0.98,-0.83,9.4,12.7,-3.3,-0.41,-0.12,Matches
Esteban Burgos,ar ARG,DF,Eibar,29-035,1992,12,939,78,47.4,10.4,10,85,6,2,45,9,1.17,9,9,0,0.00,+0.61,10.3,13.2,-2.9,-0.28,-0.06,Matches
Burgui,es ESP,"FW,MF",Alavés,27-107,1993,0,,,,,0,,0,0,,10,,,,,,,,,,,,Matches
Sergio Busquets,es ESP,MF,Barcelona,32-212,1988,19,"1,298",68,68.7,14.4,16,77,6,3,25,0,2.11,31,15,+16,+1.11,-0.11,28.7,16.7,+12.0,+0.83,-0.56,Matches
Erick Cabaco,uy URU,DF,Getafe,25-300,1995,15,990,66,50.0,11.0,11,81,7,4,24,2,1.20,9,16,-7,-0.64,-0.27,9.8,13.2,-3.4,-0.31,+0.09,Matches
José Cabrera,es ESP,DF,Villarreal,19-235,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Cala,es ESP,DF,Cádiz,31-079,1989,18,"1,540",86,77.8,17.1,18,86,15,0,,1,1.11,15,27,-12,-0.70,-0.09,14.3,21.3,-7.0,-0.41,+0.02,Matches
Jonathan Calleri,ar ARG,FW,Osasuna,27-143,1993,16,"1,006",63,50.8,11.2,13,71,3,3,29,0,0.94,11,16,-5,-0.45,+0.01,11.5,12.1,-0.6,-0.06,+0.55,Matches
Dani Calvo,es ESP,DF,Elche,26-318,1994,8,429,54,22.7,4.8,4,79,3,4,29,11,1.38,5,7,-2,-0.42,+0.20,3.5,9.9,-6.4,-1.50,-0.66,Matches
Sergio Camello,es ESP,FW,Atlético Madrid,20-003,2001,0,,,,,0,,0,0,,12,,,,,,,,,,,,Matches
José Campaña,es ESP,MF,Levante,27-258,1993,9,748,83,39.6,8.3,8,90,8,1,28,0,0.78,8,13,-5,-0.60,-1.00,10.7,10.6,0.0,0.00,+0.07,Matches
Gaizka Campos Bahillo,es ESP,GK,Valladolid,23-273,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Sergio Canales,es ESP,"MF,FW",Betis,29-363,1991,16,"1,240",78,62.6,13.8,14,86,9,2,20,0,1.44,21,19,+2,+0.15,+1.36,18.5,18.1,+0.4,+0.03,+0.66,Matches
Lucas Cañizars,es ESP,GK,Real Madrid,18-279,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Ander Capa,es ESP,DF,Athletic Club,29-005,1992,20,"1,669",83,88.3,18.5,20,83,12,0,,1,1.10,24,24,0,0.00,-0.81,19.1,18.7,+0.3,+0.02,-1.03,Matches
Étienne Capoue,fr FRA,MF,Villarreal,32-217,1988,4,317,79,16.0,3.5,4,79,1,0,,0,1.50,7,3,+4,+1.14,+0.87,4.5,1.6,+2.9,+0.83,+0.30,Matches
Isaac Carcelen,es ESP,DF,Cádiz,27-296,1993,18,"1,440",80,72.7,16.0,18,80,14,0,,0,0.94,14,27,-13,-0.81,-0.48,14.2,20.8,-6.6,-0.41,+0.01,Matches
Dani Cárdenas,es ESP,GK,Levante,23-322,1997,1,90,90,4.8,1.0,1,90,1,0,,18,1.00,1,1,0,0.00,0.00,1.3,1.3,0.0,+0.02,+0.06,Matches
