player,nationality,position,squad,age,birth_year,minutes_90s,goals,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches
Bryan,es ESP,"MF,FW",Eibar,20-002,2001,13.1,3,22,8,36.4,1.68,0.61,0.14,0.38,18.4,1,0,0,1.5,1.2,0.05,+1.5,+1.8,Matches
Ante Budimir,hr CRO,FW,Osasuna,29-206,1991,8.2,5,25,10,40.0,3.05,1.22,0.20,0.50,10.6,0,0,0,4.6,4.6,0.21,+0.4,+0.4,Matches
Esteban Burgos,ar ARG,DF,Eibar,29-035,1992,10.4,3,3,2,66.7,0.29,0.19,0.33,0.50,14.5,0,2,2,2.6,1.1,0.35,+0.4,-0.1,Matches
Sergio Busquets,es ESP,MF,Barcelona,32-212,1988,14.4,0,1,1,100.0,0.07,0.07,0.00,0.00,24.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Erick Cabaco,uy URU,DF,Getafe,25-300,1995,11.0,0,1,0,0.0,0.09,0.00,0.00,,13.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Cala,es ESP,DF,Cádiz,31-079,1989,17.1,1,9,3,33.3,0.53,0.18,0.11,0.33,14.6,0,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches
Jonathan Calleri,ar ARG,FW,Osasuna,27-143,1993,11.2,4,33,13,39.4,2.95,1.16,0.12,0.31,12.9,0,0,0,4.0,4.0,0.12,0.0,0.0,Matches
Dani Calvo,es ESP,DF,Elche,26-318,1994,4.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
José Campaña,es ESP,MF,Levante,27-258,1993,8.3,1,12,4,33.3,1.44,0.48,0.00,0.00,22.3,1,1,1,1.4,0.7,0.06,-0.4,-0.7,Matches
Sergio Canales,es ESP,"MF,FW",Betis,29-363,1991,13.8,7,22,7,31.8,1.60,0.51,0.23,0.71,21.8,4,2,2,3.1,1.5,0.07,+3.9,+3.5,Matches
Ander Capa,es ESP,DF,Athletic Club,29-005,1992,18.5,2,9,6,66.7,0.49,0.32,0.22,0.33,14.5,0,0,0,1.0,1.0,0.12,+1.0,+1.0,Matches
Étienne Capoue,fr FRA,MF,Villarreal,32-217,1988,3.5,0,1,0,0.0,0.28,0.00,0.00,,12.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Isaac Carcelen,es ESP,DF,Cádiz,27-296,1993,16.0,0,7,3,42.9,0.44,0.19,0.00,0.00,24.3,5,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Dani Cárdenas,es ESP,GK,Levante,23-322,1997,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Marc Cardona,es ESP,"FW,MF",Osasuna,25-220,1995,0.6,0,1,1,100.0,1.70,1.70,0.00,0.00,8.5,0,0,0,0.2,0.2,0.17,-0.2,-0.2,Matches
Diego Carlos,br BRA,DF,Sevilla,27-335,1993,18.0,0,11,4,36.4,0.61,0.22,0.00,0.00,10.2,0,0,0,0.8,0.8,0.07,-0.8,-0.8,Matches
Juan Carlos,es ESP,"MF,FW",Huesca,29-335,1991,3.1,0,4,1,25.0,1.31,0.33,0.00,0.00,11.7,0,0,0,0.5,0.5,0.11,-0.5,-0.5,Matches
Yannick Carrasco,be BEL,"DF,MF",Atlético Madrid,27-162,1993,10.4,2,17,9,52.9,1.63,0.86,0.12,0.22,19.0,1,0,0,1.7,1.7,0.10,+0.3,+0.3,Matches
Sergio Carreira,es ESP,DF,Celta Vigo,20-123,2000,2.9,1,2,1,50.0,0.69,0.35,0.50,1.00,8.1,0,0,0,0.4,0.4,0.19,+0.6,+0.6,Matches
Guido Carrillo,ar ARG,FW,Elche,29-264,1991,3.4,2,7,2,28.6,2.07,0.59,0.29,1.00,11.1,0,0,0,1.0,1.0,0.15,+1.0,+1.0,Matches
Dani Carvajal,es ESP,DF,Real Madrid,29-033,1992,9.2,0,10,2,20.0,1.09,0.22,0.00,0.00,23.4,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
William Carvalho,pt POR,MF,Betis,28-312,1992,10.8,2,11,6,54.5,1.01,0.55,0.18,0.33,17.6,0,0,0,0.8,0.8,0.07,+1.2,+1.2,Matches
Casemiro,br BRA,MF,Real Madrid,28-356,1992,17.5,4,15,5,33.3,0.86,0.29,0.27,0.80,14.3,0,0,0,2.0,2.0,0.14,+2.0,+2.0,Matches
Sofian Chakla,ma MAR,DF,Getafe,27-164,1993,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Sofian Chakla,ma MAR,DF,Villarreal,27-164,1993,0.1,0,1,0,0.0,6.92,0.00,0.00,,11.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Chema,es ESP,"DF,MF",Getafe,28-347,1992,3.1,0,1,0,0.0,0.33,0.00,0.00,,48.0,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Denis Cheryshev,ru RUS,MF,Valencia,30-049,1990,9.0,0,19,5,26.3,2.12,0.56,0.00,0.00,19.1,0,0,0,1.4,1.4,0.08,-1.4,-1.4,Matches
Samuel Chukwueze,ng NGA,"MF,FW",Villarreal,21-267,1999,7.9,1,15,5,33.3,1.91,0.64,0.07,0.20,17.5,0,0,0,1.2,1.2,0.08,-0.2,-0.2,Matches
Víctor Chust,es ESP,DF,Real Madrid,20-345,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Cifu,es ESP,DF,Elche,30-131,1990,3.5,0,3,0,0.0,0.85,0.00,0.00,,22.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Alberto Cifuentes,es ESP,GK,Cádiz,41-260,1979,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Carlos Clerc,es ESP,DF,Levante,28-358,1992,19.1,0,3,2,66.7,0.16,0.10,0.00,0.00,17.2,1,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
Coke,es ESP,DF,Levante,33-293,1987,3.6,0,4,1,25.0,1.10,0.28,0.00,0.00,17.1,1,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Francis Coquelin,fr FRA,MF,Villarreal,29-276,1991,5.5,0,3,0,0.0,0.54,0.00,0.00,,17.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Iñigo Córdoba,es ESP,MF,Alavés,23-337,1997,0.3,0,1,0,0.0,2.90,0.00,0.00,,17.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Iñigo Córdoba,es ESP,"FW,MF",Athletic Club,23-337,1997,1.1,0,2,0,0.0,1.89,0.00,0.00,,16.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,25-341,1995,12.4,3,21,9,42.9,1.70,0.73,0.14,0.33,16.6,0,0,0,2.5,2.3,0.11,+0.5,+0.7,Matches
Rober Correa,es ESP,DF,Eibar,28-146,1992,7.5,0,1,0,0.0,0.13,0.00,0.00,,22.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Thierry Correia,pt POR,DF,Valencia,21-341,1999,11.2,0,3,1,33.3,0.27,0.09,0.00,0.00,19.3,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
Diego Costa,es ESP,FW,Atlético Madrid,32-129,1988,2.3,2,4,2,50.0,1.73,0.87,0.25,0.50,13.1,0,1,1,1.4,0.6,0.16,+0.6,+0.4,Matches
Jaume Costa,es ESP,"DF,MF",Villarreal,32-332,1988,2.1,0,1,0,0.0,0.49,0.00,0.00,,15.5,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Thibaut Courtois,be BEL,GK,Real Madrid,28-278,1992,22.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Philippe Coutinho,br BRA,"MF,FW",Barcelona,28-246,1992,7.3,2,28,9,32.1,3.85,1.24,0.07,0.22,17.0,0,0,0,3.9,3.9,0.14,-1.9,-1.9,Matches
Juan Cruz Armada,es ESP,DF,Osasuna,28-200,1992,14.8,0,1,0,0.0,0.07,0.00,0.00,,20.1,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Sergio Cubero Ezcurra,es ESP,MF,Eibar,21-161,1999,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Cucho,co COL,"FW,MF",Getafe,21-299,1999,12.8,2,24,11,45.8,1.88,0.86,0.08,0.18,16.2,1,0,0,2.4,2.4,0.10,-0.4,-0.4,Matches
