player,nationality,position,squad,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,matches
Diego Costa,es ESP,FW,Atlético Madrid,32-129,1988,2.3,99,2,6,44,53,20,99,0,0,,0,0,51,168,73,4,2,3,7,6,119,90,75.6,28,Matches
Jaume Costa,es ESP,"DF,MF",Villarreal,32-332,1988,2.1,144,8,45,74,43,3,132,1,2,50.0,1,0,103,554,367,14,3,1,1,1,116,104,89.7,6,Matches
Thibaut Courtois,be BEL,GK,Real Madrid,28-278,1992,22.0,820,743,819,1,0,0,646,0,0,,0,0,448,2316,951,0,0,0,0,0,447,443,99.1,0,Matches
Philippe Coutinho,br BRA,"MF,FW",Barcelona,28-246,1992,7.3,601,7,35,284,325,44,572,11,18,61.1,12,1,468,2552,1528,92,25,16,5,12,596,514,86.2,61,Matches
Juan Cruz Armada,es ESP,DF,Osasuna,28-200,1992,14.8,672,41,201,358,142,2,528,8,9,88.9,8,1,300,1488,681,29,13,0,7,6,370,309,83.5,13,Matches
Sergio Cubero Ezcurra,es ESP,MF,Eibar,21-161,1999,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Matches
Cucho,co COL,"FW,MF",Getafe,21-299,1999,12.8,582,7,41,248,327,46,567,16,25,64.0,17,1,420,2313,1246,75,21,10,45,42,617,433,70.2,90,Matches
Marc Cucurella,es ESP,MF,Getafe,22-206,1998,21.8,1084,17,157,442,557,55,1008,15,31,48.4,16,2,675,3548,2124,108,38,13,37,32,892,657,73.7,107,Matches
Patrick Cutrone,it ITA,FW,Valencia,23-041,1998,0.3,7,0,1,4,2,1,7,0,0,,0,0,3,24,13,1,0,0,0,0,12,5,41.7,0,Matches
Ousmane Dembélé,fr FRA,FW,Barcelona,23-274,1997,10.0,710,3,45,274,467,68,684,37,65,56.9,42,3,583,3486,2289,149,43,25,22,17,705,600,85.1,96,Matches
Sergiño Dest,us USA,DF,Barcelona,20-102,2000,11.3,816,23,187,332,340,48,732,16,29,55.2,18,0,583,2573,1650,100,22,13,12,16,629,574,91.3,48,Matches
Deyverson,br BRA,FW,Alavés,29-281,1991,8.6,378,10,50,197,146,29,373,5,14,35.7,5,2,178,501,215,12,2,2,26,11,444,256,57.7,75,Matches
Abdoulay Diaby,ml MLI,MF,Getafe,29-268,1991,0.2,17,0,1,5,14,3,17,0,1,0.0,0,0,12,106,87,2,3,0,0,1,14,13,92.9,3,Matches
Mouctar Diakhaby,fr FRA,DF,Valencia,24-056,1996,14.0,701,156,449,262,39,19,677,2,3,66.7,2,0,422,2592,1383,23,6,0,5,3,463,447,96.5,8,Matches
Víctor Díaz,es ESP,DF,Granada,32-246,1988,1.2,98,9,35,48,18,1,85,0,0,,0,0,40,145,67,3,2,0,1,0,52,49,94.2,2,Matches
Papakouli Diop,sn SEN,MF,Eibar,34-331,1986,13.8,561,35,111,363,107,12,557,6,9,66.7,6,0,255,977,374,18,6,4,7,6,326,268,82.2,16,Matches
Djené,tg TOG,DF,Getafe,29-044,1991,18.4,811,77,390,443,34,7,777,4,6,66.7,4,0,427,2656,1284,39,3,3,4,8,368,348,94.6,4,Matches
Marko Dmitrović,rs SRB,GK,Eibar,29-020,1992,21.7,748,621,738,8,3,1,510,1,1,100.0,1,0,318,1868,996,0,0,0,0,0,280,280,100.0,0,Matches
Jaume Doménech,es ESP,GK,Valencia,30-100,1990,22.0,784,700,779,6,0,0,501,1,1,100.0,1,0,321,1409,844,0,0,0,0,0,270,267,98.9,0,Matches
John Donald,es ESP,DF,Elche,20-167,2000,0.6,21,1,12,10,0,0,21,0,0,,0,0,18,124,65,0,0,0,1,0,21,20,95.2,0,Matches
Idrissa Doumbia,ci CIV,MF,Huesca,22-305,1998,3.7,188,13,62,114,28,1,185,9,11,81.8,9,0,152,655,194,5,1,0,2,4,150,130,86.7,1,Matches
Domingos Duarte,pt POR,DF,Granada,25-340,1995,17.3,773,124,419,381,25,10,745,3,3,100.0,3,0,396,2663,1516,33,5,0,2,4,428,406,94.9,1,Matches
Óscar Duarte,cr CRC,DF,Levante,31-255,1989,10.9,654,117,394,281,17,9,636,2,3,66.7,2,0,382,1879,957,16,2,0,1,1,450,436,96.9,2,Matches
Rubén Duarte,es ESP,DF,Alavés,25-118,1995,19.1,1172,76,376,586,255,7,949,2,8,25.0,3,1,494,2274,1255,59,18,1,6,7,556,525,94.4,10,Matches
Aritz Elustondo,es ESP,DF,Real Sociedad,26-322,1994,11.7,787,78,362,471,39,12,760,4,4,100.0,4,0,534,3607,2232,59,6,2,4,1,561,550,98.0,7,Matches
Rodrigo Ely,br BRA,DF,Alavés,27-102,1993,5.2,209,37,126,78,10,6,196,1,1,100.0,1,0,88,252,98,2,1,0,1,0,101,98,97.0,4,Matches
Emerson,br BRA,DF,Betis,22-030,1999,17.2,1283,71,335,618,400,33,1106,11,30,36.7,13,1,743,3304,1855,97,32,11,20,19,812,742,91.4,35,Matches
Youssef En-Nesyri,ma MAR,FW,Sevilla,23-257,1997,14.8,441,11,38,215,203,90,427,9,25,36.0,11,1,223,845,422,28,6,6,39,19,638,313,49.1,80,Matches
Sergi Enrich,es ESP,FW,Eibar,30-353,1990,5.9,246,6,20,103,126,36,236,5,8,62.5,5,0,114,435,181,12,3,0,13,9,364,164,45.1,55,Matches
Dani Escriche,es ESP,"FW,MF",Huesca,22-326,1998,2.9,130,0,14,75,51,5,128,6,15,40.0,7,1,99,505,254,9,5,1,9,5,148,91,61.5,15,Matches
Sergio Escudero,es ESP,DF,Sevilla,31-164,1989,3.2,221,3,60,106,70,6,192,2,2,100.0,2,0,138,606,350,18,9,0,2,1,159,149,93.7,7,Matches
Alfonso Espino,uy URU,DF,Cádiz,29-039,1992,17.1,751,40,304,343,133,11,608,9,21,42.9,11,1,327,1480,724,29,8,2,11,7,335,289,86.3,21,Matches
Esquerdo,es ESP,MF,Valencia,22-042,1999,2.6,128,8,40,73,19,0,126,2,4,50.0,2,0,77,273,82,5,0,0,1,2,89,80,89.9,3,Matches
Pervis Estupiñán,ec ECU,DF,Villarreal,23-023,1998,7.7,539,30,170,221,181,25,477,7,16,43.8,7,0,342,1589,892,38,15,7,10,14,356,317,89.0,45,Matches
Xabier Etxeita,es ESP,DF,Getafe,33-105,1987,9.8,398,48,191,204,19,8,384,2,2,100.0,2,0,165,939,461,13,2,0,2,0,168,158,94.0,4,Matches
Edu Expósito,es ESP,MF,Eibar,24-196,1996,18.7,949,23,137,577,287,22,911,18,28,64.3,19,1,579,3027,1501,74,25,4,23,25,658,565,85.9,63,Matches
Fali,es ESP,"DF,MF",Cádiz,27-185,1993,16.1,535,84,205,289,55,11,503,2,2,100.0,2,0,223,1070,607,21,6,0,6,2,260,242,93.1,5,Matches
Ansu Fati,es ESP,FW,Barcelona,18-105,2002,4.8,278,0,14,108,181,44,270,15,25,60.0,17,1,230,1369,908,57,19,16,5,15,301,229,76.1,49,Matches
Nabil Fekir,fr FRA,"MF,FW",Betis,27-210,1993,18.3,1145,3,67,565,585,77,1053,32,50,64.0,33,1,905,4743,2469,142,43,21,51,63,1104,872,79.0,136,Matches
Felipe,br BRA,DF,Atlético Madrid,31-273,1989,11.5,714,115,416,317,17,12,701,0,0,,0,0,419,2389,1116,19,1,0,0,2,457,442,96.7,4,Matches
João Félix,pt POR,FW,Atlético Madrid,21-095,1999,11.8,617,3,49,352,271,41,604,27,46,58.7,27,4,496,2220,1337,83,27,7,27,24,674,519,77.0,86,Matches
Aitor Fernández,es ESP,GK,Levante,29-286,1991,19.0,657,578,656,2,0,0,473,0,0,,0,0,308,1113,702,0,0,0,0,1,279,279,100.0,0,Matches
