player,nationality,position,squad,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Fran Beltrán,es ESP,"MF,FW",Celta Vigo,22-010,1999,8.3,14,10,6,5,3,3,13,23.1,10,169,64,37.9,43,91,35,9,0,0,9,7,21,9,0,Matches
Sergio Benito,es ESP,FW,Valladolid,21-327,1999,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
Karim Benzema,fr FRA,FW,Real Madrid,33-056,1987,19.7,7,4,1,2,4,1,4,25.0,3,131,23,17.6,13,49,69,9,5,0,4,6,13,13,0,Matches
Yuri Berchiche,es ESP,DF,Athletic Club,31-003,1990,14.2,24,15,17,4,3,9,24,37.5,15,161,53,32.9,76,54,31,15,0,0,15,13,37,21,0,Matches
Álex Berenguer,es ESP,"FW,MF",Athletic Club,25-224,1995,12.4,24,12,10,11,3,3,21,14.3,18,250,64,25.6,62,102,86,30,1,0,29,6,30,12,0,Matches
Pedro Bigas,es ESP,DF,Eibar,30-151,1990,15.6,14,12,7,6,1,6,12,50.0,6,97,42,43.3,47,46,4,14,5,1,9,16,30,99,0,Matches
Alejandro Blanco,es ESP,MF,Valencia,22-059,1998,2.9,5,0,2,2,1,1,6,16.7,5,61,12,19.7,38,18,5,7,0,0,7,2,7,3,0,Matches
Rubén Blanco,es ESP,GK,Celta Vigo,25-203,1995,16.0,0,0,0,0,0,0,0,,0,3,0,0.0,3,0,0,0,0,0,0,0,0,1,0,Matches
Yann Bodiger,fr FRA,MF,Cádiz,26-004,1995,2.8,3,2,1,2,0,1,5,20.0,4,71,11,15.5,22,38,11,7,3,0,4,6,9,4,0,Matches
Yassine Bounou,ma MAR,GK,Sevilla,29-314,1991,18.0,0,0,0,0,0,0,1,0.0,1,0,0,,0,0,0,0,0,0,0,0,0,1,0,Matches
Lucas Boyé,ar ARG,FW,Elche,24-351,1996,14.8,20,12,5,13,2,5,23,21.7,18,280,56,20.0,27,153,100,24,2,0,22,8,28,12,0,Matches
Martin Braithwaite,dk DEN,FW,Barcelona,29-253,1991,10.1,5,4,1,2,2,2,6,33.3,4,93,32,34.4,12,37,44,7,0,0,7,4,9,5,0,Matches
Darko Brašanac,rs SRB,"MF,FW",Osasuna,29-001,1992,2.2,3,3,0,2,1,2,4,50.0,2,46,11,23.9,4,25,17,3,1,0,2,2,5,3,0,Matches
Alvaro Bravo Jiménez,es ESP,MF,Granada,23-009,1998,0.2,1,1,0,1,0,1,1,100.0,0,2,1,50.0,0,1,1,0,0,0,0,0,1,0,0,Matches
Claudio Bravo,cl CHI,GK,Betis,37-306,1983,9.0,0,0,0,0,0,0,1,0.0,1,2,0,0.0,2,0,0,0,0,0,0,0,0,0,0,Matches
Yan Brice Eteki,cm CMR,MF,Granada,23-171,1997,6.3,12,9,7,5,0,1,5,20.0,4,126,29,23.0,49,63,14,8,2,0,6,5,17,15,0,Matches
Bryan,es ESP,FW,Sevilla,20-002,2001,0.1,1,1,0,1,0,0,0,,0,3,2,66.7,0,2,1,0,0,0,0,0,1,0,0,Matches
Bryan,es ESP,"MF,FW",Eibar,20-002,2001,13.1,22,12,9,7,6,2,11,18.2,9,242,65,26.9,56,79,107,19,0,0,19,8,30,5,0,Matches
