player,nationality,position,squad,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,matches
Martin Braithwaite,dk DEN,FW,Barcelona,29-253,1991,10.1,1,0,0,6,19,11,7,4,4,0,0,0,28,11,11,50.0,Matches
Darko Brašanac,rs SRB,"MF,FW",Osasuna,29-001,1992,2.2,1,0,0,7,1,0,2,2,3,0,0,0,18,4,3,57.1,Matches
Alvaro Bravo Jiménez,es ESP,MF,Granada,23-009,1998,0.2,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,66.7,Matches
Claudio Bravo,cl CHI,GK,Betis,37-306,1983,9.0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,,Matches
Yan Brice Eteki,cm CMR,MF,Granada,23-171,1997,6.3,0,1,0,23,9,0,0,5,9,0,1,0,54,13,9,59.1,Matches
Bryan,es ESP,FW,Sevilla,20-002,2001,0.1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,50.0,Matches
Bryan,es ESP,"MF,FW",Eibar,20-002,2001,13.1,2,0,0,15,27,4,67,8,12,0,0,0,101,6,30,16.7,Matches
Ante Budimir,hr CRO,FW,Osasuna,29-206,1991,8.2,2,0,0,14,20,11,4,1,8,0,0,0,34,63,42,60.0,Matches
Esteban Burgos,ar ARG,DF,Eibar,29-035,1992,10.4,5,0,0,14,3,1,0,7,7,0,0,0,166,38,28,57.6,Matches
Sergio Busquets,es ESP,MF,Barcelona,32-212,1988,14.4,6,0,0,23,35,0,1,14,20,0,0,0,159,29,22,56.9,Matches
Erick Cabaco,uy URU,DF,Getafe,25-300,1995,11.0,7,0,0,21,15,0,1,10,16,0,0,0,104,39,16,70.9,Matches
Cala,es ESP,DF,Cádiz,31-079,1989,17.1,5,0,0,19,24,1,0,19,21,0,0,0,151,32,24,57.1,Matches
Jonathan Calleri,ar ARG,FW,Osasuna,27-143,1993,11.2,3,0,0,31,26,8,8,4,5,0,0,0,54,64,67,48.9,Matches
Dani Calvo,es ESP,DF,Elche,26-318,1994,4.8,1,0,0,6,4,1,0,5,5,0,1,0,28,13,9,59.1,Matches
José Campaña,es ESP,MF,Levante,27-258,1993,8.3,0,0,0,7,13,1,16,8,8,0,0,0,76,6,8,42.9,Matches
Sergio Canales,es ESP,"MF,FW",Betis,29-363,1991,13.8,2,0,0,9,10,1,29,6,8,0,0,0,101,5,13,27.8,Matches
Ander Capa,es ESP,DF,Athletic Club,29-005,1992,18.5,4,0,0,19,7,1,46,18,17,0,1,0,169,18,18,50.0,Matches
Étienne Capoue,fr FRA,MF,Villarreal,32-217,1988,3.5,2,0,0,9,7,0,0,1,1,0,0,0,36,12,3,80.0,Matches
Isaac Carcelen,es ESP,DF,Cádiz,27-296,1993,16.0,0,0,0,7,34,0,19,23,19,0,0,0,164,25,21,54.3,Matches
Dani Cárdenas,es ESP,GK,Levante,23-322,1997,1.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,Matches
Marc Cardona,es ESP,"FW,MF",Osasuna,25-220,1995,0.6,0,0,0,3,1,1,1,0,0,0,0,0,7,0,2,0.0,Matches
Diego Carlos,br BRA,DF,Sevilla,27-335,1993,18.0,3,0,0,21,16,0,2,10,11,0,1,1,152,44,28,61.1,Matches
Juan Carlos,es ESP,"MF,FW",Huesca,29-335,1991,3.1,0,0,0,12,5,0,2,3,3,0,0,0,21,4,5,44.4,Matches
Yannick Carrasco,be BEL,"DF,MF",Atlético Madrid,27-162,1993,10.4,2,0,0,13,16,2,33,12,12,0,1,0,82,0,10,0.0,Matches
Sergio Carreira,es ESP,DF,Celta Vigo,20-123,2000,2.9,0,0,0,2,2,0,4,1,2,0,0,0,16,1,1,50.0,Matches
Guido Carrillo,ar ARG,FW,Elche,29-264,1991,3.4,1,0,0,10,3,0,2,2,2,0,0,0,9,13,7,65.0,Matches
Dani Carvajal,es ESP,DF,Real Madrid,29-033,1992,9.2,5,0,0,14,10,0,16,14,18,0,1,0,84,10,7,58.8,Matches
William Carvalho,pt POR,MF,Betis,28-312,1992,10.8,1,0,0,8,11,0,2,8,15,0,0,0,100,25,17,59.5,Matches
Casemiro,br BRA,MF,Real Madrid,28-356,1992,17.5,8,0,0,29,27,1,7,35,34,0,0,0,206,60,49,55.0,Matches
Sofian Chakla,ma MAR,DF,Getafe,27-164,1993,3.0,1,0,0,4,3,0,0,2,2,0,0,0,30,11,7,61.1,Matches
Sofian Chakla,ma MAR,DF,Villarreal,27-164,1993,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,100.0,Matches
Chema,es ESP,"DF,MF",Getafe,28-347,1992,3.1,2,1,0,5,3,0,0,2,2,0,0,0,37,4,5,44.4,Matches
Denis Cheryshev,ru RUS,MF,Valencia,30-049,1990,9.0,2,0,0,19,10,0,23,5,12,0,0,0,52,12,14,46.2,Matches
Samuel Chukwueze,ng NGA,"MF,FW",Villarreal,21-267,1999,7.9,0,0,0,7,17,11,13,3,5,1,0,0,46,5,8,38.5,Matches
Víctor Chust,es ESP,DF,Real Madrid,20-345,2000,0.1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,Matches
Cifu,es ESP,DF,Elche,30-131,1990,3.5,1,0,0,5,5,0,5,2,6,0,0,0,31,4,5,44.4,Matches
Alberto Cifuentes,es ESP,GK,Cádiz,41-260,1979,2.0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,,Matches
Carlos Clerc,es ESP,DF,Levante,28-358,1992,19.1,3,0,0,27,17,2,56,23,33,1,0,0,182,29,15,65.9,Matches
Coke,es ESP,DF,Levante,33-293,1987,3.6,0,0,0,2,4,0,4,4,8,0,0,0,28,5,6,45.5,Matches
Francis Coquelin,fr FRA,MF,Villarreal,29-276,1991,5.5,3,0,0,9,12,0,3,11,7,0,0,0,63,8,6,57.1,Matches
Iñigo Córdoba,es ESP,MF,Alavés,23-337,1997,0.3,0,0,0,1,1,0,1,0,1,0,0,0,5,1,0,100.0,Matches
Iñigo Córdoba,es ESP,"FW,MF",Athletic Club,23-337,1997,1.1,0,0,0,3,3,1,1,1,0,0,0,0,11,2,0,100.0,Matches
