,player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,minutes_90s,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,pens_save_pct,matches
19,Jan Oblak,si SVN,GK,Atlético Madrid,28-037,1993,20,20,"1,800",20.0,12,0.6,60,50,81.7,16,3,1,11,55.0,1,1,0,0,0.0,Matches
20,Fernando Pacheco,es ESP,GK,Alavés,28-271,1992,22,22,"1,980",22.0,29,1.32,85,57,67.1,5,7,10,6,27.3,1,1,0,0,0.0,Matches
21,Álex Remiro,es ESP,GK,Real Sociedad,25-326,1995,22,22,"1,980",22.0,20,0.91,54,36,66.7,9,8,5,8,36.4,3,2,1,0,33.3,Matches
22,Roberto,es ESP,GK,Valladolid,35-003,1986,6,6,540,6.0,10,1.67,25,17,68.0,0,2,4,0,0.0,3,2,0,1,0.0,Matches
23,Joel Robles,es ESP,GK,Betis,30-241,1990,13,13,"1,170",13.0,21,1.62,42,26,57.1,5,2,6,4,30.8,4,3,1,0,25.0,Matches
24,Rubén,es ESP,"GK,MF",Osasuna,36-236,1984,3,3,187,2.1,5,2.41,9,3,44.4,0,2,1,0,0.0,0,0,0,0,,Matches
25,Rui Silva,pt POR,GK,Granada,27-006,1994,21,21,"1,890",21.0,34,1.62,83,48,60.2,8,6,7,7,33.3,4,1,3,0,75.0,Matches
26,Unai Simón,es ESP,GK,Athletic Club,23-247,1997,21,21,"1,890",21.0,26,1.24,58,36,60.3,7,4,10,4,19.0,4,3,1,0,25.0,Matches
27,David Soria,es ESP,GK,Getafe,27-315,1993,13,13,"1,170",13.0,16,1.23,39,27,66.7,3,4,6,5,38.5,3,3,0,0,0.0,Matches
28,Marc-André ter Stegen,de GER,GK,Barcelona,28-289,1992,15,15,"1,350",15.0,14,0.93,57,44,75.4,11,2,2,6,40.0,0,0,0,0,,Matches
29,Tomáš Vaclík,cz CZE,GK,Sevilla,31-321,1989,3,3,270,3.0,3,1.0,9,6,66.7,2,0,1,1,33.3,0,0,0,0,,Matches
30,Koke Vegas,es ESP,GK,Levante,25-139,1995,1,1,90,1.0,2,2.0,4,2,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
31,Iván Villar,es ESP,GK,Celta Vigo,23-219,1997,7,7,630,7.0,10,1.43,22,15,63.6,1,3,3,1,14.3,2,2,0,0,0.0,Matches
32,Rubén Yáñez,es ESP,GK,Getafe,27-124,1993,9,9,810,9.0,12,1.33,28,17,60.7,3,2,4,3,33.3,1,1,0,0,0.0,Matches
33,Yoel,es ESP,GK,Eibar,32-169,1988,1,0,30,0.3,0,0.0,0,0,,0,0,0,0,,0,0,0,0,,Matches
0,Nícolas Andrade,br BRA,GK,Udinese,32-307,1988,2,2,180,2.0,5,2.5,7,2,28.6,1,0,1,0,0.0,0,0,0,0,,Matches
1,Emil Audero,it ITA,GK,Sampdoria,24-026,1997,21,21,"1,890",21.0,32,1.52,91,66,71.4,8,3,10,2,9.5,7,6,1,0,14.3,Matches
2,Gianluigi Buffon,it ITA,GK,Juventus,43-016,1978,4,4,360,4.0,2,0.5,9,8,88.9,3,1,0,2,50.0,1,1,0,0,0.0,Matches
3,Andrea Consigli,it ITA,GK,Sassuolo,34-017,1987,20,20,"1,800",20.0,32,1.6,94,63,68.1,8,6,6,4,20.0,2,2,0,0,0.0,Matches
4,Alex Cordaz,it ITA,GK,Crotone,38-043,1983,21,21,"1,890",21.0,50,2.38,117,69,59.8,3,3,15,2,9.5,3,3,0,0,0.0,Matches
5,Angelo da Costa Júnior,br BRA,GK,Bologna,37-093,1983,6,6,540,6.0,9,1.5,26,17,69.2,0,5,1,1,16.7,1,1,0,0,0.0,Matches
6,Alessio Cragno,it ITA,GK,Cagliari,26-230,1994,21,21,"1,890",21.0,39,1.86,123,86,71.5,3,6,12,2,9.5,4,4,0,0,0.0,Matches
7,Gianluigi Donnarumma,it ITA,GK,Milan,21-354,1999,20,20,"1,800",20.0,20,1.0,72,55,75.0,15,3,2,8,40.0,4,2,1,1,33.3,Matches
8,Bartłomiej Drągowski,pl POL,GK,Fiorentina,23-178,1997,21,21,"1,890",21.0,33,1.57,82,54,64.6,5,7,9,5,23.8,6,4,2,0,33.3,Matches
9,Pierluigi Gollini,it ITA,GK,Atalanta,25-332,1995,14,14,"1,235",13.7,14,1.02,41,26,68.3,6,6,2,5,35.7,3,1,2,0,66.7,Matches
10,Samir Handanović,si SVN,GK,Inter,36-214,1984,21,21,"1,890",21.0,23,1.1,66,45,69.7,14,5,2,7,33.3,4,3,1,0,25.0,Matches
11,Pau López,es ESP,GK,Roma,26-062,1994,11,10,917,10.2,16,1.57,37,24,59.5,7,1,2,1,10.0,1,1,0,0,0.0,Matches
12,Federico Marchetti,it ITA,GK,Genoa,38-006,1983,2,2,154,1.7,6,3.51,11,5,45.5,0,1,1,0,0.0,0,0,0,0,,Matches
13,Alex Meret,it ITA,GK,Napoli,23-328,1997,8,8,720,8.0,10,1.25,32,22,68.8,5,1,2,2,25.0,0,0,0,0,,Matches
