player,nationality,position,squad,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
Riccardo Calafiori,it ITA,DF,Roma,18-270,2002,0.2,8,9,88.9,135,16,3,4,75.0,5,5,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
Mattia Caldara,it ITA,DF,Atalanta,26-284,1994,0.8,35,37,94.6,934,214,8,8,100.0,12,12,100.0,15,15,100.0,0,0.0,0.0,0,2,0,0,1,Matches
Luca Caldirola,it ITA,DF,Benevento,30-012,1991,9.1,328,389,84.3,7217,2256,84,88,95.5,184,207,88.9,57,90,63.3,0,0.0,0.0,2,17,2,1,21,Matches
Hakan Çalhanoğlu,tr TUR,"MF,FW",Milan,27-005,1994,15.7,710,923,76.9,13839,4540,322,365,88.2,236,286,82.5,129,223,57.8,8,6.1,+1.9,63,66,37,9,104,Matches
Fabrizio Caligara,it ITA,MF,Cagliari,20-307,2000,2.0,53,68,77.9,962,243,20,25,80.0,25,30,83.3,7,11,63.6,0,0.1,-0.1,1,2,1,0,3,Matches
José Callejón,es ESP,FW,Fiorentina,34-002,1987,5.7,127,175,72.6,2308,450,60,70,85.7,51,69,73.9,13,18,72.2,1,1.3,-0.3,5,9,8,3,14,Matches
Antonio Candreva,it ITA,MF,Sampdoria,33-351,1987,14.0,491,754,65.1,9515,3513,224,265,84.5,169,237,71.3,83,208,39.9,4,3.3,+0.7,29,42,27,9,82,Matches
Gianluca Caprari,it ITA,"MF,FW",Benevento,27-198,1993,14.8,358,499,71.7,6201,1779,167,195,85.6,122,164,74.4,48,98,49.0,3,2.0,+1.0,22,31,16,5,41,Matches
Francesco Caputo,it ITA,FW,Sassuolo,33-191,1987,12.8,196,258,76.0,2400,354,139,161,86.3,42,58,72.4,2,8,25.0,3,1.2,+1.8,9,6,5,0,9,Matches
Andrea Carboni,it ITA,DF,Cagliari,20-009,2001,4.1,130,167,77.8,2934,908,37,44,84.1,63,80,78.8,29,39,74.4,0,0.5,-0.5,1,12,1,0,9,Matches
Giuseppe Caso,it ITA,MF,Genoa,22-066,1998,0.1,1,3,33.3,9,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
Samu Castillejo,es ESP,FW,Milan,26-026,1995,7.6,208,267,77.9,3544,890,97,112,86.6,85,99,85.9,20,35,57.1,0,0.4,-0.4,4,10,10,4,22,Matches
Gaetano Castrovilli,it ITA,MF,Fiorentina,23-362,1997,16.1,436,559,78.0,7583,2059,225,268,84.0,142,176,80.7,52,82,63.4,1,1.6,-0.6,14,39,22,6,54,Matches
Danilo Cataldi,it ITA,MF,Lazio,26-191,1994,3.2,207,252,82.1,3810,1379,82,90,91.1,95,104,91.3,26,51,51.0,0,0.1,-0.1,3,21,2,1,24,Matches
Federico Ceccherini,it ITA,DF,Hellas Verona,28-278,1992,11.1,408,510,80.0,7703,2646,156,178,87.6,196,226,86.7,45,90,50.0,0,0.1,-0.1,3,45,4,0,35,Matches
Federico Ceccherini,it ITA,DF,Fiorentina,28-278,1992,3.0,97,111,87.4,2176,613,29,30,96.7,48,52,92.3,20,29,69.0,0,0.0,0.0,0,4,0,0,5,Matches
Luca Ceppitelli,it ITA,DF,Cagliari,31-186,1989,6.4,307,350,87.7,6499,2206,97,111,87.4,151,162,93.2,54,69,78.3,0,0.0,0.0,0,17,1,0,16,Matches
Alberto Cerri,it ITA,FW,Cagliari,24-303,1996,1.5,36,53,67.9,557,134,20,25,80.0,11,19,57.9,4,5,80.0,0,0.5,-0.5,3,4,1,0,6,Matches
Julian Chabot,de GER,DF,Spezia,23-001,1998,14.0,686,784,87.5,16199,4158,176,192,91.7,322,350,92.0,180,228,78.9,1,0.2,+0.8,3,31,0,0,24,Matches
Giorgio Chiellini,it ITA,DF,Juventus,36-183,1984,6.0,371,409,90.7,7907,2384,99,100,99.0,214,227,94.3,55,78,70.5,0,0.0,0.0,0,32,0,0,21,Matches
Federico Chiesa,it ITA,"MF,DF",Juventus,23-111,1997,11.6,287,369,77.8,4807,1363,152,176,86.4,100,126,79.4,30,47,63.8,3,3.5,-0.5,21,14,19,9,34,Matches
Federico Chiesa,it ITA,DF,Fiorentina,23-111,1997,2.7,91,118,77.1,1795,588,44,50,88.0,30,38,78.9,16,23,69.6,1,0.8,+0.2,5,6,6,5,5,Matches
Vlad Chiricheș,ro ROU,DF,Sassuolo,31-091,1989,11.6,787,852,92.4,15327,4200,282,300,94.0,391,418,93.5,106,122,86.9,1,0.4,+0.6,4,34,0,0,25,Matches
Luca Cigarini,it ITA,MF,Crotone,34-238,1986,5.0,300,357,84.0,6465,2105,100,108,92.6,139,158,88.0,58,81,71.6,0,0.6,-0.6,7,45,3,0,37,Matches
Antonio Cioffi,it ITA,FW,Napoli,18-056,2002,0.1,10,11,90.9,130,13,7,7,100.0,3,3,100.0,0,0,,0,0.1,-0.1,1,0,1,0,1,Matches
Ebrima Colley,gm GAM,"FW,MF",Hellas Verona,21-012,2000,6.7,147,205,71.7,2206,402,89,107,83.2,48,67,71.6,7,14,50.0,0,0.6,-0.6,4,8,6,1,11,Matches
Omar Colley,gm GAM,DF,Sampdoria,28-112,1992,14.8,484,610,79.3,10904,3937,122,144,84.7,262,289,90.7,94,166,56.6,0,0.0,0.0,1,60,0,0,43,Matches
Lorenzo Colombo,it ITA,FW,Milan,18-342,2002,1.0,8,14,57.1,83,22,5,7,71.4,0,0,,1,2,50.0,0,0.0,0.0,0,0,1,1,0,Matches
Andrea Consigli,it ITA,GK,Sassuolo,34-017,1987,20.0,588,738,79.7,14484,8183,160,161,99.4,231,236,97.9,180,323,55.7,0,0.0,0.0,0,7,0,0,2,Matches
Andrea Conti,it ITA,DF,Parma,26-348,1994,3.0,139,164,84.8,2497,1084,61,66,92.4,61,72,84.7,14,19,73.7,0,0.2,-0.2,3,9,3,1,17,Matches
Andrea Conti,it ITA,DF,Milan,26-348,1994,0.3,21,25,84.0,416,151,6,7,85.7,14,16,87.5,1,2,50.0,0,0.1,-0.1,1,2,1,0,4,Matches
Alex Cordaz,it ITA,GK,Crotone,38-043,1983,21.0,662,848,78.1,16415,9682,184,185,99.5,284,293,96.9,190,365,52.1,0,0.0,0.0,1,3,0,0,1,Matches
Andreas Cornelius,dk DEN,FW,Parma,27-334,1993,12.8,219,319,68.7,3471,437,122,164,74.4,71,101,70.3,20,30,66.7,0,1.2,-1.2,11,15,5,0,15,Matches
