player,nationality,position,squad,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,gca_og_for,matches
Riccardo Calafiori,it ITA,DF,Roma,18-270,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Mattia Caldara,it ITA,DF,Atalanta,26-284,1994,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Luca Caldirola,it ITA,DF,Benevento,30-012,1991,9.1,3,0.33,2,0,0,0,0,1,0,0.00,0,0,0,0,0,0,0,Matches
Hakan Çalhanoğlu,tr TUR,"MF,FW",Milan,27-005,1994,15.7,106,6.76,60,37,1,5,3,0,14,0.89,7,6,0,0,1,0,0,Matches
Fabrizio Caligara,it ITA,MF,Cagliari,20-307,2000,2.0,2,0.98,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
José Callejón,es ESP,FW,Fiorentina,34-002,1987,5.7,11,1.93,8,1,0,0,1,1,2,0.35,2,0,0,0,0,0,0,Matches
Antonio Candreva,it ITA,MF,Sampdoria,33-351,1987,14.0,50,3.57,25,14,4,4,3,0,6,0.43,2,2,0,1,1,0,0,Matches
Gianluca Caprari,it ITA,"MF,FW",Benevento,27-198,1993,14.8,53,3.58,23,10,5,8,6,1,5,0.34,2,2,0,1,0,0,0,Matches
Francesco Caputo,it ITA,FW,Sassuolo,33-191,1987,12.8,20,1.57,14,0,1,2,3,0,4,0.31,3,0,0,0,1,0,0,Matches
Andrea Carboni,it ITA,DF,Cagliari,20-009,2001,4.1,1,0.24,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Giuseppe Caso,it ITA,MF,Genoa,22-066,1998,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Samu Castillejo,es ESP,FW,Milan,26-026,1995,7.6,16,2.09,13,0,0,1,2,0,1,0.13,1,0,0,0,0,0,0,Matches
Gaetano Castrovilli,it ITA,MF,Fiorentina,23-362,1997,16.1,33,2.05,28,0,1,0,4,0,5,0.31,5,0,0,0,0,0,0,Matches
Danilo Cataldi,it ITA,MF,Lazio,26-191,1994,3.2,7,2.16,5,1,0,0,0,1,1,0.31,1,0,0,0,0,0,0,Matches
Federico Ceccherini,it ITA,DF,Hellas Verona,28-278,1992,11.1,7,0.63,4,1,0,2,0,0,1,0.09,0,0,0,1,0,0,0,Matches
Federico Ceccherini,it ITA,DF,Fiorentina,28-278,1992,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Luca Ceppitelli,it ITA,DF,Cagliari,31-186,1989,6.4,1,0.16,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Alberto Cerri,it ITA,FW,Cagliari,24-303,1996,1.5,9,5.83,7,0,1,0,1,0,0,0.00,0,0,0,0,0,0,0,Matches
Julian Chabot,de GER,DF,Spezia,23-001,1998,14.0,9,0.64,7,0,0,2,0,0,2,0.14,2,0,0,0,0,0,0,Matches
Giorgio Chiellini,it ITA,DF,Juventus,36-183,1984,6.0,2,0.33,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0,Matches
Federico Chiesa,it ITA,"MF,DF",Juventus,23-111,1997,11.6,39,3.37,31,0,3,2,2,1,7,0.60,5,0,1,0,1,0,0,Matches
Federico Chiesa,it ITA,DF,Fiorentina,23-111,1997,2.7,10,3.75,7,1,1,1,0,0,1,0.37,1,0,0,0,0,0,0,Matches
Vlad Chiricheș,ro ROU,DF,Sassuolo,31-091,1989,11.6,11,0.95,10,0,0,1,0,0,1,0.09,1,0,0,0,0,0,0,Matches
Luca Cigarini,it ITA,MF,Crotone,34-238,1986,5.0,19,3.77,10,6,0,1,2,0,1,0.20,0,0,0,0,1,0,0,Matches
Antonio Cioffi,it ITA,FW,Napoli,18-056,2002,0.1,1,7.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Ebrima Colley,gm GAM,"FW,MF",Hellas Verona,21-012,2000,6.7,8,1.19,7,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0,Matches
Omar Colley,gm GAM,DF,Sampdoria,28-112,1992,14.8,3,0.20,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
