player,nationality,position,squad,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,matches
Davide Calabria,it ITA,DF,Milan,24-069,1996,20.5,5,0,0,20,30,1,37,15,37,0,0,1,232,17,24,41.5,Matches
Riccardo Calafiori,it ITA,DF,Roma,18-270,2002,0.2,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,,Matches
Mattia Caldara,it ITA,DF,Atalanta,26-284,1994,0.8,1,0,0,3,1,0,0,1,1,0,0,0,12,4,5,44.4,Matches
Luca Caldirola,it ITA,DF,Benevento,30-012,1991,9.1,3,0,0,11,11,1,1,3,6,0,0,0,67,12,14,46.2,Matches
Hakan Çalhanoğlu,tr TUR,"MF,FW",Milan,27-005,1994,15.7,2,0,0,13,27,3,42,15,9,1,0,0,104,5,26,16.1,Matches
Fabrizio Caligara,it ITA,MF,Cagliari,20-307,2000,2.0,2,0,0,11,2,0,4,3,3,0,1,0,15,3,0,100.0,Matches
José Callejón,es ESP,FW,Fiorentina,34-002,1987,5.7,0,0,0,3,10,0,15,4,2,0,0,0,27,7,8,46.7,Matches
Antonio Candreva,it ITA,MF,Sampdoria,33-351,1987,14.0,0,0,0,5,14,6,64,11,2,1,0,0,112,1,8,11.1,Matches
Gianluca Caprari,it ITA,"MF,FW",Benevento,27-198,1993,14.8,4,1,0,18,42,4,21,19,11,1,0,0,87,2,21,8.7,Matches
Francesco Caputo,it ITA,FW,Sassuolo,33-191,1987,12.8,1,0,0,12,18,15,1,1,1,1,0,0,28,9,10,47.4,Matches
Andrea Carboni,it ITA,DF,Cagliari,20-009,2001,4.1,0,0,0,4,4,0,2,3,1,0,0,0,32,1,14,6.7,Matches
Giuseppe Caso,it ITA,MF,Genoa,22-066,1998,0.1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,,Matches
Samu Castillejo,es ESP,FW,Milan,26-026,1995,7.6,3,0,0,12,17,2,19,8,11,0,0,0,50,6,6,50.0,Matches
Gaetano Castrovilli,it ITA,MF,Fiorentina,23-362,1997,16.1,5,1,0,28,43,1,19,19,20,0,1,0,130,12,26,31.6,Matches
Danilo Cataldi,it ITA,MF,Lazio,26-191,1994,3.2,2,0,0,3,3,0,5,7,5,0,0,0,34,2,2,50.0,Matches
Federico Ceccherini,it ITA,DF,Hellas Verona,28-278,1992,11.1,6,0,0,22,19,0,3,14,6,0,0,0,155,47,19,71.2,Matches
Federico Ceccherini,it ITA,DF,Fiorentina,28-278,1992,3.0,2,0,0,5,3,0,0,3,2,0,1,1,26,5,5,50.0,Matches
Luca Ceppitelli,it ITA,DF,Cagliari,31-186,1989,6.4,1,0,0,5,7,0,0,9,5,0,0,0,56,22,11,66.7,Matches
Alberto Cerri,it ITA,FW,Cagliari,24-303,1996,1.5,0,0,0,7,5,0,2,1,2,0,0,0,9,11,9,55.0,Matches
Julian Chabot,de GER,DF,Spezia,23-001,1998,14.0,9,1,1,25,24,0,2,19,31,0,1,0,120,46,22,67.6,Matches
Giorgio Chiellini,it ITA,DF,Juventus,36-183,1984,6.0,1,0,0,7,7,0,1,7,4,0,0,0,43,12,5,70.6,Matches
Federico Chiesa,it ITA,"MF,DF",Juventus,23-111,1997,11.6,1,1,0,13,21,5,33,3,16,2,0,0,54,4,13,23.5,Matches
Federico Chiesa,it ITA,DF,Fiorentina,23-111,1997,2.7,0,0,0,2,3,2,9,1,2,0,0,0,20,1,1,50.0,Matches
Vlad Chiricheș,ro ROU,DF,Sassuolo,31-091,1989,11.6,5,0,0,19,7,1,1,17,11,0,0,1,128,42,17,71.2,Matches
Luca Cigarini,it ITA,MF,Crotone,34-238,1986,5.0,4,1,1,13,12,0,1,3,8,1,0,0,57,4,6,40.0,Matches
Antonio Cioffi,it ITA,FW,Napoli,18-056,2002,0.1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,Matches
Ebrima Colley,gm GAM,"FW,MF",Hellas Verona,21-012,2000,6.7,1,0,0,12,14,7,7,2,3,0,0,0,47,2,28,6.7,Matches
Omar Colley,gm GAM,DF,Sampdoria,28-112,1992,14.8,3,0,0,14,10,1,4,28,13,0,0,0,147,44,27,62.0,Matches
Lorenzo Colombo,it ITA,FW,Milan,18-342,2002,1.0,0,0,0,1,0,3,1,1,2,0,0,0,6,3,3,50.0,Matches
Andrea Consigli,it ITA,GK,Sassuolo,34-017,1987,20.0,0,0,0,0,2,0,0,0,0,0,0,0,84,0,0,,Matches
Andrea Conti,it ITA,DF,Parma,26-348,1994,3.0,2,0,0,5,2,0,4,7,5,0,0,0,20,3,6,33.3,Matches
Andrea Conti,it ITA,DF,Milan,26-348,1994,0.3,0,0,0,2,1,0,1,1,1,0,0,0,1,0,0,,Matches
Alex Cordaz,it ITA,GK,Crotone,38-043,1983,21.0,0,0,0,0,4,0,0,0,0,0,0,0,100,0,0,,Matches
Andreas Cornelius,dk DEN,FW,Parma,27-334,1993,12.8,1,0,0,20,26,10,5,1,3,1,0,0,41,69,48,59.0,Matches
Joaquín Correa,ar ARG,FW,Lazio,26-184,1994,11.0,1,0,0,13,30,3,5,5,6,1,0,0,48,4,16,20.0,Matches
Angelo da Costa Júnior,br BRA,GK,Bologna,37-093,1983,6.0,2,0,0,0,0,1,0,0,0,0,0,0,24,0,0,,Matches
Douglas Costa,br BRA,"MF,FW",Juventus,30-152,1990,0.5,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0.0,Matches
