player,nationality,position,squad,age,birth_year,minutes_90s,goals,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches
Federico Bernardeschi,it ITA,"MF,DF",Juventus,26-363,1994,4.8,0,10,6,60.0,2.08,1.25,0.00,0.00,17.6,0,0,0,1.3,1.3,0.13,-1.3,-1.3,Matches
Daniel Bessa,it ITA,MF,Hellas Verona,28-030,1993,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Cristiano Biraghi,it ITA,DF,Fiorentina,28-165,1992,18.9,1,16,5,31.3,0.85,0.26,0.06,0.20,20.4,5,0,0,1.3,1.3,0.08,-0.3,-0.3,Matches
Davide Biraschi,it ITA,DF,Genoa,26-226,1994,4.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jeremie Boga,ci CIV,"FW,MF",Sassuolo,24-041,1997,10.8,3,16,6,37.5,1.48,0.55,0.19,0.50,15.3,0,0,0,1.6,1.6,0.10,+1.4,+1.4,Matches
Giacomo Bonaventura,it ITA,MF,Fiorentina,31-175,1989,13.8,1,24,7,29.2,1.74,0.51,0.04,0.14,20.2,1,0,0,1.4,1.4,0.06,-0.4,-0.4,Matches
Federico Bonazzoli,it ITA,FW,Torino,23-268,1997,3.5,2,13,4,30.8,3.69,1.14,0.15,0.50,16.3,0,0,0,1.2,1.2,0.09,+0.8,+0.8,Matches
Federico Bonazzoli,it ITA,FW,Sampdoria,23-268,1997,1.5,0,4,0,0.0,2.75,0.00,0.00,,21.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Kevin Bonifazi,it ITA,DF,Udinese,24-270,1996,11.6,0,8,0,0.0,0.69,0.00,0.00,,9.2,0,0,0,1.1,1.1,0.13,-1.1,-1.1,Matches
Leonardo Bonucci,it ITA,DF,Juventus,33-288,1987,17.2,2,12,3,25.0,0.70,0.17,0.17,0.67,11.1,0,0,0,2.6,2.6,0.22,-0.6,-0.6,Matches
Mehdi Bourabia,ma MAR,MF,Sassuolo,29-190,1991,5.2,1,8,3,37.5,1.53,0.57,0.13,0.33,20.5,2,0,0,0.5,0.5,0.06,+0.5,+0.5,Matches
Gleison Bremer,br BRA,DF,Torino,23-332,1997,17.0,3,14,5,35.7,0.82,0.29,0.21,0.60,9.2,0,0,0,2.0,2.0,0.14,+1.0,+1.0,Matches
Marcelo Brozović,hr CRO,MF,Inter,28-089,1992,14.9,1,18,4,22.2,1.21,0.27,0.06,0.25,22.4,1,0,0,1.1,1.1,0.06,-0.1,-0.1,Matches
Gastón Brugman,uy URU,MF,Parma,28-159,1992,8.6,0,9,4,44.4,1.04,0.46,0.00,0.00,21.8,1,0,0,0.7,0.7,0.08,-0.7,-0.7,Matches
Juan Brunetta,ar ARG,"FW,MF",Parma,23-277,1997,2.3,0,2,1,50.0,0.87,0.44,0.00,0.00,11.5,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches
Gianluigi Buffon,it ITA,GK,Juventus,43-016,1978,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Alessandro Buongiorno,it ITA,DF,Torino,21-252,1999,3.8,0,1,0,0.0,0.26,0.00,0.00,,8.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Maxime Busi,be BEL,DF,Parma,21-122,1999,6.2,0,4,1,25.0,0.64,0.16,0.00,0.00,24.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Martín Cáceres,uy URU,DF,Fiorentina,33-312,1987,13.1,1,5,2,40.0,0.38,0.15,0.20,0.50,17.7,0,0,0,0.5,0.5,0.10,+0.5,+0.5,Matches
Felipe Caicedo,ec ECU,FW,Lazio,32-161,1988,8.3,6,24,9,37.5,2.88,1.08,0.25,0.67,11.7,0,0,0,4.0,4.0,0.17,+2.0,+2.0,Matches
Arturo Calabresi,it ITA,"DF,FW",Bologna,24-333,1996,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Davide Calabria,it ITA,DF,Milan,24-069,1996,20.5,2,17,7,41.2,0.83,0.34,0.12,0.29,21.1,0,0,0,1.0,1.0,0.06,+1.0,+1.0,Matches
Riccardo Calafiori,it ITA,DF,Roma,18-270,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Mattia Caldara,it ITA,DF,Atalanta,26-284,1994,0.8,0,2,0,0.0,2.61,0.00,0.00,,10.0,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches
Luca Caldirola,it ITA,DF,Benevento,30-012,1991,9.1,2,5,3,60.0,0.55,0.33,0.40,0.67,14.6,0,0,0,0.4,0.4,0.07,+1.6,+1.6,Matches
Hakan Çalhanoğlu,tr TUR,"MF,FW",Milan,27-005,1994,15.7,1,43,12,27.9,2.74,0.76,0.00,0.00,24.5,11,1,1,2.7,1.9,0.05,-1.7,-1.9,Matches
Fabrizio Caligara,it ITA,MF,Cagliari,20-307,2000,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
José Callejón,es ESP,FW,Fiorentina,34-002,1987,5.7,0,8,1,12.5,1.40,0.18,0.00,0.00,17.5,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
Antonio Candreva,it ITA,MF,Sampdoria,33-351,1987,14.0,4,30,9,30.0,2.14,0.64,0.07,0.22,22.6,2,2,2,3.0,1.5,0.05,+1.0,+0.5,Matches
Gianluca Caprari,it ITA,"MF,FW",Benevento,27-198,1993,14.8,5,39,12,30.8,2.63,0.81,0.13,0.42,21.8,7,0,1,3.5,2.7,0.07,+1.5,+2.3,Matches
Francesco Caputo,it ITA,FW,Sassuolo,33-191,1987,12.8,8,26,13,50.0,2.03,1.02,0.27,0.54,12.5,0,1,1,5.9,5.1,0.20,+2.1,+1.9,Matches
Andrea Carboni,it ITA,DF,Cagliari,20-009,2001,4.1,0,1,0,0.0,0.24,0.00,0.00,,9.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Giuseppe Caso,it ITA,MF,Genoa,22-066,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Samu Castillejo,es ESP,FW,Milan,26-026,1995,7.6,1,11,4,36.4,1.44,0.52,0.09,0.25,17.2,0,0,0,0.9,0.9,0.08,+0.1,+0.1,Matches
Gaetano Castrovilli,it ITA,MF,Fiorentina,23-362,1997,16.1,4,22,11,50.0,1.36,0.68,0.18,0.36,17.3,0,0,0,2.3,2.3,0.11,+1.7,+1.7,Matches
