player,nationality,position,squad,age,birth_year,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_completed,passes_offsides,passes_oob,passes_intercepted,passes_blocked,matches
Gianluigi Buffon,it ITA,GK,Juventus,43-016,1978,4.0,136,100,36,3,0,15,0,0,0,0,0,0,103,8,25,11,106,0,0,19,120,0,2,0,0,Matches
Alessandro Buongiorno,it ITA,DF,Torino,21-252,1999,3.8,211,197,14,11,0,10,5,0,0,0,0,0,166,21,24,167,33,5,3,0,185,0,7,3,2,Matches
Maxime Busi,be BEL,DF,Parma,21-122,1999,6.2,384,329,55,4,0,18,5,6,0,0,0,0,239,67,78,42,283,5,51,1,321,2,3,11,6,Matches
Martín Cáceres,uy URU,DF,Fiorentina,33-312,1987,13.1,658,585,73,26,0,40,26,18,1,0,0,0,428,92,138,148,425,27,46,5,537,1,11,7,19,Matches
Felipe Caicedo,ec ECU,FW,Lazio,32-161,1988,8.3,201,196,5,1,0,60,2,0,0,0,0,0,122,47,32,130,34,7,2,11,144,0,4,3,6,Matches
Arturo Calabresi,it ITA,"DF,FW",Bologna,24-333,1996,0.2,6,4,2,0,0,0,0,0,0,0,0,0,1,0,5,1,3,0,2,0,4,0,0,0,0,Matches
Davide Calabria,it ITA,DF,Milan,24-069,1996,20.5,1216,1043,173,26,3,78,20,37,1,0,1,0,730,200,286,92,917,51,146,1,952,11,19,24,27,Matches
Riccardo Calafiori,it ITA,DF,Roma,18-270,2002,0.2,9,6,3,1,0,1,0,0,0,0,0,0,7,2,0,7,0,0,2,0,8,0,0,1,0,Matches
Mattia Caldara,it ITA,DF,Atalanta,26-284,1994,0.8,37,35,2,1,0,6,5,0,0,0,0,0,24,7,6,4,30,2,1,0,35,0,0,0,2,Matches
Luca Caldirola,it ITA,DF,Benevento,30-012,1991,9.1,389,367,22,19,0,23,10,1,0,0,0,0,297,26,66,310,56,17,2,1,328,0,6,6,1,Matches
Hakan Çalhanoğlu,tr TUR,"MF,FW",Milan,27-005,1994,15.7,923,777,146,48,4,94,67,42,90,49,29,4,627,83,213,67,827,16,4,5,710,2,14,17,24,Matches
Fabrizio Caligara,it ITA,MF,Cagliari,20-307,2000,2.0,68,61,7,4,0,13,1,4,1,1,0,0,45,8,15,45,13,4,2,1,53,0,1,1,1,Matches
José Callejón,es ESP,FW,Fiorentina,34-002,1987,5.7,175,164,11,3,2,27,6,15,0,0,0,0,116,29,30,18,139,6,7,2,127,1,2,3,12,Matches
Antonio Candreva,it ITA,MF,Sampdoria,33-351,1987,14.0,754,657,97,25,2,90,48,64,47,13,17,8,375,122,257,134,578,11,25,5,491,6,10,21,39,Matches
Gianluca Caprari,it ITA,"MF,FW",Benevento,27-198,1993,14.8,499,424,75,16,1,98,17,21,46,15,19,5,346,52,101,64,421,9,2,2,358,1,6,8,23,Matches
Francesco Caputo,it ITA,FW,Sassuolo,33-191,1987,12.8,258,227,31,0,1,51,1,1,0,0,0,0,197,36,25,53,187,6,0,4,196,0,7,8,11,Matches
Andrea Carboni,it ITA,DF,Cagliari,20-009,2001,4.1,167,144,23,11,0,15,7,2,0,0,0,0,104,14,49,120,27,6,12,1,130,0,4,8,3,Matches
Giuseppe Caso,it ITA,MF,Genoa,22-066,1998,0.1,3,3,0,0,0,2,0,0,0,0,0,0,2,1,0,0,3,0,0,0,1,0,0,0,2,Matches
Samu Castillejo,es ESP,FW,Milan,26-026,1995,7.6,267,251,16,5,1,35,6,19,3,0,0,0,202,30,35,216,36,5,8,1,208,1,3,9,11,Matches
Gaetano Castrovilli,it ITA,MF,Fiorentina,23-362,1997,16.1,559,535,24,12,2,94,30,19,5,0,1,4,407,71,81,90,445,6,7,4,436,6,11,7,23,Matches
Danilo Cataldi,it ITA,MF,Lazio,26-191,1994,3.2,252,229,23,11,0,33,10,5,10,5,3,1,172,30,50,49,191,6,2,2,207,1,3,2,4,Matches
Federico Ceccherini,it ITA,DF,Hellas Verona,28-278,1992,11.1,510,479,31,24,0,72,14,3,0,0,0,0,303,74,133,154,271,41,7,2,408,5,12,5,5,Matches
