player,nationality,position,squad,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,matches
Omar Colley,gm GAM,DF,Sampdoria,28-112,1992,14.8,759,116,400,366,31,11,738,0,1,0.0,0,0,373,2367,1198,29,7,0,2,2,448,431,96.2,2,Matches
Lorenzo Colombo,it ITA,FW,Milan,18-342,2002,1.0,26,2,5,11,13,5,26,0,1,0.0,0,0,14,89,52,4,1,1,2,3,32,14,43.8,3,Matches
Andrea Consigli,it ITA,GK,Sassuolo,34-017,1987,20.0,793,660,787,13,1,0,597,0,0,,0,0,426,2504,1639,1,0,0,1,0,402,400,99.5,0,Matches
Andrea Conti,it ITA,DF,Parma,26-348,1994,3.0,194,9,58,108,42,5,163,2,2,100.0,2,0,98,541,295,6,5,0,4,3,126,110,87.3,4,Matches
Andrea Conti,it ITA,DF,Milan,26-348,1994,0.3,29,1,7,20,4,0,26,2,2,100.0,2,0,24,116,76,3,1,0,1,1,21,21,100.0,0,Matches
Alex Cordaz,it ITA,GK,Crotone,38-043,1983,21.0,895,780,892,4,0,0,679,0,0,,0,0,483,2226,1132,0,0,0,0,0,466,466,100.0,0,Matches
Andreas Cornelius,dk DEN,FW,Parma,27-334,1993,12.8,452,20,51,249,169,50,434,11,17,64.7,11,0,238,988,272,18,4,5,32,17,650,349,53.7,108,Matches
Joaquín Correa,ar ARG,FW,Lazio,26-184,1994,11.0,548,8,27,262,301,66,521,17,32,53.1,18,1,431,2099,1186,66,18,7,30,34,586,441,75.3,127,Matches
Angelo da Costa Júnior,br BRA,GK,Bologna,37-093,1983,6.0,301,270,301,1,0,0,240,0,0,,0,0,177,1035,685,0,0,0,0,0,183,183,100.0,0,Matches
Douglas Costa,br BRA,"MF,FW",Juventus,30-152,1990,0.5,28,0,4,15,11,0,24,0,0,,0,0,17,125,86,3,1,0,0,0,29,21,72.4,3,Matches
Mamadou Coulibaly,sn SEN,MF,Udinese,22-010,1999,2.0,114,1,15,66,37,4,114,1,1,100.0,1,0,69,277,70,4,0,0,6,6,92,66,71.7,16,Matches
Alessio Cragno,it ITA,GK,Cagliari,26-230,1994,21.0,662,606,658,5,0,0,437,0,0,,0,0,256,1317,918,0,0,0,0,0,223,222,99.6,0,Matches
Domenico Criscito,it ITA,DF,Genoa,34-045,1986,10.0,575,79,258,277,69,3,523,3,4,75.0,3,0,308,1485,870,20,7,0,2,4,328,320,97.6,0,Matches
Bryan Cristante,it ITA,"DF,MF",Roma,25-347,1995,10.5,748,83,307,410,83,14,712,4,5,80.0,4,0,510,3130,1521,39,8,1,10,6,575,548,95.3,28,Matches
Giovanni Crociata,it ITA,"DF,MF",Crotone,23-186,1997,0.3,25,1,5,11,12,2,24,4,5,80.0,4,0,22,169,80,3,1,0,1,2,18,16,88.9,3,Matches
Juan Cuadrado,co COL,DF,Juventus,32-263,1988,12.9,1102,22,278,544,337,33,989,26,37,70.3,27,1,755,3312,2153,92,20,12,12,15,893,810,90.7,39,Matches
Giuseppe Cuomo,it ITA,DF,Crotone,23-011,1998,5.4,392,32,209,195,12,2,373,3,9,33.3,3,0,246,1377,727,12,3,0,0,4,252,248,98.4,0,Matches
Patrick Cutrone,it ITA,"FW,MF",Fiorentina,23-041,1998,2.2,81,1,3,41,41,7,78,0,1,0.0,0,0,53,287,112,6,0,1,3,9,102,58,56.9,26,Matches
Wylan Cyprien,fr FRA,MF,Parma,26-016,1995,4.3,322,19,101,178,55,2,300,1,2,50.0,1,0,195,817,412,17,1,0,3,3,241,226,93.8,4,Matches
Lennart-Marten Czyborra,de GER,DF,Genoa,21-286,1999,9.0,466,31,152,211,123,9,387,7,14,50.0,7,1,263,1193,565,31,5,2,8,5,299,261,87.3,11,Matches
Danilo D'Ambrosio,it ITA,DF,Inter,32-157,1988,4.4,311,24,97,178,59,5,290,0,1,0.0,0,0,204,835,486,18,7,0,5,4,242,225,93.0,8,Matches
Bryan Dabo,bf BFA,MF,Benevento,28-361,1992,7.5,409,17,86,236,119,14,402,8,15,53.3,8,0,224,1406,692,33,14,3,14,9,312,260,83.3,19,Matches
Diogo Dalot,pt POR,DF,Milan,21-332,1999,4.5,279,17,83,156,59,3,241,2,5,40.0,3,0,163,861,503,22,7,3,3,2,177,163,92.1,4,Matches
