player,nationality,position,squad,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Álex Berenguer,es ESP,MF,Torino,25-224,1995,1.5,0,0,0,0,0,0,4,0.0,4,38,4,10.5,7,25,6,5,1,0,4,0,0,1,0,Matches
Bartosz Bereszyński,pl POL,DF,Sampdoria,28-216,1992,14.5,36,22,22,9,5,8,24,33.3,16,206,63,30.6,103,73,30,41,7,0,34,16,52,39,2,Matches
Federico Bernardeschi,it ITA,"MF,DF",Juventus,26-363,1994,4.8,7,3,4,2,1,1,13,7.7,12,66,18,27.3,14,27,25,3,1,0,2,5,12,7,0,Matches
Daniel Bessa,it ITA,MF,Hellas Verona,28-030,1993,0.7,4,2,1,3,0,2,2,100.0,0,21,7,33.3,3,9,9,1,0,0,1,2,6,0,0,Matches
Cristiano Biraghi,it ITA,DF,Fiorentina,28-165,1992,18.9,22,13,10,7,5,11,24,45.8,13,146,37,25.3,49,63,34,25,9,0,16,8,30,40,0,Matches
Davide Biraschi,it ITA,DF,Genoa,26-226,1994,4.5,7,4,4,3,0,1,4,25.0,3,76,19,25.0,44,29,3,7,2,0,5,5,12,13,0,Matches
Jeremie Boga,ci CIV,"FW,MF",Sassuolo,24-041,1997,10.8,9,8,3,2,4,0,5,0.0,5,101,32,31.7,24,38,39,10,0,0,10,5,14,7,0,Matches
Giacomo Bonaventura,it ITA,MF,Fiorentina,31-175,1989,13.8,21,17,10,9,2,7,26,26.9,19,166,46,27.7,51,77,38,16,1,0,15,20,41,9,0,Matches
Federico Bonazzoli,it ITA,FW,Torino,23-268,1997,3.5,1,1,0,0,1,0,5,0.0,5,55,15,27.3,4,27,24,3,0,0,3,1,2,1,0,Matches
Federico Bonazzoli,it ITA,FW,Sampdoria,23-268,1997,1.5,1,1,0,1,0,0,1,0.0,1,25,5,20.0,1,11,13,1,0,0,1,0,1,0,0,Matches
Kevin Bonifazi,it ITA,DF,Udinese,24-270,1996,11.6,20,9,15,4,1,6,12,50.0,6,125,38,30.4,77,40,8,11,5,0,6,15,35,54,0,Matches
Leonardo Bonucci,it ITA,DF,Juventus,33-288,1987,17.2,23,14,12,10,1,7,16,43.8,9,99,37,37.4,50,44,5,29,15,0,14,14,37,61,0,Matches
Mehdi Bourabia,ma MAR,MF,Sassuolo,29-190,1991,5.2,7,5,1,5,1,3,7,42.9,4,81,27,33.3,24,44,13,17,6,0,11,8,15,10,0,Matches
Gleison Bremer,br BRA,DF,Torino,23-332,1997,17.0,32,20,26,4,2,8,17,47.1,9,160,57,35.6,97,55,8,29,7,0,22,33,65,93,0,Matches
Marcelo Brozović,hr CRO,MF,Inter,28-089,1992,14.9,29,20,10,13,6,6,29,20.7,23,262,80,30.5,77,131,54,27,5,0,22,19,48,24,0,Matches
Gastón Brugman,uy URU,MF,Parma,28-159,1992,8.6,20,11,10,8,2,9,25,36.0,16,165,53,32.1,80,67,18,25,4,0,21,13,33,12,0,Matches
Juan Brunetta,ar ARG,"FW,MF",Parma,23-277,1997,2.3,1,1,0,1,0,0,3,0.0,3,29,9,31.0,2,9,18,1,0,0,1,1,2,1,0,Matches
Gianluigi Buffon,it ITA,GK,Juventus,43-016,1978,4.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
Alessandro Buongiorno,it ITA,DF,Torino,21-252,1999,3.8,2,1,1,1,0,1,2,50.0,1,35,11,31.4,17,15,3,8,4,0,4,3,5,15,0,Matches
Maxime Busi,be BEL,DF,Parma,21-122,1999,6.2,18,4,14,4,0,7,19,36.8,12,109,28,25.7,59,41,9,18,0,0,18,7,25,18,0,Matches
Martín Cáceres,uy URU,DF,Fiorentina,33-312,1987,13.1,17,5,11,6,0,5,15,33.3,10,138,44,31.9,79,51,8,16,6,0,10,7,24,34,1,Matches
Felipe Caicedo,ec ECU,FW,Lazio,32-161,1988,8.3,12,7,4,5,3,1,8,12.5,7,135,41,30.4,24,69,42,6,1,0,5,2,14,3,0,Matches
Arturo Calabresi,it ITA,"DF,FW",Bologna,24-333,1996,0.2,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,1,0,Matches
Davide Calabria,it ITA,DF,Milan,24-069,1996,20.5,67,37,39,20,8,33,64,51.6,31,351,116,33.0,162,146,43,45,5,0,40,15,82,51,1,Matches
Riccardo Calafiori,it ITA,DF,Roma,18-270,2002,0.2,1,0,1,0,0,1,2,50.0,1,9,2,22.2,3,4,2,1,0,0,1,0,1,0,0,Matches
Mattia Caldara,it ITA,DF,Atalanta,26-284,1994,0.8,1,1,0,1,0,1,1,100.0,0,8,2,25.0,2,5,1,3,1,0,2,1,2,4,0,Matches
Luca Caldirola,it ITA,DF,Benevento,30-012,1991,9.1,9,6,7,2,0,1,5,20.0,4,61,18,29.5,34,26,1,14,5,0,9,3,12,35,0,Matches
Hakan Çalhanoğlu,tr TUR,"MF,FW",Milan,27-005,1994,15.7,14,9,2,7,5,2,15,13.3,13,207,72,34.8,38,107,62,23,4,0,19,15,29,11,0,Matches
Fabrizio Caligara,it ITA,MF,Cagliari,20-307,2000,2.0,4,3,1,2,1,3,10,30.0,7,73,14,19.2,18,40,15,8,3,0,5,3,7,4,0,Matches
José Callejón,es ESP,FW,Fiorentina,34-002,1987,5.7,4,2,1,2,1,3,8,37.5,5,48,19,39.6,4,22,22,4,1,0,3,4,8,4,0,Matches
Antonio Candreva,it ITA,MF,Sampdoria,33-351,1987,14.0,9,2,5,3,1,7,21,33.3,14,127,34,26.8,50,48,29,20,1,0,19,11,20,9,0,Matches
Gianluca Caprari,it ITA,"MF,FW",Benevento,27-198,1993,14.8,13,11,4,5,4,2,21,9.5,19,161,43,26.7,23,79,59,17,1,0,16,19,32,5,0,Matches
Francesco Caputo,it ITA,FW,Sassuolo,33-191,1987,12.8,1,1,0,1,0,0,3,0.0,3,81,32,39.5,0,26,55,7,3,0,4,1,2,2,0,Matches
Andrea Carboni,it ITA,DF,Cagliari,20-009,2001,4.1,7,1,3,4,0,1,5,20.0,4,64,14,21.9,32,29,3,12,2,0,10,3,10,13,0,Matches
Giuseppe Caso,it ITA,MF,Genoa,22-066,1998,0.1,0,0,0,0,0,0,0,,0,1,1,100.0,1,0,0,0,0,0,0,0,0,0,0,Matches
Samu Castillejo,es ESP,FW,Milan,26-026,1995,7.6,18,11,8,8,2,10,26,38.5,16,176,49,27.8,34,86,56,14,0,0,14,8,26,6,0,Matches
Gaetano Castrovilli,it ITA,MF,Fiorentina,23-362,1997,16.1,30,20,19,7,4,7,25,28.0,18,298,107,35.9,107,131,60,22,3,0,19,19,49,11,0,Matches
Danilo Cataldi,it ITA,MF,Lazio,26-191,1994,3.2,6,5,2,2,2,1,11,9.1,10,54,17,31.5,16,28,10,2,1,0,1,7,13,3,0,Matches
Federico Ceccherini,it ITA,DF,Hellas Verona,28-278,1992,11.1,11,6,7,4,0,1,6,16.7,5,125,42,33.6,42,76,7,11,3,0,8,14,25,50,0,Matches
Federico Ceccherini,it ITA,DF,Fiorentina,28-278,1992,3.0,5,2,2,3,0,2,3,66.7,1,39,12,30.8,25,13,1,8,5,0,3,3,8,17,0,Matches
Luca Ceppitelli,it ITA,DF,Cagliari,31-186,1989,6.4,10,5,7,1,2,3,8,37.5,5,47,17,36.2,30,13,4,12,8,0,4,9,19,33,0,Matches
Alberto Cerri,it ITA,FW,Cagliari,24-303,1996,1.5,3,2,0,2,1,0,0,,0,13,4,30.8,1,5,7,5,3,0,2,1,4,0,0,Matches
