player,nationality,position,squad,age,birth_year,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_match,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,matches
Yaya Soumaré,fr FRA,FW,Lyon,21-021,2000,1,2,2,0.1,0.0,0,,0,1,2,5,3.00,0,0,0,0.00,-1.25,0.3,0.7,-0.4,-20.18,-21.44,Matches
Arnaud Souquet,fr FRA,DF,Montpellier,29-001,1992,14,941,67,43.6,10.5,11,79,4,3,26,8,1.14,15,19,-4,-0.38,-0.31,11.0,18.5,-7.4,-0.71,-0.42,Matches
Saidou Sow,gn GUI,DF,Saint-Étienne,18-224,2002,10,638,64,29.5,7.1,6,83,5,4,36,10,0.70,4,11,-7,-0.99,-0.63,6.1,7.4,-1.4,-0.20,-0.22,Matches
Kevin Strootman,nl NED,MF,Marseille,31-000,1990,11,233,21,11.8,2.6,1,71,0,10,16,6,2.00,5,2,+3,+1.16,+1.16,2.2,3.9,-1.7,-0.64,-0.79,Matches
Issiaga Sylla,gn GUI,DF,Lens,27-043,1994,16,"1,012",63,46.9,11.2,11,83,6,5,21,6,1.38,17,12,+5,+0.44,+0.76,14.7,13.2,+1.5,+0.14,-0.31,Matches
Eddy Sylvestre,fr FRA,"FW,MF",Nice,21-168,1999,4,97,24,4.7,1.1,1,61,0,3,12,2,1.50,2,1,+1,+0.93,+1.16,1.7,1.5,+0.2,+0.19,+0.43,Matches
Waniss Taibi,fr FRA,FW,Angers,18-343,2002,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
Flavien Tait,fr FRA,"MF,FW",Rennes,28-011,1993,12,591,49,28.6,6.6,7,74,2,5,15,4,1.42,11,12,-1,-0.15,-0.64,8.3,6.8,+1.5,+0.23,-0.16,Matches
Oussama Targhalline,ma MAR,MF,Marseille,18-269,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Ciprian Tătărușanu,ro ROU,GK,Lyon,35-004,1986,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Heriberto Tavares,pt POR,"MF,FW",Brest,23-360,1997,4,43,11,2.0,0.5,0,,0,4,11,9,0.00,1,3,-2,-4.19,-3.97,1.2,1.4,-0.2,-0.37,-0.35,Matches
Warren Tchimbembé,fr FRA,"MF,FW",Metz,22-298,1998,14,441,32,20.4,4.9,4,68,0,10,17,8,1.50,10,7,+3,+0.61,+0.46,8.4,6.4,+2.0,+0.41,+0.56,Matches
Aurélien Tchouaméni,fr FRA,MF,Monaco,21-017,2000,23,"1,934",84,89.5,21.5,23,84,15,0,,0,2.09,47,32,+15,+0.70,+0.70,38.2,21.6,+16.6,+0.77,-0.06,Matches
Martin Terrier,fr FRA,"FW,MF",Rennes,23-346,1997,19,"1,265",67,61.1,14.1,15,79,5,4,22,0,1.74,17,9,+8,+0.57,+0.68,15.9,12.4,+3.5,+0.25,-0.24,Matches
Kenny Tete,nl NED,DF,Lyon,25-127,1995,1,20,20,0.9,0.2,0,,0,1,20,0,3.00,0,0,0,0.00,-1.26,0.7,0.0,+0.7,+3.01,+1.78,Matches
Florian Thauvin,fr FRA,"FW,MF",Marseille,28-018,1993,22,"1,616",73,81.6,18.0,20,78,5,2,26,0,1.50,24,20,+4,+0.22,+0.47,25.3,20.6,+4.7,+0.26,+1.13,Matches
Sada Thioub,sn SEN,"FW,MF",Angers,25-257,1995,19,897,47,41.5,10.0,8,74,1,11,28,0,1.21,10,16,-6,-0.60,-0.46,11.0,14.9,-3.9,-0.39,-0.48,Matches
Romain Thomas,fr FRA,DF,Angers,32-246,1988,20,"1,764",88,81.7,19.6,20,88,18,0,,1,1.40,21,24,-3,-0.15,+0.98,23.8,23.1,+0.7,+0.04,+0.83,Matches
Adrien Thomasson,fr FRA,MF,Strasbourg,27-065,1993,24,"1,479",62,68.5,16.4,18,76,1,6,19,0,1.04,22,23,-1,-0.06,+0.73,24.8,21.0,+3.8,+0.23,+0.27,Matches
Khéphren Thuram-Ulie,fr FRA,MF,Nice,19-324,2001,19,"1,020",54,49.3,11.3,13,72,4,6,14,4,1.32,14,17,-3,-0.26,-0.18,12.8,18.1,-5.3,-0.47,-0.50,Matches
Cheikh Tidiane Sabaly,sn SEN,MF,Metz,21-346,1999,1,12,12,0.6,0.1,0,,0,1,12,1,0.00,0,0,0,0.00,-0.25,0.2,0.0,+0.2,+1.86,+1.91,Matches
Jean-Clair Todibo,fr FRA,DF,Nice,21-045,1999,2,160,80,7.7,1.8,2,80,0,0,,0,1.50,4,2,+2,+1.13,+1.41,1.6,2.3,-0.8,-0.44,-0.24,Matches
Karl Toko Ekambi,cm CMR,FW,Lyon,28-152,1992,21,"1,644",78,76.1,18.3,20,80,8,1,45,0,2.14,41,15,+26,+1.42,+0.73,42.1,18.0,+24.1,+1.32,+0.33,Matches
Tyron Tormin,fr FRA,"MF,FW",Saint-Étienne,19-229,2001,3,21,7,1.0,0.2,0,,0,3,7,1,0.00,0,1,-1,-4.29,-3.78,0.1,0.4,-0.3,-1.33,-1.30,Matches
Abdoulaye Touré,fr FRA,MF,Nantes,26-347,1994,21,"1,135",54,52.5,12.6,13,78,7,8,15,1,0.71,10,19,-9,-0.71,-0.01,15.1,19.7,-4.6,-0.36,+0.05,Matches
Adama Traoré,ml MLI,MF,Metz,25-253,1995,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Amadou Traore,fr FRA,"MF,FW",Bordeaux,18-343,2002,9,107,12,5.0,1.2,0,,0,9,12,4,1.67,1,3,-2,-1.68,-1.68,1.5,2.7,-1.2,-1.01,-0.59,Matches
