player,nationality,position,squad,age,birth_year,minutes_90s,goals,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches
Mathieu Cafaro,fr FRA,"MF,FW",Reims,23-325,1997,15.4,3,44,13,29.5,2.85,0.84,0.07,0.23,24.5,7,0,0,2.7,2.7,0.06,+0.3,+0.3,Matches
Yannick Cahuzac,fr FRA,MF,Lens,36-026,1985,15.3,0,3,0,0.0,0.20,0.00,0.00,,12.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Marc-Aurèle Caillard,fr FRA,GK,Metz,26-277,1994,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Duje Ćaleta-Car,hr CRO,DF,Marseille,24-149,1996,19.9,2,8,2,25.0,0.40,0.10,0.25,1.00,8.5,0,0,0,0.9,0.9,0.11,+1.1,+1.1,Matches
Mahdi Camara,fr FRA,"MF,DF",Saint-Étienne,22-228,1998,22.8,3,12,6,50.0,0.53,0.26,0.25,0.50,16.7,0,0,0,2.6,2.6,0.22,+0.4,+0.4,Matches
Eduardo Camavinga,fr FRA,MF,Rennes,18-095,2002,15.6,1,15,4,26.7,0.96,0.26,0.07,0.25,17.9,0,0,0,1.1,1.1,0.07,-0.1,-0.1,Matches
Pierrick Capelle,fr FRA,"MF,FW",Angers,33-304,1987,13.4,3,22,5,22.7,1.64,0.37,0.14,0.60,19.3,1,0,0,3.3,3.3,0.15,-0.3,-0.3,Matches
Maxence Caqueret,fr FRA,MF,Lyon,20-364,2000,11.1,0,5,0,0.0,0.45,0.00,0.00,,21.5,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
Irvin Cardona,fr FRA,FW,Brest,23-189,1997,15.6,5,40,10,25.0,2.56,0.64,0.13,0.50,13.3,1,0,0,5.3,5.3,0.13,-0.3,-0.3,Matches
Lionel Carole,fr FRA,DF,Strasbourg,29-307,1991,10.0,0,1,0,0.0,0.10,0.00,0.00,,18.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Moreto Cassamã,gw GNB,MF,Reims,22-363,1998,12.9,1,8,2,25.0,0.62,0.15,0.13,0.50,28.4,0,0,0,0.2,0.2,0.02,+0.8,+0.8,Matches
Jean-Charles Castelletto,cm CMR,DF,Nantes,26-018,1995,10.5,0,5,3,60.0,0.48,0.29,0.00,0.00,6.2,0,0,0,1.4,1.4,0.32,-1.4,-1.4,Matches
Zeki Çelik,tr TUR,DF,Lille,23-362,1997,14.8,1,7,2,28.6,0.47,0.14,0.14,0.50,21.6,0,0,0,0.3,0.3,0.05,+0.7,+0.7,Matches
Bersant Celina,xk KVX,"MF,FW",Dijon,24-157,1996,15.5,0,14,2,14.3,0.90,0.13,0.00,0.00,21.3,3,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
Fabien Centonze,fr FRA,DF,Metz,25-028,1996,23.0,0,15,3,20.0,0.65,0.13,0.00,0.00,23.4,0,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches
Fouad Chafik,ma MAR,DF,Dijon,34-120,1986,10.9,0,2,0,0.0,0.18,0.00,0.00,,24.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Mehdi Chahiri,ma MAR,"FW,MF",Strasbourg,24-203,1996,8.0,2,19,6,31.6,2.37,0.75,0.11,0.33,20.6,0,0,0,1.7,1.7,0.09,+0.3,+0.3,Matches
