player,nationality,position,squad,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,matches
Fouad Chafik,ma MAR,DF,Dijon,34-120,1986,10.9,733,48,281,392,130,4,620,9,13,69.2,9,0,411,2742,1707,59,22,2,3,8,450,428,95.1,8,Matches
Mehdi Chahiri,ma MAR,"FW,MF",Strasbourg,24-203,1996,8.0,380,4,43,177,189,27,373,26,40,65.0,27,1,295,1267,651,31,12,4,24,27,376,266,70.7,64,Matches
Aníbal Chalá,ec ECU,DF,Dijon,24-280,1996,4.4,297,19,116,157,43,1,255,3,5,60.0,3,0,171,1006,635,22,4,1,3,1,191,178,93.2,6,Matches
Trevoh Chalobah,eng ENG,"MF,DF",Lorient,21-223,1999,11.6,664,49,207,400,98,8,644,22,32,68.8,24,0,410,1636,904,32,14,1,15,13,429,399,93.0,12,Matches
Gaëtan Charbonnier,fr FRA,"MF,FW",Brest,32-048,1988,9.8,526,10,41,262,245,49,494,19,24,79.2,19,2,356,1154,469,33,17,3,28,17,570,406,71.2,96,Matches
Brendan Chardonnet,fr FRA,DF,Brest,26-053,1994,16.2,1095,209,686,440,49,21,1066,1,1,100.0,1,0,679,3562,2099,50,13,0,3,1,733,724,98.8,3,Matches
Xavier Chavalerin,fr FRA,MF,Reims,29-343,1991,15.4,688,33,221,379,121,14,674,9,11,81.8,9,0,381,1583,654,22,9,0,8,10,480,423,88.1,25,Matches
Pape Cheikh Diop,sn SEN,MF,Dijon,23-189,1997,11.3,670,26,199,435,84,5,659,10,15,66.7,11,0,455,2500,1442,50,7,1,8,12,506,471,93.1,8,Matches
Rayan Cherki,fr FRA,"FW,MF",Lyon,17-180,2003,4.8,266,0,17,121,155,28,258,26,36,72.2,26,1,241,1513,1058,66,13,8,12,12,257,218,84.8,42,Matches
Pedro Chirivella,es ESP,MF,Nantes,23-266,1997,12.4,741,10,152,530,97,9,724,2,5,40.0,2,0,493,2427,1264,37,5,0,8,7,590,545,92.4,19,Matches
Joris Chotard,fr FRA,MF,Montpellier,19-142,2001,8.6,313,18,93,167,63,9,300,8,11,72.7,9,3,157,645,303,20,2,1,11,7,210,169,80.5,23,Matches
Mounir Chouiar,fr FRA,"FW,MF",Dijon,22-021,1999,11.6,587,11,105,312,228,36,546,37,65,56.9,40,2,442,2386,1552,78,18,9,31,42,517,403,77.9,48,Matches
Sébastien Cibois,fr FRA,GK,Brest,22-348,1998,1.0,21,19,21,0,0,0,17,1,1,100.0,1,0,13,79,49,0,0,0,0,0,12,12,100.0,0,Matches
Alexis Claude-Maurice,fr FRA,"MF,FW",Nice,22-252,1998,7.8,345,7,49,164,167,19,333,11,19,57.9,12,0,274,1598,899,34,13,2,12,20,341,263,77.1,52,Matches
Jonathan Clauss,fr FRA,DF,Lens,28-141,1992,15.2,949,27,166,430,430,37,775,9,19,47.4,10,1,505,3237,2252,121,48,8,26,12,615,521,84.7,60,Matches
Marcus Coco,fr FRA,"MF,FW",Nantes,24-234,1996,12.5,646,12,93,334,267,33,634,25,38,65.8,25,1,448,2057,981,46,19,2,28,36,624,459,73.6,82,Matches
Racine Coly,sn SEN,DF,Nice,25-067,1995,0.2,21,1,6,16,2,0,17,0,0,,0,0,13,70,60,2,1,0,0,1,14,13,92.9,0,Matches
Daniel Congré,fr FRA,DF,Montpellier,35-314,1985,23.7,1292,148,663,665,50,18,1251,3,4,75.0,3,0,724,4086,2424,45,4,0,4,3,816,802,98.3,5,Matches
Sébastien Corchia,fr FRA,DF,Nantes,30-104,1990,14.2,841,35,193,397,292,17,638,9,28,32.1,11,2,443,2223,1276,68,20,6,11,9,518,431,83.2,23,Matches
Maxwel Cornet,ci CIV,"DF,FW",Lyon,24-139,1996,17.4,1304,56,409,620,346,40,1134,14,21,66.7,14,0,750,3843,2384,101,24,11,18,24,867,806,93.0,75,Matches
David Pereira da Costa,pt POR,"MF,DF",Lens,20-039,2001,0.4,29,0,4,17,10,0,28,0,0,,0,0,22,141,88,5,1,0,0,0,25,22,88.0,0,Matches
Benoît Costil,fr FRA,GK,Bordeaux,33-225,1987,24.0,908,769,900,10,0,0,632,2,2,100.0,2,0,439,1979,1059,0,0,0,0,0,397,393,99.0,0,Matches
Kalifa Coulibaly,ml MLI,FW,Nantes,29-176,1991,5.2,167,5,9,61,98,20,161,1,5,20.0,3,1,82,222,78,4,0,1,13,9,271,136,50.2,39,Matches
Lassana Coulibaly,ml MLI,MF,Angers,24-309,1996,12.7,677,33,158,450,121,12,668,13,22,59.1,14,0,440,2686,1019,56,17,2,13,10,441,392,88.9,15,Matches
Senou Coulibaly,ml MLI,DF,Dijon,26-162,1994,8.8,538,105,372,196,5,5,528,3,3,100.0,3,0,312,1659,863,12,0,0,1,2,361,348,96.4,0,Matches
Nicolas Cozza,fr FRA,DF,Montpellier,22-036,1999,7.6,389,59,200,178,37,6,369,1,3,33.3,2,1,229,1662,936,35,7,2,6,2,256,244,95.3,7,Matches
Adrián Cubas,py PAR,MF,Nîmes,24-267,1996,15.6,816,41,301,478,91,5,787,9,14,64.3,9,0,534,2317,1119,25,6,1,7,15,493,458,92.9,10,Matches
Mickaël Cuisance,fr FRA,MF,Marseille,21-181,1999,9.0,513,1,70,308,169,17,504,13,31,41.9,14,1,357,1547,656,35,9,4,20,32,505,388,76.8,53,Matches
Damien Da Silva,fr FRA,DF,Rennes,32-272,1988,19.0,1476,145,683,845,58,24,1461,7,7,100.0,7,0,986,6418,3545,90,13,0,0,3,1116,1101,98.7,5,Matches
Colin Dagba,fr FRA,DF,Paris S-G,22-157,1998,9.9,730,24,184,349,248,24,663,5,8,62.5,5,0,522,2318,1368,70,20,5,8,6,554,519,93.7,39,Matches
Flavius Daniliuc,at AUT,DF,Nice,19-292,2001,11.3,880,100,426,475,32,9,860,0,0,,0,0,607,3721,2283,77,6,0,3,1,673,661,98.2,2,Matches
Dante,br BRA,DF,Nice,37-118,1983,8.6,757,95,435,360,18,12,744,0,0,,0,0,550,3107,1750,24,4,0,4,1,622,614,98.7,7,Matches
Jonathan David,ca CAN,FW,Lille,21-030,2000,15.4,529,2,30,213,310,77,512,15,26,57.7,17,1,329,1491,842,42,11,12,29,32,691,383,55.4,151,Matches
Mattia De Sciglio,it ITA,DF,Lyon,28-116,1992,8.1,591,20,152,309,159,11,522,4,8,50.0,5,1,355,1830,988,41,9,3,7,3,386,361,93.5,27,Matches
