player,nationality,position,squad,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,matches
Giulian Biancone,fr FRA,"DF,MF",Monaco,20-319,2000,1.0,1,0,0,1,2,0,8,0,2,0,0,0,17,5,3,62.5,Matches
El Bilal Touré,ml MLI,"FW,MF",Reims,19-133,2001,9.3,3,0,0,29,10,6,1,1,12,0,0,0,32,43,62,41.0,Matches
Ludovic Blas,fr FRA,"MF,FW",Nantes,23-044,1997,17.5,3,0,0,26,21,4,13,10,15,0,0,0,113,5,25,16.7,Matches
Antonin Bobichon,fr FRA,"FW,MF",Angers,25-152,1995,5.0,0,0,0,5,7,0,7,4,7,1,0,0,39,6,6,50.0,Matches
Sacha Boey,fr FRA,DF,Rennes,20-153,2000,1.4,0,1,0,2,1,0,2,1,4,0,0,0,16,2,2,50.0,Matches
Sacha Boey,fr FRA,DF,Dijon,20-153,2000,14.0,1,0,0,24,10,1,22,21,27,0,1,0,122,20,18,52.6,Matches
Quentin Boisgard,fr FRA,"FW,MF",Lorient,23-333,1997,11.8,3,0,0,18,14,1,32,9,17,0,0,0,72,9,19,32.1,Matches
Sven Botman,nl NED,DF,Lille,21-032,2000,24.0,2,0,0,9,20,2,1,26,23,0,0,0,271,82,34,70.7,Matches
Denis Bouanga,ga GAB,"FW,MF",Saint-Étienne,26-094,1994,19.0,4,0,0,38,23,8,31,8,26,1,0,1,95,31,70,30.7,Matches
Hicham Boudaoui,dz ALG,"MF,FW",Nice,21-143,1999,10.5,7,0,0,18,13,5,7,10,24,0,0,0,81,9,17,34.6,Matches
Ryad Boudebouz,dz ALG,"MF,FW",Saint-Étienne,30-360,1990,6.0,2,0,0,7,8,1,17,6,6,0,0,0,41,4,10,28.6,Matches
Sofiane Boufal,ma MAR,"FW,MF",Angers,27-149,1993,4.2,2,0,0,11,15,0,7,3,6,1,0,0,39,3,3,50.0,Matches
Farid Boulaya,dz ALG,"MF,FW",Metz,27-354,1993,19.6,4,0,0,16,41,1,50,4,10,2,1,0,158,21,33,38.9,Matches
Ismaëlben Boura,fr FRA,DF,Lens,20-183,2000,6.8,1,0,0,11,15,0,20,15,10,0,0,0,70,11,6,64.7,Matches
Benjamin Bourigeaud,fr FRA,MF,Rennes,27-030,1994,17.0,6,0,0,14,5,1,42,8,17,0,0,0,149,6,20,23.1,Matches
John Boye,gh GHA,DF,Metz,33-296,1987,21.4,3,1,0,18,11,1,0,24,15,0,0,2,169,38,32,54.3,Matches
Umut Bozok,tr TUR,"FW,MF",Lorient,24-147,1996,0.7,0,0,0,0,6,0,0,0,0,0,0,0,7,1,2,33.3,Matches
Domagoj Bradarić,hr CRO,DF,Lille,21-065,1999,13.3,4,0,0,16,11,0,32,18,16,0,1,0,134,23,24,48.9,Matches
