player,nationality,position,squad,age,birth_year,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_completed,passes_offsides,passes_oob,passes_intercepted,passes_blocked,matches
Youcef Attal,dz ALG,DF,Nice,24-272,1996,5.4,346,280,66,9,0,34,9,21,1,0,1,0,235,76,35,15,260,9,56,0,284,0,6,6,11,Matches
Jean-Kévin Augustin,fr FRA,FW,Nantes,23-242,1997,0.4,5,3,2,1,0,0,0,0,0,0,0,0,3,2,0,0,5,0,0,0,5,0,0,0,0,Matches
Ludovic Baal,gf GUF,DF,Brest,34-265,1986,3.2,240,218,22,8,0,31,5,2,0,0,0,0,169,35,36,204,9,7,14,0,202,0,5,5,2,Matches
Loïc Bade,fr FRA,DF,Lens,20-308,2000,17.0,1099,1082,17,14,0,99,44,3,0,0,0,0,873,53,173,69,927,54,0,5,958,2,23,9,7,Matches
Stéphane Bahoken,cm CMR,FW,Angers,28-261,1992,11.2,243,216,27,0,3,50,1,11,0,0,0,0,174,45,24,18,197,11,1,9,173,0,2,15,13,Matches
Mitchel Bakker,nl NED,DF,Paris S-G,20-238,2000,15.1,1070,971,99,10,0,92,14,40,0,0,0,0,841,159,70,831,117,20,89,4,951,0,13,20,13,Matches
Dilane Bakwa,fr FRA,"FW,MF",Bordeaux,18-171,2002,0.6,40,40,0,0,0,9,1,0,0,0,0,0,34,4,2,32,6,0,0,0,36,0,1,0,1,Matches
Leonardo Balerdi,ar ARG,"DF,MF",Marseille,22-018,1999,6.5,301,288,13,7,0,30,14,0,0,0,0,0,214,38,49,29,244,15,6,2,252,0,5,1,5,Matches
Fodé Ballo-Touré,fr FRA,DF,Monaco,24-041,1997,6.3,371,304,67,7,0,35,11,25,0,0,0,0,234,75,62,269,23,13,60,0,304,2,4,7,9,Matches
Abdoulaye Bamba,ci CIV,DF,Angers,30-294,1990,10.3,615,481,134,7,1,62,5,24,0,0,0,0,364,100,151,18,447,16,127,2,485,1,7,12,24,Matches
Jonathan Bamba,fr FRA,MF,Lille,24-324,1996,22.6,1176,1080,96,23,8,177,42,37,39,13,23,2,861,146,169,115,988,26,34,5,942,6,10,27,36,Matches
Robson Bambu,br BRA,DF,Nice,23-093,1997,9.6,633,599,34,24,0,76,14,0,0,0,0,0,524,45,64,134,471,15,10,2,556,0,11,9,15,Matches
Simon Banza,fr FRA,FW,Lens,24-184,1996,10.4,217,210,7,1,0,74,7,8,0,0,0,0,131,50,36,36,127,15,0,6,157,2,5,4,9,Matches
Danilo Barbosa,br BRA,DF,Nice,24-351,1996,2.8,202,199,3,3,0,16,2,0,0,0,0,0,167,13,22,42,147,8,0,1,178,1,2,1,2,Matches
Melvin Bard,fr FRA,DF,Lyon,20-099,2000,3.4,292,240,52,3,0,29,4,11,0,0,0,0,193,43,56,217,8,11,49,1,239,0,6,4,7,Matches
Toma Bašić,hr CRO,MF,Bordeaux,24-080,1996,21.3,968,925,43,25,1,144,29,25,16,8,3,2,737,78,153,788,134,27,2,1,806,1,16,17,14,Matches
Cristian Battocchio,it ITA,"MF,FW",Brest,29-003,1992,3.9,209,189,20,7,1,18,9,7,12,7,2,0,152,22,35,20,177,8,1,2,168,1,5,2,2,Matches
