,Unnamed: 0,player,nationality,position,squad,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,npxg_xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,matches
62,62,Valon Berisha,xk KVX,MF,Reims,28-006,1993,19,14,1363,15.1,0,2,0,0,0,2,0,0.0,0.13,0.13,0.0,0.13,0.8,0.8,1.4,2.2,0.05,0.1,0.15,0.05,0.15,Matches
63,63,Paul Bernardoni,fr FRA,GK,Angers,23-301,1997,24,24,2160,24.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
64,64,Juan Bernat,es ESP,DF,Paris S-G,27-349,1993,3,2,194,2.2,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.13,0.13,0.0,0.13,Matches
65,65,Dimitry Bertaud,fr FRA,GK,Montpellier,22-252,1998,6,4,475,5.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
66,66,Giulian Biancone,fr FRA,"DF,MF",Monaco,20-319,2000,2,1,92,1.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.04,0.19,0.23,0.04,0.23,Matches
67,67,El Bilal Touré,ml MLI,"FW,MF",Reims,19-133,2001,22,8,833,9.3,2,1,2,0,0,3,0,0.22,0.11,0.32,0.22,0.32,1.4,1.4,0.6,1.9,0.15,0.06,0.21,0.15,0.21,Matches
68,68,Ludovic Blas,fr FRA,"MF,FW",Nantes,23-044,1997,22,18,1577,17.5,5,0,5,0,0,3,0,0.29,0.0,0.29,0.29,0.29,3.3,3.3,0.8,4.2,0.19,0.05,0.24,0.19,0.24,Matches
69,69,Antonin Bobichon,fr FRA,"FW,MF",Angers,25-152,1995,13,5,446,5.0,0,1,0,0,0,0,0,0.0,0.2,0.2,0.0,0.2,0.5,0.5,1.2,1.7,0.1,0.24,0.34,0.1,0.34,Matches
70,70,Sacha Boey,fr FRA,DF,Rennes,20-153,2000,2,2,124,1.4,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.09,0.06,0.14,0.09,0.14,Matches
71,71,Sacha Boey,fr FRA,DF,Dijon,20-153,2000,17,14,1257,14.0,0,1,0,0,0,1,0,0.0,0.07,0.07,0.0,0.07,0.1,0.1,0.9,1.0,0.01,0.06,0.07,0.01,0.07,Matches
72,72,Quentin Boisgard,fr FRA,"FW,MF",Lorient,23-333,1997,17,14,1060,11.8,2,2,2,0,0,3,0,0.17,0.17,0.34,0.17,0.34,1.7,1.7,1.4,3.1,0.14,0.12,0.26,0.14,0.26,Matches
73,73,Sven Botman,nl NED,DF,Lille,21-032,2000,24,24,2160,24.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.3,0.8,0.02,0.01,0.03,0.02,0.03,Matches
74,74,Denis Bouanga,ga GAB,"FW,MF",Saint-Étienne,26-094,1994,23,19,1709,19.0,3,3,1,2,3,4,0,0.16,0.16,0.32,0.05,0.21,7.7,5.4,1.4,6.8,0.41,0.07,0.48,0.29,0.36,Matches
75,75,Hicham Boudaoui,dz ALG,"MF,FW",Nice,21-143,1999,14,12,947,10.5,1,1,1,0,0,7,0,0.1,0.1,0.19,0.1,0.19,1.6,1.6,0.5,2.1,0.15,0.05,0.2,0.15,0.2,Matches
76,76,Ryad Boudebouz,dz ALG,"MF,FW",Saint-Étienne,30-360,1990,10,6,542,6.0,0,1,0,0,2,2,0,0.0,0.17,0.17,0.0,0.17,2.1,0.6,1.8,2.5,0.36,0.31,0.66,0.1,0.41,Matches
77,77,Sofiane Boufal,ma MAR,"FW,MF",Angers,27-149,1993,8,5,380,4.2,1,0,1,0,0,2,0,0.24,0.0,0.24,0.24,0.24,1.0,1.0,0.3,1.3,0.23,0.08,0.31,0.23,0.31,Matches
78,78,Farid Boulaya,dz ALG,"MF,FW",Metz,27-354,1993,20,20,1764,19.6,5,4,5,0,1,4,0,0.26,0.2,0.46,0.26,0.46,3.9,3.1,4.2,7.3,0.2,0.21,0.41,0.16,0.37,Matches
79,79,Ismaëlben Boura,fr FRA,DF,Lens,20-183,2000,13,7,613,6.8,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.5,0.03,0.04,0.07,0.03,0.07,Matches
80,80,Benjamin Bourigeaud,fr FRA,MF,Rennes,27-030,1994,22,17,1531,17.0,4,3,4,0,0,6,0,0.24,0.18,0.41,0.24,0.41,4.1,4.1,2.6,6.7,0.24,0.16,0.39,0.24,0.39,Matches
81,81,John Boye,gh GHA,DF,Metz,33-296,1987,22,22,1930,21.4,1,1,1,0,0,3,1,0.05,0.05,0.09,0.05,0.09,1.7,1.7,0.1,1.8,0.08,0.0,0.08,0.08,0.08,Matches
82,82,Umut Bozok,tr TUR,"FW,MF",Lorient,24-147,1996,5,0,61,0.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
83,83,Domagoj Bradarić,hr CRO,DF,Lille,21-065,1999,18,13,1193,13.3,0,1,0,0,0,4,0,0.0,0.08,0.08,0.0,0.08,0.1,0.1,1.1,1.2,0.01,0.08,0.09,0.01,0.09,Matches
84,84,Lilian Brassier,fr FRA,DF,Brest,21-103,1999,2,2,180,2.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
85,85,Anthony Briançon,fr FRA,DF,Nîmes,26-077,1994,13,12,1082,12.0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,0.01,0.01,0.02,0.01,0.02,Matches
86,86,Jimmy Briand,fr FRA,FW,Bordeaux,35-195,1985,18,1,491,5.5,1,2,0,1,1,2,0,0.18,0.37,0.55,0.0,0.37,1.6,0.8,0.1,1.0,0.29,0.02,0.32,0.15,0.18,Matches
87,87,Dylan Bronn,tn TUN,DF,Metz,25-239,1995,24,24,2160,24.0,1,0,0,1,2,2,0,0.04,0.0,0.04,0.0,0.0,1.9,0.4,0.3,0.7,0.08,0.01,0.09,0.02,0.03,Matches
88,88,Lucas Buadés,fr FRA,FW,Nîmes,23-047,1997,1,0,1,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
89,89,Patrick Burner,fr FRA,DF,Nice,24-308,1996,1,0,1,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
90,90,Patrick Burner,fr FRA,DF,Nîmes,24-308,1996,11,10,921,10.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.3,0.7,0.04,0.03,0.07,0.04,0.07,Matches
91,91,Marcin Bułka,pl POL,GK,Paris S-G,21-132,1999,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
92,92,Jimmy Cabot,fr FRA,FW,Angers,26-301,1994,16,7,722,8.0,1,1,1,0,0,1,0,0.12,0.12,0.25,0.12,0.25,1.1,1.1,1.1,2.3,0.14,0.14,0.28,0.14,0.28,Matches
93,93,Anthony Caci,fr FRA,DF,Strasbourg,23-227,1997,19,18,1571,17.5,0,2,0,0,0,0,0,0.0,0.11,0.11,0.0,0.11,0.1,0.1,1.0,1.0,0.0,0.06,0.06,0.0,0.06,Matches
94,94,Mathieu Cafaro,fr FRA,"MF,FW",Reims,23-325,1997,21,18,1388,15.4,3,2,3,0,0,2,0,0.19,0.13,0.32,0.19,0.32,2.7,2.7,1.3,4.0,0.18,0.09,0.26,0.18,0.26,Matches
95,95,Yannick Cahuzac,fr FRA,MF,Lens,36-026,1985,19,16,1378,15.3,0,0,0,0,0,8,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.5,0.01,0.02,0.03,0.01,0.03,Matches
96,96,Marc-Aurèle Caillard,fr FRA,GK,Metz,26-277,1994,2,1,91,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
