player,nationality,position,squad,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,gca_og_for,matches
Loris Benito,ch SUI,DF,Bordeaux,29-037,1992,18.7,16,0.86,12,3,0,1,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Bilal Benkhedim,fr FRA,FW,Saint-Étienne,19-299,2001,0.8,1,1.23,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Djamel Benlamri,dz ALG,DF,Lyon,31-050,1989,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Yassine Benrahou,fr FRA,MF,Nîmes,22-020,1999,6.2,24,3.90,11,8,2,0,3,0,1,0.16,0,0,0,0,1,0,0,Matches
Valon Berisha,xk KVX,MF,Reims,28-006,1993,15.1,45,2.97,39,6,0,0,0,0,5,0.33,4,1,0,0,0,0,0,Matches
Paul Bernardoni,fr FRA,GK,Angers,23-301,1997,24.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Juan Bernat,es ESP,DF,Paris S-G,27-349,1993,2.2,3,1.39,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Dimitry Bertaud,fr FRA,GK,Montpellier,22-252,1998,5.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Giulian Biancone,fr FRA,"DF,MF",Monaco,20-319,2000,1.0,2,1.96,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
El Bilal Touré,ml MLI,"FW,MF",Reims,19-133,2001,9.3,13,1.40,10,0,1,0,1,1,3,0.32,2,0,0,0,0,1,0,Matches
Ludovic Blas,fr FRA,"MF,FW",Nantes,23-044,1997,17.5,39,2.23,25,0,8,4,1,1,3,0.17,2,0,1,0,0,0,0,Matches
Antonin Bobichon,fr FRA,"FW,MF",Angers,25-152,1995,5.0,25,5.04,15,1,2,2,4,1,3,0.61,2,0,0,1,0,0,0,Matches
Sacha Boey,fr FRA,DF,Rennes,20-153,2000,1.4,1,0.73,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Sacha Boey,fr FRA,DF,Dijon,20-153,2000,14.0,23,1.65,18,0,2,1,2,0,1,0.07,1,0,0,0,0,0,0,Matches
Quentin Boisgard,fr FRA,"FW,MF",Lorient,23-333,1997,11.8,35,2.97,19,10,0,1,4,1,6,0.51,6,0,0,0,0,0,0,Matches
Sven Botman,nl NED,DF,Lille,21-032,2000,24.0,9,0.37,9,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Denis Bouanga,ga GAB,"FW,MF",Saint-Étienne,26-094,1994,19.0,45,2.37,22,1,14,4,3,1,8,0.42,5,0,2,0,1,0,0,Matches
Hicham Boudaoui,dz ALG,"MF,FW",Nice,21-143,1999,10.5,5,0.48,3,0,1,0,0,1,1,0.10,1,0,0,0,0,0,0,Matches
Ryad Boudebouz,dz ALG,"MF,FW",Saint-Étienne,30-360,1990,6.0,36,5.98,18,9,5,1,2,1,1,0.17,0,1,0,0,0,0,0,Matches
Sofiane Boufal,ma MAR,"FW,MF",Angers,27-149,1993,4.2,10,2.37,4,0,2,0,3,1,1,0.24,0,0,0,0,1,0,0,Matches
Farid Boulaya,dz ALG,"MF,FW",Metz,27-354,1993,19.6,87,4.44,42,24,7,2,12,0,6,0.31,3,1,0,0,2,0,0,Matches
Ismaëlben Boura,fr FRA,DF,Lens,20-183,2000,6.8,6,0.88,4,1,1,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Benjamin Bourigeaud,fr FRA,MF,Rennes,27-030,1994,17.0,65,3.82,31,27,1,5,0,1,7,0.41,2,5,0,0,0,0,0,Matches
John Boye,gh GHA,DF,Metz,33-296,1987,21.4,10,0.47,8,0,0,1,0,1,2,0.09,2,0,0,0,0,0,0,Matches
Umut Bozok,tr TUR,"FW,MF",Lorient,24-147,1996,0.7,4,5.90,2,0,1,0,1,0,0,0.00,0,0,0,0,0,0,0,Matches
Domagoj Bradarić,hr CRO,DF,Lille,21-065,1999,13.3,21,1.58,21,0,0,0,0,0,4,0.30,4,0,0,0,0,0,0,Matches
Lilian Brassier,fr FRA,DF,Brest,21-103,1999,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Anthony Briançon,fr FRA,DF,Nîmes,26-077,1994,12.0,6,0.50,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Jimmy Briand,fr FRA,FW,Bordeaux,35-195,1985,5.5,4,0.73,3,0,0,0,1,0,3,0.55,2,0,0,0,1,0,0,Matches
Dylan Bronn,tn TUN,DF,Metz,25-239,1995,24.0,17,0.71,13,0,1,2,0,1,1,0.04,1,0,0,0,0,0,0,Matches
