player,nationality,position,squad,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Bilal Benkhedim,fr FRA,FW,Saint-Étienne,19-299,2001,0.8,0,0,0,0,0,0,2,0.0,2,27,9,33.3,4,14,9,2,0,0,2,0,0,0,0,Matches
Djamel Benlamri,dz ALG,DF,Lyon,31-050,1989,0.8,1,0,0,1,0,1,3,33.3,2,6,2,33.3,4,2,0,4,3,0,1,2,3,8,0,Matches
Yassine Benrahou,fr FRA,MF,Nîmes,22-020,1999,6.2,6,3,3,2,1,2,10,20.0,8,80,27,33.8,22,33,25,7,0,0,7,4,10,3,0,Matches
Valon Berisha,xk KVX,MF,Reims,28-006,1993,15.1,35,24,13,20,2,3,32,9.4,29,312,76,24.4,90,175,47,13,2,0,11,15,50,14,1,Matches
Paul Bernardoni,fr FRA,GK,Angers,23-301,1997,24.0,0,0,0,0,0,0,0,,0,2,0,0.0,2,0,0,0,0,0,0,0,0,0,1,Matches
Juan Bernat,es ESP,DF,Paris S-G,27-349,1993,2.2,6,2,0,5,1,3,4,75.0,1,38,16,42.1,11,15,12,8,0,0,8,1,7,5,0,Matches
Dimitry Bertaud,fr FRA,GK,Montpellier,22-252,1998,5.3,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
Giulian Biancone,fr FRA,"DF,MF",Monaco,20-319,2000,1.0,3,2,2,0,1,2,4,50.0,2,17,6,35.3,5,11,1,2,0,0,2,0,3,5,0,Matches
El Bilal Touré,ml MLI,"FW,MF",Reims,19-133,2001,9.3,22,12,4,13,5,2,9,22.2,7,182,41,22.5,28,98,56,6,1,0,5,1,23,14,0,Matches
Ludovic Blas,fr FRA,"MF,FW",Nantes,23-044,1997,17.5,29,15,9,17,3,10,31,32.3,21,348,95,27.3,67,182,99,22,3,0,19,10,39,6,0,Matches
Antonin Bobichon,fr FRA,"FW,MF",Angers,25-152,1995,5.0,12,7,2,7,3,3,8,37.5,5,139,37,26.6,31,73,35,8,3,0,5,4,16,1,0,Matches
Sacha Boey,fr FRA,DF,Rennes,20-153,2000,1.4,5,4,2,2,1,1,2,50.0,1,21,11,52.4,8,6,7,2,0,0,2,1,6,2,0,Matches
